period_type,date,item_key,product_name,component,matched,match_method,match_score,item_code,sprav_name,weight,index_used,item_mom_pp,headline_contribution_pp
weekly_chain,2026-07-06 00:00:00,25,"Соль поваренная пищевая, кг",food,True,exact,1.0,593,"Соль поваренная пищевая, кг",0.00122,102.98,2.980000000000004,0.003635600000000005
weekly_chain,2026-07-06 00:00:00,26,"Мука пшеничная, кг",food,True,exact,1.0,388,"Мука пшеничная, кг",0.00424,101.99,1.9899999999999949,0.008437599999999977
weekly_chain,2026-07-06 00:00:00,27,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",food,True,exact,1.0,710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",0.00255,100.06,0.060000000000002274,0.0001530000000000058
weekly_chain,2026-07-06 00:00:00,28,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",food,True,exact,1.0,1054,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0.00735,100.0,0.0,0.0
weekly_chain,2026-07-06 00:00:00,29,"Рис шлифованный, кг",food,True,exact,1.0,552,"Рис шлифованный, кг",0.00479,101.66,1.6599999999999966,0.007951399999999983
weekly_chain,2026-07-06 00:00:00,3,"Баранина (кроме бескостного мяса), кг",food,True,exact,1.0,122,"Баранина (кроме бескостного мяса), кг",0.00651,100.25,0.25,0.0016275
weekly_chain,2026-07-06 00:00:00,30,"Пшено, кг",food,True,exact,1.0,539,"Пшено, кг",0.00118,99.25,-0.75,-0.000885
weekly_chain,2026-07-06 00:00:00,31,"Крупа гречневая-ядрица, кг",food,True,exact,1.0,320,"Крупа гречневая-ядрица, кг",0.00337,100.51,0.5100000000000051,0.0017187000000000172
weekly_chain,2026-07-06 00:00:00,32,"Вермишель, кг",food,True,exact,1.0,158,"Вермишель, кг",0.00142,100.97,0.9699999999999989,0.0013773999999999985
weekly_chain,2026-07-06 00:00:00,33,"Макаронные изделия из пшеничной муки высшего сорта, кг",food,True,exact,1.0,354,"Макаронные изделия из пшеничной муки высшего сорта, кг",0.00382,99.54,-0.45999999999999375,-0.0017571999999999761
weekly_chain,2026-07-06 00:00:00,34,"Картофель, кг",food,True,exact,1.0,252,"Картофель, кг",0.00612,106.54,6.540000000000006,0.040024800000000034
weekly_chain,2026-07-06 00:00:00,35,"Капуста белокочанная свежая, кг",food,True,exact,1.0,249,"Капуста белокочанная свежая, кг",0.00236,104.9,4.900000000000006,0.011564000000000014
weekly_chain,2026-07-06 00:00:00,36,"Лук репчатый, кг",food,True,exact,1.0,349,"Лук репчатый, кг",0.00236,89.29,-10.709999999999994,-0.025275599999999985
weekly_chain,2026-07-06 00:00:00,37,"Свёкла столовая, кг",food,True,exact,1.0,574,"Свёкла столовая, кг",0.00077,103.57,3.569999999999993,0.0027488999999999947
weekly_chain,2026-07-06 00:00:00,38,"Морковь, кг",food,True,exact,1.0,382,"Морковь, кг",0.0021,107.54,7.540000000000006,0.01583400000000001
weekly_chain,2026-07-06 00:00:00,39,"Огурцы свежие, кг",food,True,exact,1.0,435,"Огурцы свежие, кг",0.00468,99.35,-0.6500000000000057,-0.003042000000000027
weekly_chain,2026-07-06 00:00:00,4,"Куры охлажденные и мороженые, кг",food,True,exact,1.0,333,"Куры охлажденные и мороженые, кг",0.00958,105.85,5.849999999999994,0.05604299999999995
weekly_chain,2026-07-06 00:00:00,40,"Помидоры свежие, кг",food,True,exact,1.0,506,"Помидоры свежие, кг",0.00574,89.53,-10.469999999999999,-0.0600978
weekly_chain,2026-07-06 00:00:00,41,"Яблоки, кг",food,True,exact,1.0,753,"Яблоки, кг",0.00515,105.19,5.189999999999998,0.02672849999999999
weekly_chain,2026-07-06 00:00:00,42,"Бананы, кг",food,True,exact,1.0,121,"Бананы, кг",0.00418,100.29,0.29000000000000625,0.001212200000000026
weekly_chain,2026-07-06 00:00:00,43,"Водка, л",food,True,exact,1.0,171,"Водка, л",0.0033,99.79,-0.20999999999999375,-0.0006929999999999793
