Horizon,Optimized_MAE,Baseline_Sub_MAE,Direct_MAE,vs_Baseline,vs_Direct
h=1,0.42612632746867257,0.5659554210215892,0.5718885110247331,+24.7%,+25.5%
h=2,0.5563130629481906,0.5707914009268853,0.5658911651096489,+2.5%,+1.7%
h=12,0.409639054294059,0.37283326077366313,0.4392687446505534,-9.9%,+6.7%
