Code,Name,Component,Weight,Best_Approach,Best_MAE,Baseline_MAE,Improvement,MAE_baseline,MAE_usd,MAE_brent,MAE_monetary,MAE_seasonal,MAE_tariff,MAE_all
11,Алкогольные напитки,Продовольственн,1.374,all,0.9364962362318493,0.9852473014627476,4.948104415867982,0.9852473014627476,1.0108731831106572,1.063719298229743,0.9894603999144106,0.9807793739130879,0.9780205429289396,0.9364962362318493
12,Бытовые услуги,Услуги,4.365,tariff,0.48957828857357416,0.5159906184605487,5.118761648375585,0.5159906184605487,0.5197299441586068,0.5652770651177725,0.5135360861991416,0.5180539029150045,0.48957828857357416,0.5741913436111334
13,Галантерея,Непродовольстве,1.476,baseline,0.45232053136750544,0.45232053136750544,0.0,0.45232053136750544,0.4642876518360134,0.5553456967231387,0.5229502606929428,0.4561979904653817,0.48628290814907327,0.7301231121811446
14,Жилищные и коммунальные услуги (включая ,Услуги,9.094,seasonal,0.5432563312314607,0.628973765077559,13.628141363818006,0.628973765077559,0.6674660142344618,0.5613076537226389,0.8445473023474697,0.5432563312314607,0.5792802785723856,1.1259958939930383
15,Инструменты и оборудование,Непродовольстве,0.109,brent,1.5386689487269616,1.7251551408222012,10.809821544882112,1.7251551408222012,1.8347611335840914,1.5386689487269616,1.8919216818294444,1.6936457398424478,1.7798248811853195,1.9376518195189696
16,Кондитерские изделия,Продовольственн,2.899,usd,0.9649684561972299,1.0122900490855862,4.674706911433379,1.0122900490855862,0.9649684561972299,1.1986325854214406,1.2080593430437838,1.0068715009736307,1.0701478133929627,1.5401534247383117
17,Легковые автомобили,Непродовольстве,3.074,baseline,0.647283913580615,0.647283913580615,0.0,0.647283913580615,0.6650233230555916,1.008553735616375,0.7081314941791764,0.653077033791562,0.7557414883623688,1.2756390017992882
18,Макаронные и крупяные изделия,Продовольственн,1.688,usd,1.2200963589949885,1.2232039017592788,0.2540494483234507,1.2232039017592788,1.2200963589949885,1.5225518556390374,1.5877079243864243,1.2256563133050695,1.2830434701590543,1.4085268306664185
19,Масло и жиры,Продовольственн,1.733,brent,1.1004964612749173,1.5470288985564795,28.86387175431682,1.5470288985564795,1.6375324292030426,1.1004964612749173,1.592002689829722,1.5589058370317477,1.6347873504175678,1.5698679937014743
20,Мебель,Непродовольстве,2.07,all,0.6952582214118406,0.713834543891336,2.602328878374268,0.713834543891336,0.7294594798442959,0.7531670400765087,0.6968067530854413,0.716269290350507,0.7015726370639237,0.6952582214118406
21,Медицинские товары,Непродовольстве,2.249,tariff,0.5994663943409569,0.6579354836264693,8.886751169466802,0.6579354836264693,0.6827921917468203,0.6809176667445338,0.7041927820792941,0.6759524058272359,0.5994663943409569,0.7485500869465749
22,Медицинские услуги,Услуги,1.3780000000000001,baseline,0.7388579263239263,0.7388579263239263,0.0,0.7388579263239263,0.7474019047591192,0.9301550846063232,0.8339152498569746,0.7409390836325049,0.7526240469279615,1.1413836767379961
23,Меха и меховые изделия,Непродовольстве,0.12,brent,0.5418957655780372,0.6917878610742573,21.66734976578759,0.6917878610742573,0.7332838154788408,0.5418957655780372,0.7149344580788083,0.6642365387349038,0.7092173936222349,0.5691494885800397
24,Молоко и молочная продукция,Продовольственн,3.0509999999999997,seasonal,0.99786938158587,1.018759720490469,2.0505658482985196,1.018759720490469,1.0482127190126298,1.1671079846628558,1.0518607963376567,0.99786938158587,1.0054961433369192,1.2659430000562706
25,Моющие и чистящие средства,Непродовольстве,1.123,baseline,1.7176658997992953,1.7176658997992953,0.0,1.7176658997992953,1.7410336296890019,3.2160129554794956,1.9077177775821683,1.7723497549567377,1.9360457455758968,3.089847831619385
