Code,Name,Weight,Best_Model,Best_MAE,Voting_MAE,Improvement,MAE_voting,MAE_ridge,MAE_ngboost,MAE_prophet
11,Алкогольные напитки,1.374,ridge,0.9726194429463252,0.9740393505142941,0.14577517501928794,0.9740393505142941,0.9726194429463252,1.0646444239739339,1.0456740955762247
12,Бытовые услуги,4.365,ridge,0.5160185281810825,0.5243784038167691,1.594244838238567,0.5243784038167691,0.5160185281810825,0.5215149869587562,0.6531667920780039
13,Галантерея,1.476,voting,0.6500621963598263,0.6500621963598263,0.0,0.6500621963598263,0.6542816595114586,0.7372575045561524,0.8210708411213103
14,Жилищные и коммунальные услуги,9.094,prophet,0.6159900109791058,0.6861675106650595,10.227458834058623,0.6861675106650595,0.7016546137711528,0.6296367233108656,0.6159900109791058
15,Инструменты и оборудование,0.109,ridge,1.8868858252279477,1.9373065146410209,2.602618069573573,1.9373065146410209,1.8868858252279477,2.374903871838461,1.9672808508030275
16,Кондитерские изделия,2.899,ridge,1.241076408188514,1.2888256168350036,3.704861854294022,1.2888256168350036,1.241076408188514,1.4794556793869127,1.335019546458064
17,Легковые автомобили,3.074,ridge,1.1153074458450398,1.1987902318271746,6.963919438590336,1.1987902318271746,1.1153074458450398,1.3853895030720735,1.2088537917064506
18,Макаронные и крупяные изделия,1.688,ridge,1.4510873988829627,1.4537144856375477,0.18071545551345725,1.4537144856375477,1.4510873988829627,1.6090302640554583,1.7630266356679347
19,Масло и жиры,1.733,voting,1.7225952132307092,1.7225952132307092,0.0,1.7225952132307092,1.7405733861216688,1.8883391860623384,1.9539137331422576
20,Мебель,2.07,prophet,1.064892016901894,1.1188372126559292,4.821541073520284,1.1188372126559292,1.069507842724063,1.22918290327256,1.064892016901894
21,Медицинские товары,2.249,ridge,0.8388200739898697,0.8649121390122808,3.0167301215367317,0.8649121390122808,0.8388200739898697,1.012685920870841,0.9049523144812326
22,Медицинские услуги,1.3780000000000001,voting,0.7020003153409882,0.7020003153409882,0.0,0.7020003153409882,0.7117643356725898,0.7217626001191689,0.7502987078851855
