horizon,train_start,direct_mae,direct_kpi,bottomup_mae,bottomup_kpi,improvement
1,Full,0.5335920799952008,31/46,0.5219853059496022,28/40,2.175214828095444
1,2016-01-01,0.5601234312921813,33/46,0.5331175772421801,28/40,4.82141123568065
2,Full,0.5497803316578712,28/45,0.5690839975332882,24/39,-3.5111597785258124
2,2016-01-01,0.5674922111686915,30/45,0.5757895889810067,25/39,-1.4621130738037125
12,Full,0.37147163087152574,25/35,0.3784779264141913,21/29,-1.8860916851787042
12,2016-01-01,0.45857812641508106,24/35,0.43414986111127385,20/29,5.326958242595289
