Horizon,Model,FeatureSet,MAE,KPI_Hits,Total,N_Features
h=1,NGBoost,Best_combined,0.5243609583972884,28,46,10
h=2,Ridge,AR_minimal,0.5821632500958152,28,45,5
h=2,Ridge,AR_extended,0.6247710391655203,27,45,12
h=2,Ridge,Components,0.6101142475750546,28,45,10
h=2,Ridge,Federal_macro,0.6394153158616576,28,45,10
h=2,Ridge,IBVED_q,0.569679821252274,28,45,4
h=2,Ridge,Regional,0.6414102695437893,27,45,9
h=2,Ridge,Best_combined,0.6890081391518891,26,45,10
h=2,Ridge_10,AR_minimal,0.574079800694943,28,45,5
h=2,Ridge_10,AR_extended,0.612885477557039,27,45,12
h=2,Ridge_10,Components,0.6004190968967221,29,45,10
h=2,Ridge_10,Federal_macro,0.6219601923608824,28,45,10
h=2,Ridge_10,IBVED_q,0.5640375776613445,29,45,4
h=2,Ridge_10,Regional,0.6118389519407859,28,45,9
h=2,Ridge_10,Best_combined,0.6770350071555785,26,45,10
h=2,Ridge_100,AR_minimal,0.5431256599042245,32,45,5
h=2,Ridge_100,AR_extended,0.5678731288575465,27,45,12
h=2,Ridge_100,Components,0.5608238657843837,29,45,10
h=2,Ridge_100,Federal_macro,0.5684697890318413,31,45,10
h=2,Ridge_100,IBVED_q,0.5403010208145598,31,45,4
h=2,Ridge_100,Regional,0.5574682246497872,29,45,9
h=2,Ridge_100,Best_combined,0.6092734508913805,28,45,10
h=2,Lasso,AR_minimal,0.5366673014520583,30,45,5
h=2,Lasso,AR_extended,0.5370956400616721,28,45,12
h=2,Lasso,Components,0.5349346453744074,30,45,10
h=2,Lasso,Federal_macro,0.554686647386828,31,45,10
h=2,Lasso,IBVED_q,0.5366535820339642,30,45,4
h=2,Lasso,Regional,0.5507301889722066,31,45,9
h=2,Lasso,Best_combined,0.5959450378097974,32,45,10
h=2,ElasticNet,AR_minimal,0.5428959822697048,30,45,5
h=2,ElasticNet,AR_extended,0.5591436923194383,28,45,12
h=2,ElasticNet,Components,0.548349122546186,29,45,10
h=2,ElasticNet,Federal_macro,0.572935158856717,30,45,10
h=2,ElasticNet,IBVED_q,0.5429830971206722,30,45,4
h=2,ElasticNet,Regional,0.5571356216725026,30,45,9
h=2,ElasticNet,Best_combined,0.6191600929126505,30,45,10
h=2,Huber,AR_minimal,0.5586884824014874,30,45,5
h=2,Huber,AR_extended,0.5768133579106183,28,45,12
h=2,Huber,Components,0.5766034845288834,29,45,10
h=2,Huber,Federal_macro,0.6035966723998475,28,45,10
h=2,Huber,IBVED_q,0.5512225251611552,29,45,4
h=2,Huber,Regional,0.5784647644226769,31,45,9
h=2,Huber,Best_combined,0.5975242365723602,27,45,10
h=2,BayesianRidge,AR_minimal,0.5648432856893859,28,45,5
h=2,BayesianRidge,AR_extended,0.5847679609558776,26,45,12
h=2,BayesianRidge,Components,0.5776024956975628,29,45,10
h=2,BayesianRidge,Federal_macro,0.5922996828202192,29,45,10
h=2,BayesianRidge,IBVED_q,0.558838189644342,29,45,4
h=2,BayesianRidge,Regional,0.584142465819683,27,45,9
h=2,BayesianRidge,Best_combined,0.6590673779342447,27,45,10
h=2,RF,AR_minimal,0.5657997056919577,28,45,5
h=2,RF,AR_extended,0.5960561332360379,23,45,12
h=2,RF,Components,0.575941760482196,27,45,10
