Train_Start,Horizon,Subcomp_MAE,Baseline_MAE,Improvement,Subcomp_KPI,Baseline_KPI
2010,h=1,0.545754395060149,0.5371059441177202,-1.6101946063239447,26/40,30/46
2010,h=2,0.5511734489406647,0.5513682578434977,0.03533190387038422,26/39,28/45
2010,h=12,0.3819410462178987,0.3708356008406383,-2.9947085317822,19/29,26/35
2016-01-01,h=1,0.5607933094537073,0.5709494215274264,1.7788111679926226,25/40,32/46
2016-01-01,h=2,0.589358082319824,0.5745192882215598,-2.5828191328785595,25/39,29/45
2016-01-01,h=12,0.40898581291159153,0.45929472515155234,10.953514047730573,17/29,24/35
