.pred,.row,ipc
0.4149998460535111,128,-0.4099999999999966
0.4150000472222154,129,0.20000000000000284
0.41500064294816924,130,0.7199999999999989
0.41500046921633404,131,0.4000000000000057
0.4150003670512272,132,0.8599999999999994
0.41500032446373747,133,0.980000000000004
0.41500083268186094,134,0.6299999999999955
0.414999548417591,135,0.480000000000004
0.4150001019263982,136,0.6400000000000006
0.41499986667900085,137,0.4099999999999966
0.41499955257987553,138,0.8299999999999983
0.41499969657844493,139,0.4000000000000057
0.4149999526220674,140,0.14000000000000057
0.41500006930088396,141,0.7900000000000063
0.415000307870691,142,0.6099999999999994
0.4150000605996253,143,0.9000000000000057
0.4149999570484096,144,0.7199999999999989
0.4150002245879874,145,1.230000000000004
0.4150003978569285,146,0.4000000000000057
0.4150002788205059,147,8.9
0.41499957361765005,148,1.61
0.4149991081748017,149,0.1
0.41499949044280804,150,-0.67
0.4149996406970452,151,-0.87
