.pred,.row,ipc
0.4999951124191284,128,-0.4099999999999966
0.4999901354312897,129,0.20000000000000284
0.5000315308570862,130,0.7199999999999989
0.5000109076499939,131,0.4000000000000057
0.5000196695327759,132,0.8599999999999994
0.5000302195549011,133,0.980000000000004
0.5000061392784119,134,0.6299999999999955
0.49998927116394043,135,0.480000000000004
0.4999992251396179,136,0.6400000000000006
0.5000104308128357,137,0.4099999999999966
0.49997594952583313,138,0.8299999999999983
0.49995580315589905,139,0.4000000000000057
0.49996626377105713,140,0.14000000000000057
0.5000067949295044,141,0.7900000000000063
0.5000122785568237,142,0.6099999999999994
0.4999840259552002,143,0.9000000000000057
0.5000302791595459,144,0.7199999999999989
0.5000358819961548,145,1.230000000000004
0.5000506043434143,146,0.4000000000000057
0.5000305771827698,147,8.9
0.5000131726264954,148,1.61
0.4999840557575226,149,0.1
0.500008761882782,150,-0.67
0.49995893239974976,151,-0.87
