.pred,.row,ipc
-0.09247401641327443,128,-0.4099999999999966
0.016500718391971637,129,0.20000000000000284
0.30900330874923854,130,0.7199999999999989
0.30109108173762644,131,0.4000000000000057
0.46988341888630314,132,0.8599999999999994
0.7867254147398707,133,0.980000000000004
0.5576985607239682,134,0.6299999999999955
0.30669158317428197,135,0.480000000000004
0.4324127072990824,136,0.6400000000000006
0.0052979724113004336,137,0.4099999999999966
0.2624607036295468,138,0.8299999999999983
-0.12378771608757361,139,0.4000000000000057
0.07617051812653142,140,0.14000000000000057
0.06944065768416252,141,0.7900000000000063
0.33381520648624674,142,0.6099999999999994
0.1983962547766051,143,0.9000000000000057
0.5146369508845404,144,0.7199999999999989
0.7544100742146539,145,1.230000000000004
0.3784571180470431,146,0.4000000000000057
0.5230411999680837,147,8.9
0.36449802845057944,148,1.61
0.027404151004282496,149,0.1
0.24810840371828174,150,-0.67
-0.1246996947054781,151,-0.87
