.pred,.row,ipc
0.3548862454037692,128,-0.4099999999999966
0.3821845576246432,129,0.20000000000000284
0.8568766209566969,130,0.7199999999999989
0.8043857924232133,131,0.4000000000000057
0.9397445406466309,132,0.8599999999999994
0.8939357342161625,133,0.980000000000004
0.8552332519620556,134,0.6299999999999955
0.4076837627810455,135,0.480000000000004
0.4702684730153319,136,0.6400000000000006
0.6333336039006342,137,0.4099999999999966
0.2517486676450273,138,0.8299999999999983
0.13460622883411155,139,0.4000000000000057
0.2140509332571176,140,0.14000000000000057
0.5566695107218836,141,0.7900000000000063
0.7881910064504833,142,0.6099999999999994
0.32639432826019255,143,0.9000000000000057
1.0057650140296432,144,0.7199999999999989
0.8667750292129774,145,1.230000000000004
1.0381286945889079,146,0.4000000000000057
1.1635229393645412,147,8.9
0.6327916121302074,148,1.61
0.2999685122045894,149,0.1
0.5093739433383856,150,-0.67
0.16187888927544072,151,-0.87
