Date,Fact,ridge_pred,ridge_weight,ridge_shock_dummies_pred,ridge_shock_dummies_weight,bvar_pred,bvar_weight,sarima_pred,sarima_weight,lightgbm_pred,lightgbm_weight,prophet_pred,prophet_weight,ets_pred,ets_weight,ebm_pred,ebm_weight,ngboost_shock_macro_pred,ngboost_shock_macro_weight,regime_switching_pred,regime_switching_weight,Ensemble_Pred,Ensemble_Error,Best_Model
2023-12-01,0.29000000000000625,,0.1,,0.1,0.6194879840613337,0.1,0.5523252945670577,0.1,0.5643729273139257,0.1,0.928007237911255,0.1,1.0141929761791406,0.1,,0.1,,0.1,,0.1,0.7356772840065425,-0.4456772840065363,sarima
2024-01-01,0.8700000000000045,,0.005863014777822265,,0.005863014777822265,0.46782815399873207,0.21602390771124352,0.36310384017402036,0.3408008283923992,0.6032036238061949,0.3115289895930545,1.1354333163532344,0.05761423091295867,1.0487384605544299,0.0447169695012329,,0.005863014777822265,,0.005863014777822265,,0.005863014777822265,0.5408934246715281,0.3291065753284764,ets
2024-02-01,0.5300000000000011,,0.006900922176271693,,0.006900922176271693,0.710224884369172,0.2042414100810416,0.5570982476641565,0.16947344489871108,0.2309086885241527,0.37694300313923645,0.9555998658323771,0.11561558767323885,0.8248663620664611,0.09922194332641361,,0.006900922176271693,,0.006900922176271693,,0.006900922176271693,0.5373792509887039,-0.007379250988702735,sarima
2024-03-01,0.5300000000000011,,0.005912841447918459,,0.005912841447918459,0.5727113693324036,0.23433780460619952,0.37697731037101234,0.21732222753093247,0.6476336400260436,0.3007594669136019,0.3871009359369181,0.10772764936970967,0.932493767107543,0.11028864433996405,,0.005912841447918459,,0.005912841447918459,,0.005912841447918459,0.5723824013718717,-0.04238240137187055,bvar
2024-04-01,0.37999999999999545,,0.004745083253539949,,0.004745083253539949,0.5473982994696245,0.249241269354692,0.43593877858695246,0.21697479294117275,0.48626019388902364,0.30398433273771447,0.7012055678102735,0.11180299851461548,0.7335687949586399,0.09427119018410555,,0.004745083253539949,,0.004745083253539949,,0.004745083253539949,0.539181036777814,-0.15918103677781859,sarima
2024-05-01,0.9399999999999977,,0.0040740254404003666,,0.0040740254404003666,0.47668200243317377,0.24495692605647376,0.07109754858499964,0.23079833354689405,0.6092505067939413,0.3121316539095568,0.19661585843821844,0.10416352375529352,0.13929902420009085,0.08757943552978016,,0.0040740254404003666,,0.0040740254404003666,,0.0040740254404003666,0.3634250674895385,0.5765749325104592,lightgbm
2024-06-01,0.18000000000000682,,0.005932906471077045,,0.005932906471077045,0.7389485046729394,0.2601697648544109,0.7030160510167238,0.12850722832574285,-0.048749761619873766,0.38437950359756723,0.15407616076143632,0.10667046136462244,-0.00991050425333928,0.09060850950227134,,0.005932906471077045,,0.005932906471077045,,0.005932906471077045,0.2879351545564937,-0.10793515455648689,prophet
2024-07-01,1.0699999999999932,,0.0061557727437627965,,0.0061557727437627965,0.38580486334124775,0.20048601935805474,0.17416712043554244,0.1247573559398723,0.43268031264037177,0.40769888568054874,-0.061522067610826306,0.12905874721514662,0.041622540924488693,0.10722012808756365,,0.0061557727437627965,,0.0061557727437627965,,0.0061557727437627965,0.28064101686620474,0.7893589831337884,lightgbm
2024-08-01,0.09000000000000341,,0.009381387002906933,,0.009381387002906933,0.6443097200048392,0.22608442205045068,0.5840945687319592,0.13745046186069096,-0.005852101134792065,0.36215305909692547,0.04825273095164062,0.11476269975700085,0.15128243378283357,0.11264242222039739,,0.009381387002906933,,0.009381387002906933,,0.009381387002906933,0.25853879866633234,-0.16853879866632893,prophet
2024-09-01,0.6200000000000045,,0.00892560432960582,,0.00892560432960582,0.2910192234099933,0.19651490016975112,0.4659622064134306,0.13232805609818862,0.15778905538222432,0.38337891146025455,0.665796856180499,0.12275370342652114,0.7104162244958923,0.12039640719725563,,0.00892560432960582,,0.00892560432960582,,0.00892560432960582,0.3627938453735212,0.25720615462648333,prophet
2024-10-01,1.019999999999996,,0.00888888719474886,,0.00888888719474886,0.5765805977841343,0.20395196104742946,0.2586930157521999,0.14500935762238953,0.2729444937171337,0.33805442010441855,0.6286426716039408,0.13572317816139662,0.685660646723725,0.1328166470906216,,0.00888888719474886,,0.00888888719474886,,0.00888888719474886,0.44347632896623995,0.576523671033756,ets
2024-11-01,1.5,,0.009884166158705325,,0.009884166158705325,0.84185307804103,0.22418270163741755,0.7229886048983831,0.14345967917545274,0.972791264915756,0.2701494524024828,0.7220707781846496,0.15684221902711584,0.8055160666462506,0.15594511696400445,,0.009884166158705325,,0.009884166158705325,,0.009884166158705325,0.8354013472436163,0.6645986527563837,lightgbm
2024-12-01,0.9099999999999966,,0.010782826312668484,,0.010782826312668484,0.9608714551313363,0.21810036602579874,0.9222105107954958,0.14237559401172342,1.1318608354999924,0.2741671048439306,0.8801742736402871,0.15321750114242966,1.2065490217495558,0.15822530241277508,,0.010782826312668484,,0.010782826312668484,,0.010782826312668484,1.0326233726913587,-0.12262337269136214,sarima
2025-01-01,0.8400000000000034,,0.010110498070986686,,0.010110498070986686,0.7888360504692813,0.22130187617612324,0.7537285992935023,0.14461714532994382,1.1175078865739891,0.27141811750055256,1.084667329488597,0.15559515523523476,1.3635939958593177,0.1565152154032123,,0.010110498070986686,,0.010110498070986686,,0.010110498070986686,1.0206747006694419,-0.18067470066943847,bvar
2025-02-01,1.3400000000000034,,0.009669178249045389,,0.009669178249045389,0.6682229118320404,0.22767141917678912,0.5441417084002789,0.14863916927808699,0.7016008118815762,0.2688491578978481,0.899045052088346,0.15746029271982476,1.0383314508434103,0.14903406968222405,,0.009669178249045389,,0.009669178249045389,,0.009669178249045389,0.7544248166301143,0.5855751833698891,ets
2025-03-01,0.8100000000000023,,0.010241985913247858,,0.010241985913247858,0.895184007702881,0.21717544007026113,0.8967264337419735,0.14370461804750445,0.6388554784306137,0.25376603560126937,0.532922781186837,0.16913813796051233,1.2830854768238347,0.16500583875421349,,0.010241985913247858,,0.010241985913247858,,0.010241985913247858,0.8297406552512194,-0.019740655251217154,bvar
2025-04-01,0.5300000000000011,,0.00979677041649479,,0.00979677041649479,0.6597161206496203,0.2210171104023364,0.5592233912299854,0.1463642461589421,0.5249780752673701,0.25582293564386877,0.8308456980558037,0.16900043349973654,1.0743570901527724,0.15881142221264236,,0.00979677041649479,,0.00979677041649479,,0.00979677041649479,0.7076575462941475,-0.17765754629414632,lightgbm
2025-05-01,-0.06999999999999318,,0.009402222374773861,,0.009402222374773861,0.49461353046243,0.22404440132066156,0.48977057776222754,0.1492192853023035,0.20706517431359828,0.2608624303336327,0.7056209834038899,0.168227354957039,0.5203785003279306,0.15063541621249396,,0.009402222374773861,,0.009402222374773861,,0.009402222374773861,0.45646525531136145,-0.5264652553113547,lightgbm
2025-06-01,-0.04000100000000373,,0.009627318494362313,,0.009627318494362313,0.24428489130002062,0.21849447929355853,-0.10262758919809387,0.1507545181365495,-0.019956422224936432,0.2742306976790922,-0.07438635574233078,0.1574625683434001,-0.03777748827702959,0.1509211440755881,,0.009627318494362313,,0.009627318494362313,,0.009627318494362313,0.015775556957183436,-0.05577655695718717,ets
2025-07-01,0.35999999999999943,,0.00919580125452027,,0.00919580125452027,0.2635032137930501,0.21482298516212228,0.16323877444273593,0.1518676852458145,0.167238794034958,0.2764473135197089,0.4422146327799326,0.15871794543847215,0.026184011178280453,0.15216506436128077,,0.00919580125452027,,0.00919580125452027,,0.00919580125452027,0.2115274696906298,0.14847253030936963,prophet
2025-08-01,-0.5699999999999932,,0.008842393680455751,,0.008842393680455751,0.19093336982941983,0.2168184026432234,0.09829351946679787,0.15243464480011046,0.07989943720525616,0.27576070194633545,-0.12378747386896072,0.16040449987041447,-0.08676705801581364,0.1503697823376375,,0.008842393680455751,,0.008842393680455751,,0.008842393680455751,0.04761633113615157,-0.6176163311361448,prophet
2025-09-01,1.0,,0.00936944824847995,,0.00936944824847995,0.13720792318818592,0.20487032808054104,-0.2029167841485326,0.1547074641346643,0.1926816355107519,0.2634328750549994,0.5069954839982236,0.17075449651178903,0.3612099651997223,0.15938759497560662,,0.00936944824847995,,0.00936944824847995,,0.00936944824847995,0.20103798979061124,0.7989620102093887,prophet
2025-10-01,0.5300000000000011,,0.010369841627627625,,0.010369841627627625,0.8759961066429967,0.1989839399650813,0.7106354670049216,0.13965589707888001,0.656415793275329,0.2507429347819598,0.40028855051926715,0.18806825590002235,0.5503872451816796,0.17069976413591847,,0.010369841627627625,,0.010369841627627625,,0.010369841627627625,0.6405919401003335,-0.11059194010033235,ets
2025-11-01,0.15000000000000568,,0.010016840724453876,,0.010016840724453876,0.6437783752341283,0.1958350759259637,0.5507296327221554,0.14033299640749788,0.6663187310722378,0.2521097457530567,0.6214211178594582,0.18926747248289724,0.6081802013995834,0.17237050580831512,,0.010016840724453876,,0.010016840724453876,,0.010016840724453876,0.6251001488466427,-0.475100148846637,sarima
