Date,Fact,ridge_pred,ridge_weight,bvar_pred,bvar_weight,sarima_pred,sarima_weight,lightgbm_pred,lightgbm_weight,prophet_pred,prophet_weight,ets_pred,ets_weight,ebm_pred,ebm_weight,ngboost_pred,ngboost_weight,xgboost_pred,xgboost_weight,catboost_pred,catboost_weight,regime_switching_pred,regime_switching_weight,Ensemble_Pred,Ensemble_Error,Best_Model
2025-01-01,0.8400000000000034,,0.09090909090909091,0.8714498748602768,0.09090909090909091,0.7537285992935023,0.09090909090909091,1.1175078865739891,0.09090909090909091,1.084667329488597,0.09090909090909091,1.3635939958593177,0.09090909090909091,,0.09090909090909091,,0.09090909090909091,,0.09090909090909091,,0.09090909090909091,,0.09090909090909091,1.0381895372151364,-0.198189537215133,bvar
2025-02-01,1.3400000000000034,,3.3928139512766294e-05,0.6545704455622666,0.8575554483709494,0.5441417084002789,0.11396365132261574,0.7016008118815762,0.011014109605927932,0.899045052088346,0.014169290048182381,1.0383314508434103,0.0030939318152480313,,3.3928139512766294e-05,,3.3928139512766294e-05,,3.3928139512766294e-05,,3.3928139512766294e-05,,3.3928139512766294e-05,0.6471534331941806,0.6928465668058228,ets
2025-03-01,0.8100000000000023,,0.0015950123448600193,0.8731887821103596,0.16939283823436743,0.8967264337419735,0.12444832815803018,0.6388554784306137,0.1645821655616513,0.532922781186837,0.31360425072361264,1.2830854768238347,0.21840234325317842,,0.0015950123448600193,,0.0015950123448600193,,0.0015950123448600193,,0.0015950123448600193,,0.0015950123448600193,0.8198540378193411,-0.009854037819338801,bvar
2025-04-01,0.5300000000000011,,0.0012829186533414123,0.640383892264827,0.2026533119572257,0.5592233912299854,0.14840473361253992,0.5249780752673701,0.18724927132937988,0.8308456980558037,0.29062555137338925,1.0743570901527724,0.16336961980741688,,0.0012829186533414123,,0.0012829186533414123,,0.0012829186533414123,,0.0012829186533414123,,0.0012829186533414123,0.7336990326636227,-0.20369903266362155,lightgbm
2025-05-01,-0.06999999999999318,,0.001098735229154724,0.5500131052437955,0.225622159048749,0.48977057776222754,0.16924223350249723,0.20706517431359828,0.2138117107841598,0.7056209834038899,0.26062115409049297,0.5203785003279306,0.12411033119917277,,0.001098735229154724,,0.001098735229154724,,0.001098735229154724,,0.001098735229154724,,0.001098735229154724,0.5030584412182701,-0.5730584412182633,lightgbm
2025-06-01,-0.04000100000000373,,0.0013997301998173103,0.2436596621887735,0.20078837356955287,-0.10262758919809387,0.1817733685213734,-0.019956422224936432,0.2962292006432444,-0.07438635574233078,0.17100390964310402,-0.03777748827702959,0.1418067664238216,,0.0013997301998173103,,0.0013997301998173103,,0.0013997301998173103,,0.0013997301998173103,,0.0013997301998173103,0.006333116494510521,-0.04633411649451425,ets
2025-07-01,0.35999999999999943,,0.0011896518404076266,0.22729282377067964,0.18747274857327698,0.16323877444273593,0.18463797747685765,0.167238794034958,0.3019182274650472,0.4422146327799326,0.17420525955929325,0.026184011178280453,0.1446278758830793,,0.0011896518404076266,,0.0011896518404076266,,0.0011896518404076266,,0.0011896518404076266,,0.0011896518404076266,0.2055338630544573,0.15446613694554212,prophet
2025-08-01,-0.5699999999999932,,0.0010649807091601352,0.1835820798930921,0.1922405331971831,0.09829351946679787,0.18540956629570737,0.07989943720525616,0.29667392117715996,-0.12378747386896072,0.18074804701420474,-0.08676705801581364,0.13853804806078404,,0.0010649807091601352,,0.0010649807091601352,,0.0010649807091601352,,0.0010649807091601352,,0.0010649807091601352,0.04310108300518758,-0.6131010830051807,prophet
2025-09-01,1.0,,0.0013271796777342005,0.11084544115668388,0.17265732166187753,-0.2029167841485326,0.18283166528079775,0.1926816355107519,0.2526582800790818,0.5069954839982236,0.21576325996558002,0.3612099651997223,0.16812639494625792,,0.0013271796777342005,,0.0013271796777342005,,0.0013271796777342005,,0.0013271796777342005,,0.0013271796777342005,0.20245335360273342,0.7975466463972666,prophet
2025-10-01,0.5300000000000011,,0.0017288859551440672,0.8626500911610484,0.16709932489941332,0.7106354670049216,0.13419259083164572,0.656415793275329,0.2285091673680778,0.40028855051926715,0.2640377167210059,0.5503872451816796,0.19578788444899306,,0.0017288859551440672,,0.0017288859551440672,,0.0017288859551440672,,0.0017288859551440672,,0.0017288859551440672,0.6092779504991573,-0.0792779504991562,ets
2025-11-01,0.15000000000000568,,0.0015801112771255887,0.6460988046788244,0.16198900255771945,0.5507296327221554,0.1347554147536323,0.6663187310722378,0.22989231464418805,0.6214211178594582,0.265102096417051,0.6081802013995834,0.1987805039646558,,0.0015801112771255887,,0.0015801112771255887,,0.0015801112771255887,,0.0015801112771255887,,0.0015801112771255887,0.6236028356514893,-0.47360283565148364,sarima
