Date,ridge_weight,ridge_shock_dummies_weight,bvar_weight,sarima_weight,lightgbm_weight,prophet_weight,ets_weight,ebm_weight,ngboost_shock_macro_weight,regime_switching_weight
2023-12-01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2024-01-01,0.005863014777822265,0.005863014777822265,0.21602390771124352,0.3408008283923992,0.3115289895930545,0.05761423091295867,0.0447169695012329,0.005863014777822265,0.005863014777822265,0.005863014777822265
2024-02-01,0.006900922176271693,0.006900922176271693,0.2042414100810416,0.16947344489871108,0.37694300313923645,0.11561558767323885,0.09922194332641361,0.006900922176271693,0.006900922176271693,0.006900922176271693
2024-03-01,0.005912841447918459,0.005912841447918459,0.23433780460619952,0.21732222753093247,0.3007594669136019,0.10772764936970967,0.11028864433996405,0.005912841447918459,0.005912841447918459,0.005912841447918459
2024-04-01,0.004745083253539949,0.004745083253539949,0.249241269354692,0.21697479294117275,0.30398433273771447,0.11180299851461548,0.09427119018410555,0.004745083253539949,0.004745083253539949,0.004745083253539949
2024-05-01,0.0040740254404003666,0.0040740254404003666,0.24495692605647376,0.23079833354689405,0.3121316539095568,0.10416352375529352,0.08757943552978016,0.0040740254404003666,0.0040740254404003666,0.0040740254404003666
2024-06-01,0.005932906471077045,0.005932906471077045,0.2601697648544109,0.12850722832574285,0.38437950359756723,0.10667046136462244,0.09060850950227134,0.005932906471077045,0.005932906471077045,0.005932906471077045
2024-07-01,0.0061557727437627965,0.0061557727437627965,0.20048601935805474,0.1247573559398723,0.40769888568054874,0.12905874721514662,0.10722012808756365,0.0061557727437627965,0.0061557727437627965,0.0061557727437627965
2024-08-01,0.009381387002906933,0.009381387002906933,0.22608442205045068,0.13745046186069096,0.36215305909692547,0.11476269975700085,0.11264242222039739,0.009381387002906933,0.009381387002906933,0.009381387002906933
2024-09-01,0.00892560432960582,0.00892560432960582,0.19651490016975112,0.13232805609818862,0.38337891146025455,0.12275370342652114,0.12039640719725563,0.00892560432960582,0.00892560432960582,0.00892560432960582
2024-10-01,0.00888888719474886,0.00888888719474886,0.20395196104742946,0.14500935762238953,0.33805442010441855,0.13572317816139662,0.1328166470906216,0.00888888719474886,0.00888888719474886,0.00888888719474886
2024-11-01,0.009884166158705325,0.009884166158705325,0.22418270163741755,0.14345967917545274,0.2701494524024828,0.15684221902711584,0.15594511696400445,0.009884166158705325,0.009884166158705325,0.009884166158705325
2024-12-01,0.010782826312668484,0.010782826312668484,0.21810036602579874,0.14237559401172342,0.2741671048439306,0.15321750114242966,0.15822530241277508,0.010782826312668484,0.010782826312668484,0.010782826312668484
2025-01-01,0.010110498070986686,0.010110498070986686,0.22130187617612324,0.14461714532994382,0.27141811750055256,0.15559515523523476,0.1565152154032123,0.010110498070986686,0.010110498070986686,0.010110498070986686
2025-02-01,0.009669178249045389,0.009669178249045389,0.22767141917678912,0.14863916927808699,0.2688491578978481,0.15746029271982476,0.14903406968222405,0.009669178249045389,0.009669178249045389,0.009669178249045389
2025-03-01,0.010241985913247858,0.010241985913247858,0.21717544007026113,0.14370461804750445,0.25376603560126937,0.16913813796051233,0.16500583875421349,0.010241985913247858,0.010241985913247858,0.010241985913247858
2025-04-01,0.00979677041649479,0.00979677041649479,0.2210171104023364,0.1463642461589421,0.25582293564386877,0.16900043349973654,0.15881142221264236,0.00979677041649479,0.00979677041649479,0.00979677041649479
2025-05-01,0.009402222374773861,0.009402222374773861,0.22404440132066156,0.1492192853023035,0.2608624303336327,0.168227354957039,0.15063541621249396,0.009402222374773861,0.009402222374773861,0.009402222374773861
2025-06-01,0.009627318494362313,0.009627318494362313,0.21849447929355853,0.1507545181365495,0.2742306976790922,0.1574625683434001,0.1509211440755881,0.009627318494362313,0.009627318494362313,0.009627318494362313
2025-07-01,0.00919580125452027,0.00919580125452027,0.21482298516212228,0.1518676852458145,0.2764473135197089,0.15871794543847215,0.15216506436128077,0.00919580125452027,0.00919580125452027,0.00919580125452027
2025-08-01,0.008842393680455751,0.008842393680455751,0.2168184026432234,0.15243464480011046,0.27576070194633545,0.16040449987041447,0.1503697823376375,0.008842393680455751,0.008842393680455751,0.008842393680455751
2025-09-01,0.00936944824847995,0.00936944824847995,0.20487032808054104,0.1547074641346643,0.2634328750549994,0.17075449651178903,0.15938759497560662,0.00936944824847995,0.00936944824847995,0.00936944824847995
2025-10-01,0.010369841627627625,0.010369841627627625,0.1989839399650813,0.13965589707888001,0.2507429347819598,0.18806825590002235,0.17069976413591847,0.010369841627627625,0.010369841627627625,0.010369841627627625
2025-11-01,0.010016840724453876,0.010016840724453876,0.1958350759259637,0.14033299640749788,0.2521097457530567,0.18926747248289724,0.17237050580831512,0.010016840724453876,0.010016840724453876,0.010016840724453876
