Date,ridge_weight,bvar_weight,sarima_weight,lightgbm_weight,prophet_weight,ets_weight,ebm_weight,ngboost_weight,xgboost_weight,catboost_weight,regime_switching_weight
2025-01-01,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
2025-02-01,3.3928139512766294e-05,0.8575554483709494,0.11396365132261574,0.011014109605927932,0.014169290048182381,0.0030939318152480313,3.3928139512766294e-05,3.3928139512766294e-05,3.3928139512766294e-05,3.3928139512766294e-05,3.3928139512766294e-05
2025-03-01,0.0015950123448600193,0.16939283823436743,0.12444832815803018,0.1645821655616513,0.31360425072361264,0.21840234325317842,0.0015950123448600193,0.0015950123448600193,0.0015950123448600193,0.0015950123448600193,0.0015950123448600193
2025-04-01,0.0012829186533414123,0.2026533119572257,0.14840473361253992,0.18724927132937988,0.29062555137338925,0.16336961980741688,0.0012829186533414123,0.0012829186533414123,0.0012829186533414123,0.0012829186533414123,0.0012829186533414123
2025-05-01,0.001098735229154724,0.225622159048749,0.16924223350249723,0.2138117107841598,0.26062115409049297,0.12411033119917277,0.001098735229154724,0.001098735229154724,0.001098735229154724,0.001098735229154724,0.001098735229154724
2025-06-01,0.0013997301998173103,0.20078837356955287,0.1817733685213734,0.2962292006432444,0.17100390964310402,0.1418067664238216,0.0013997301998173103,0.0013997301998173103,0.0013997301998173103,0.0013997301998173103,0.0013997301998173103
2025-07-01,0.0011896518404076266,0.18747274857327698,0.18463797747685765,0.3019182274650472,0.17420525955929325,0.1446278758830793,0.0011896518404076266,0.0011896518404076266,0.0011896518404076266,0.0011896518404076266,0.0011896518404076266
2025-08-01,0.0010649807091601352,0.1922405331971831,0.18540956629570737,0.29667392117715996,0.18074804701420474,0.13853804806078404,0.0010649807091601352,0.0010649807091601352,0.0010649807091601352,0.0010649807091601352,0.0010649807091601352
2025-09-01,0.0013271796777342005,0.17265732166187753,0.18283166528079775,0.2526582800790818,0.21576325996558002,0.16812639494625792,0.0013271796777342005,0.0013271796777342005,0.0013271796777342005,0.0013271796777342005,0.0013271796777342005
2025-10-01,0.0017288859551440672,0.16709932489941332,0.13419259083164572,0.2285091673680778,0.2640377167210059,0.19578788444899306,0.0017288859551440672,0.0017288859551440672,0.0017288859551440672,0.0017288859551440672,0.0017288859551440672
2025-11-01,0.0015801112771255887,0.16198900255771945,0.1347554147536323,0.22989231464418805,0.265102096417051,0.1987805039646558,0.0015801112771255887,0.0015801112771255887,0.0015801112771255887,0.0015801112771255887,0.0015801112771255887
