Code,Name,Weight,Corr_Risk,Corr_Reversion
11,Алкогольные напитки,0.017173220338983046,0.08282136807394912,0.5038677841076695
12,Бытовые услуги,0.030044237288135593,0.06284585950430087,0.3061561770768518
13,Галантерея,0.015072203389830514,0.019883347552855188,-0.3188467663956838
15,Инструменты и оборудование,0.0006527118644067795,-0.17297307063057615,0.11501305311143624
16,Кондитерские изделия,0.02940186440677966,-0.10599143920358868,0.2828574056786156
17,Легковые автомобили,0.021124745762711873,0.18484164546446105,0.5149457212967525
18,Макаронные и крупяные изделия,0.01822033898305084,-0.06507166488611742,-0.5951890007413124
19,Масло и жиры,0.017220169491525425,0.19813718073974773,0.5359894457365281
20,Мебель,0.022689152542372887,-0.31099128365706885,-0.19757413767371246
21,Медицинские товары,0.02154728813559322,0.04738776575636541,0.011444320068028887
22,Медицинские услуги,0.011812203389830505,-0.13993042539185319,-0.04946541101546048
23,Меха и меховые изделия,0.002888135593220338,-0.0012989896962353777,0.3063881099879471
24,Молоко и молочная продукция,0.03250830508474577,0.012315764706191333,0.5065468803455717
25,Моющие и чистящие средства,0.012139152542372874,-0.3594709187330041,-0.3737305914455734
27,"Обувь кожаная, текстильная и комбинированная",0.030024237288135594,0.08236834075638033,0.45906846266147133
28,Общественное питание,0.009514745762711867,-0.021693883138461576,-0.15526943801933013
30,Парфюмерно-косметические товары,0.017814237288135585,-0.049685028109228285,-0.13617725915000742
31,Персональные компьютеры,0.004683050847457626,-0.029892045713013442,0.19601540421668573
32,Печатные издания,0.0033510169491525427,0.16266561798328133,-0.3314743313119843
34,Рыбопродукты,0.021327796610169498,-0.12509746472298464,0.14404141939158582
35,Санаторно-оздоровительные услуги,0.0013113559322033893,-0.041701618568643156,0.08398021721583154
36,Сахар,0.007678135593220311,0.21116630764226846,0.23918493842404287
37,Средства связи,0.005319322033898303,-0.21031232085271104,-0.06274066966814322
38,Строительные материалы,0.010248135593220306,0.07009861794649265,0.28370562458445914
39,Сыр,0.014026779661016951,-0.09004793716612626,0.203402835697509
40,Табачные изделия,0.009323220338983055,-0.19145634080467505,-0.3131365436816567
41,Телерадиотовары,0.005031016949152543,0.1754732418784051,-0.135693236616321
42,Топливо моторное,0.04229355932203387,-0.007099157144516767,0.4319210268579702
43,Трикотажные изделия,0.017810000000000003,0.052589210266297766,0.19679385854182194
44,Услуги в системе образования,0.013271525423728819,-0.07602655342246555,-0.020455025532767797
46,Услуги организаций культуры,0.0015118644067796607,0.2688921351041819,-0.21862841551693377
47,Услуги пассажирского транспорта,0.02277796610169491,-0.16248182876018824,0.5363950490631458
48,Услуги телекоммуникационные,0.031104915254237284,-0.09427188260320676,-0.18796831825209642
49,Хлеб и хлебобулочные изделия,0.01757322033898304,-0.2214274883109826,0.3349500697449064
50,"Чай, кофе, какао",0.014497796610169485,-0.2381105707749284,0.12040976916121153
51,Электротовары и другие бытовые приборы,0.016994576271186446,-0.1745711290913047,0.18477275092675494
52,Яйца,0.0054237288135593215,-0.3130781164347375,0.09003977538983542
53,Другие продовольственные товары,0.03763135593220338,0.15253033568694857,0.08324326223584771
