Date,Model,Forecast_MoM
2026-04-01,Prophet,0.25050169721576404
2026-05-01,Prophet,-0.024133441197815242
2026-06-01,Prophet,0.2000993920543651
2026-07-01,Prophet,0.5172700874360292
2026-08-01,Prophet,0.11853180389376544
2026-09-01,Prophet,0.5437157187128361
2026-10-01,Prophet,0.09946178370158326
2026-11-01,Prophet,0.21744283657638735
2026-12-01,Prophet,0.1776936057706094
2027-01-01,Prophet,0.08108173480328817
2027-02-01,Prophet,0.24930419994056047
2027-03-01,Prophet,0.0145554511615128
2027-04-01,Prophet,0.22290094956335343
2027-05-01,Prophet,0.11043157580790997
2027-06-01,Prophet,0.17725923835015583
2027-07-01,Prophet,0.6533281745890355
2027-08-01,Prophet,0.09226788170201183
2027-09-01,Prophet,0.37427352164328764
2027-10-01,Prophet,0.07173871006848076
2027-11-01,Prophet,0.045924313025288876
2027-12-01,Prophet,0.15060073890237513
