Date,Model,Forecast_MoM
2026-04-01,BVAR,0.6457222478976712
2026-05-01,BVAR,0.6395504869845545
2026-06-01,BVAR,0.6216366172968221
2026-07-01,BVAR,0.6614856867522807
2026-08-01,BVAR,0.5883673597355908
2026-09-01,BVAR,0.6362304468114561
2026-10-01,BVAR,0.5736943106084377
2026-11-01,BVAR,0.6122787688822716
2026-12-01,BVAR,0.6405054887394857
2027-01-01,BVAR,0.6308519449909904
2027-02-01,BVAR,0.5894436416530413
2027-03-01,BVAR,0.6156205057235674
2027-04-01,BVAR,0.5877878521219797
2027-05-01,BVAR,0.5681064830827123
2027-06-01,BVAR,0.5688325892504821
2027-07-01,BVAR,0.597872976531674
2027-08-01,BVAR,0.5449436394653113
2027-09-01,BVAR,0.5886355693681458
2027-10-01,BVAR,0.6317150902551051
2027-11-01,BVAR,0.6076313735307226
2027-12-01,BVAR,0.6181414042974791
