Date,Model,Forecast_MoM
2026-04-01,Subcomp,0.6600187857015669
2026-05-01,Subcomp,0.48517074975896435
2026-06-01,Subcomp,0.26965657167386325
2026-07-01,Subcomp,0.4373961797062407
2026-08-01,Subcomp,0.06947848913954147
2026-09-01,Subcomp,0.3240495904267675
2026-10-01,Subcomp,0.5277906412896698
2026-11-01,Subcomp,0.5277906412896698
2026-12-01,Subcomp,0.5277906412896698
2027-01-01,Subcomp,0.5277906412896698
2027-02-01,Subcomp,0.5277906412896698
2027-03-01,Subcomp,0.5277906412896698
2027-04-01,Subcomp,0.5277906412896698
2027-05-01,Subcomp,0.5277906412896698
2027-06-01,Subcomp,0.5277906412896698
2027-07-01,Subcomp,0.5277906412896698
2027-08-01,Subcomp,0.5277906412896698
2027-09-01,Subcomp,0.5277906412896698
2027-10-01,Subcomp,0.5277906412896698
2027-11-01,Subcomp,0.5277906412896698
2027-12-01,Subcomp,0.5277906412896698
