Date,Model,Forecast_MoM
2026-04-01,Huber,0.6230564854200367
2026-05-01,Huber,0.33404835596928706
2026-06-01,Huber,0.6736683499587457
2026-07-01,Huber,0.8757718009116502
2026-08-01,Huber,0.43288354519408756
2026-09-01,Huber,0.7529739101711641
2026-10-01,Huber,0.4159295006276551
2026-11-01,Huber,0.6358936852907533
2026-12-01,Huber,0.685724279044436
2027-01-01,Huber,0.30644728580415403
2027-02-01,Huber,0.48381398884907867
2027-03-01,Huber,0.35895338439482316
2027-04-01,Huber,0.7662609388152646
2027-05-01,Huber,0.33862276113434575
2027-06-01,Huber,0.6782282923852421
2027-07-01,Huber,0.7976771614862344
2027-08-01,Huber,0.442893624714344
2027-09-01,Huber,0.7564833225097658
2027-10-01,Huber,0.41948930023940534
2027-11-01,Huber,0.6023948854639656
2027-12-01,Huber,0.6833136788253142
