Date,Model,Forecast_MoM
2026-04-01,NGBoost,0.36332324785962555
2026-05-01,NGBoost,0.33164665703296237
2026-06-01,NGBoost,0.4267072192241699
2026-07-01,NGBoost,0.44648960934310367
2026-08-01,NGBoost,0.43869687489505793
2026-09-01,NGBoost,0.727181468408304
2026-10-01,NGBoost,0.4111133225052157
2026-11-01,NGBoost,0.4218885579418128
2026-12-01,NGBoost,0.30801125136642327
2027-01-01,NGBoost,0.29327991342850623
2027-02-01,NGBoost,0.316985978507887
2027-03-01,NGBoost,0.30199830620438206
2027-04-01,NGBoost,0.4786148589894452
2027-05-01,NGBoost,0.34228185696335345
2027-06-01,NGBoost,0.43762509429814145
2027-07-01,NGBoost,0.6573123201375495
2027-08-01,NGBoost,0.43525281807093563
2027-09-01,NGBoost,0.7309215129492941
2027-10-01,NGBoost,0.4107086330498362
2027-11-01,NGBoost,0.4612672600765251
2027-12-01,NGBoost,0.3556130703075411
