Date,Model,Forecast_MoM
2026-04-01,LightGBM,0.09626608142255577
2026-05-01,LightGBM,0.19108387525902515
2026-06-01,LightGBM,0.30353786547087225
2026-07-01,LightGBM,0.301681309160557
2026-08-01,LightGBM,0.14945337902877043
2026-09-01,LightGBM,0.3071183211097832
2026-10-01,LightGBM,0.012011601386177517
2026-11-01,LightGBM,0.2700247544064922
2026-12-01,LightGBM,0.36232661133799127
2027-01-01,LightGBM,-0.01509669677112413
2027-02-01,LightGBM,-0.031245744416310117
2027-03-01,LightGBM,0.04408172717418779
2027-04-01,LightGBM,0.3054764655940545
2027-05-01,LightGBM,0.1620243913921513
2027-06-01,LightGBM,0.28360257846090065
2027-07-01,LightGBM,0.3845908629865704
2027-08-01,LightGBM,0.18254839451365967
2027-09-01,LightGBM,0.3040026563717646
2027-10-01,LightGBM,0.14809735244637068
2027-11-01,LightGBM,0.25704695657863397
2027-12-01,LightGBM,0.3449601591796352
