Date,Model,Forecast_MoM
2026-04-01,SARIMA,0.2454999403808228
2026-05-01,SARIMA,0.14668957172665015
2026-06-01,SARIMA,0.15759559586686
2026-07-01,SARIMA,0.35562950716459574
2026-08-01,SARIMA,0.10793342012197074
2026-09-01,SARIMA,0.34969549043283915
2026-10-01,SARIMA,0.16824835865246968
2026-11-01,SARIMA,0.07155937056185387
2026-12-01,SARIMA,0.10985001367005348
2027-01-01,SARIMA,0.21427640178830615
2027-02-01,SARIMA,0.17560277168905794
2027-03-01,SARIMA,0.10615398487127711
2027-04-01,SARIMA,0.07680260370464573
2027-05-01,SARIMA,0.04649541755100619
2027-06-01,SARIMA,0.06388503335907579
2027-07-01,SARIMA,0.17201281479846506
2027-08-01,SARIMA,0.04946075457494496
2027-09-01,SARIMA,0.17539130309432865
2027-10-01,SARIMA,0.0840387688158491
2027-11-01,SARIMA,0.035431404827086024
2027-12-01,SARIMA,0.05547565790393347
