Date,Model,Forecast_MoM
2026-04-01,EBM,0.42867963950493504
2026-05-01,EBM,0.42624819558611193
2026-06-01,EBM,0.4723820071851321
2026-07-01,EBM,0.461746005809033
2026-08-01,EBM,0.3582182285827713
2026-09-01,EBM,0.3822523728508429
2026-10-01,EBM,0.3768528626223855
2026-11-01,EBM,0.28289626628493636
2026-12-01,EBM,0.30974533293644413
2027-01-01,EBM,0.16729589379303889
2027-02-01,EBM,0.20432600990319827
2027-03-01,EBM,0.2325542418146398
2027-04-01,EBM,0.331931830850138
2027-05-01,EBM,0.3230186396068433
2027-06-01,EBM,0.38285730799152873
2027-07-01,EBM,0.5800413114888983
2027-08-01,EBM,0.3564950231706945
2027-09-01,EBM,0.5023448640682489
2027-10-01,EBM,0.39759144991290896
2027-11-01,EBM,0.41560498545598534
2027-12-01,EBM,0.3847719420236331
