item_code,price_2026-06-29,price_2026-07-06,item,weight,price_stress_120,direct_official_06jul_pp,direct_stress_120_pp
130,81.240000,87.990000,"Бензин автомобильный марки АИ-92, л",0.010230,120.000000,0.084998,0.488078
131,87.110000,93.970000,"Бензин автомобильный марки АИ-95, л",0.015430,120.000000,0.121513,0.582588
132,101.300000,105.000000,"Бензин автомобильный марки АИ-98, л",0.001170,120.000000,0.004273,0.021598
209,89.090000,94.870000,"Дизельное топливо, л",0.002860,120.000000,0.018555,0.099228
