item_code,item_rosstat,item_name,weight_vertical,forecast_value,product_name,2026-04-27,2026-05-25,weekly_fact_index,used_weekly_fact,blended_value,model_contribution_pp,blended_contribution_pp,contribution_delta_pp,method,status
1000,8017,"Термометр медицинский безртутный (галинстановый), шт.",6e-05,99.973575,,,,,False,99.973575,-1.5855000000001951e-06,-1.5855000000001951e-06,0.0,ets_additive_trend,ok
1001,9145,"Установка натяжного потолка, м2",0.00073,100.23544,,,,,False,100.23544,0.0001718711999999978,0.0001718711999999978,0.0,ets_additive_trend,ok
1002,9223,"Услуги аренды автомобилей, час",0.00017,101.174317,,,,,False,101.174317,0.00019963389000000035,0.00019963389000000035,0.0,ets_additive_trend,ok
1003,9374,"Подписка на онлайн-видеосервисы, месяц",0.00766,100.301099,,,,,False,100.301099,0.0023064183399999507,0.0023064183399999507,0.0,ets_additive_trend,ok
1004,9462,"Проживание в гостинице 1* или в мотеле, сутки с человека",5e-05,100.84754,"Проживание в гостинице 1* или в мотеле, сутки с человека",1000.0,1000.0,100.0,True,100.0,4.2376999999999754e-05,0.0,-4.2376999999999754e-05,ets_additive_trend,ok
1005,9463,"Проживание в гостинице 2*, сутки с человека",4e-05,101.058692,"Проживание в гостинице 2*, сутки с человека",2091.65,2091.65,100.0,True,100.0,4.234767999999974e-05,0.0,-4.234767999999974e-05,ets_additive_trend,ok
1006,9464,"Проживание в гостинице 3*, сутки с человека",0.00075,104.071182,"Проживание в гостинице 3*, сутки с человека",2894.87,2969.85,102.59009903726246,True,102.59009903726246,0.003053386499999995,0.0019425742779468464,-0.0011108122220531485,ets_additive_trend,ok
1007,9465,"Проживание в гостинице 4*-5*, сутки с человека",0.00067,100.459821,"Проживание в гостинице 4*-5*, сутки с человека",3094.88,3094.88,100.0,True,100.0,0.0003080800700000035,0.0,-0.0003080800700000035,ets_additive_trend,ok
1008,9466,"Проживание в хостеле, сутки с человека",0.00061,98.953966,"Проживание в хостеле, сутки с человека",1095.45,1095.45,100.0,True,100.0,-0.0006380807400000036,0.0,0.0006380807400000036,ets_additive_trend,ok
1009,9535,"Экскурсионные туры по России, поездка",0.00138,101.611426,,,,,False,101.611426,0.0022237678799999923,0.0022237678799999923,0.0,ets_additive_trend,ok
101,9372,"Абонентская плата за доступ к сети Интернет, месяц",0.00857,99.808145,,,,,False,99.808145,-0.001644197350000033,-0.001644197350000033,0.0,ets_additive_trend,ok
1012,9793,"Услуги сиделок, час",0.00046,105.364589,,,,,False,105.364589,0.0024677109399999977,0.0024677109399999977,0.0,ets_additive_trend,ok
1013,9794,"Диагностика на магнитно-резонансном или компьютерном томографе, услуга",0.00045,100.148833,,,,,False,100.148833,6.69748499999983e-05,6.69748499999983e-05,0.0,ets_additive_trend,ok
1014,9795,"Гастроскопия (ФГДС, ЭГДС), услуга",0.00059,100.326608,,,,,False,100.326608,0.00019269871999999595,0.00019269871999999595,0.0,ets_additive_trend,ok
1020,7947,"Аскорбиновая кислота, 50 мг, 100 драже",0.00028,95.603841,,,,,False,95.603841,-0.0012309245199999992,-0.0012309245199999992,0.0,ets_additive_trend,ok
1024,8023,"Валерианы экстракт, 20 мг, 10 таблеток",0.00029,99.306348,,,,,False,99.306348,-0.00020115908000000005,-0.00020115908000000005,0.0,ets_additive_trend,ok
1025,6710,"Газета в розницу, шт.",0.00024,101.740817,,,,,False,101.740817,0.0004177960800000017,0.0004177960800000017,0.0,ets_additive_trend,ok
103,9321,"Абонентская плата за неограниченный объем местных телефонных соединений, месяц",0.00026,99.950478,,,,,False,99.950478,-1.2875719999998978e-05,-1.2875719999998978e-05,0.0,ets_additive_trend,ok
1030,9903,"Клубная карта в фитнес-клуб, месяц",0.00185,100.485601,,,,,False,100.485601,0.0008983618500000049,0.0008983618500000049,0.0,ets_additive_trend,ok
1032,4773,"Кроссовые туфли для взрослых, пара",0.00518,100.700127,"Кроссовые туфли для взрослых, пара",4352.74,4355.5,100.06340833589877,True,100.06340833589877,0.003626657859999973,0.0003284551799556334,-0.0032982026800443395,ets_additive_trend,ok
1035,8027,"Метилурацил, 10 % мазь, 25 г",0.00037,99.25353,,,,,False,99.25353,-0.0002761939000000008,-0.0002761939000000008,0.0,ets_additive_trend,ok
1037,8018,"Мирамистин, 0,01%, 150 мл",0.00039,100.870137,,,,,False,100.870137,0.0003393534299999999,0.0003393534299999999,0.0,ets_additive_trend,ok
1038,7946,"Натрия хлорид, 0,9%, 100 мл",0.00039,100.390434,,,,,False,100.390434,0.00015226925999999963,0.00015226925999999963,0.0,ets_additive_trend,ok
1039,7980,"Нафазолин, 0,1%, 15 мл",0.00044,100.742841,,,,,False,100.742841,0.00032685003999999936,0.00032685003999999936,0.0,ets_additive_trend,ok
104,9365,"Абонентская плата за пакет услуг сотовой связи, месяц",0.01009,102.83846,,,,,False,102.83846,0.02864006139999998,0.02864006139999998,0.0,ets_additive_trend,ok
1040,7951,"Парацетамол, 500 мг, 10 таблеток",0.00039,101.98236,,,,,False,101.98236,0.0007731204,0.0007731204,0.0,ets_additive_trend,ok
1041,7950,"Перекись водорода, 3%, 100 мл",0.00036,103.31949,,,,,False,103.31949,0.0011950164000000007,0.0011950164000000007,0.0,ets_additive_trend,ok
1042,3203,"Пиво, л",0.00372,101.143136,,,,,False,101.143136,0.004252465919999994,0.004252465919999994,0.0,ets_additive_trend,ok
1043,9552,"Поездка на отдых в Египет, поездка",0.0002,85.697658,,,,,False,85.697658,-0.0028604683999999994,-0.0028604683999999994,0.0,ets_additive_trend,ok
1045,8031,"Ренгалин, 20 таблеток",0.0004,99.792106,"Ренгалин, 20 таблеток",392.95,396.89,101.00267209568648,True,101.00267209568648,-8.315759999999842e-05,0.00040106883827459116,0.00048422643827458956,ets_additive_trend,ok
1046,5605,"Сигареты с фильтром, пачка",0.00866,101.174104,"Сигареты с фильтром, пачка",222.32,225.0,101.20546959337892,True,101.20546959337892,0.010167740639999997,0.010439366678661462,0.00027162603866146516,ets_additive_trend,ok
1048,5420,"Сумка женская, шт.",0.00138,99.916713,,,,,False,99.916713,-0.000114936059999998,-0.000114936059999998,0.0,ets_additive_trend,ok
1049,1124,"Творог, кг",0.00591,100.423271,"Творог, кг",507.23,507.23,100.0,True,100.0,0.0025015316099999984,0.0,-0.0025015316099999984,ets_additive_trend,ok
1050,4732,"Туфли женские закрытые, пара",0.00196,99.506622,,,,,False,99.506622,-0.0009670208800000137,-0.0009670208800000137,0.0,ets_additive_trend,ok
1051,4733,"Туфли женские летние, босоножки, пара",0.00356,101.887274,,,,,False,101.887274,0.0067186954400000175,0.0067186954400000175,0.0,ets_additive_trend,ok
1054,2207,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",0.00735,100.26896,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",90.95,91.21,100.28587135788894,True,100.28587135788894,0.001976856000000051,0.002101154480483683,0.00012429848048363173,ets_additive_trend,ok
1055,7953,"Цитрамон, 10 таблеток",0.00039,101.867547,,,,,False,101.867547,0.0007283433300000007,0.0007283433300000007,0.0,ets_additive_trend,ok
106,9391,"Абонентская плата за телевизионную антенну, месяц",0.00219,101.077174,,,,,False,101.077174,0.0023590110599999987,0.0023590110599999987,0.0,ets_additive_trend,ok
1060,9555,"Поездки в страны Закавказья, поездка",0.00022,100.165954,,,,,False,100.165954,3.6509879999999844e-05,3.6509879999999844e-05,0.0,ets_additive_trend,ok
1063,9556,"Поездки в отдельные страны Средней Азии, поездка",4e-05,115.59,,,,,False,115.59,0.0006236000000000002,0.0006236000000000002,0.0,seasonal_naive_12,fallback_short_history
1064,9553,"Поездка в Беларусь, поездка",0.0001,102.89,,,,,False,102.89,0.0002890000000000001,0.0002890000000000001,0.0,seasonal_naive_12,fallback_short_history
1065,9559,"Поездки в отдельные страны Юго-Восточной Азии, поездка",0.00017,102.927604,,,,,False,102.927604,0.0004976926800000004,0.0004976926800000004,0.0,ets_additive_trend,ok
1066,1117,"Молоко питьевое цельное пастеризованное более 3,2% жирности, л",0.00142,97.986331,,,,,False,97.986331,-0.0028594099799999903,-0.0028594099799999903,0.0,ets_additive_trend,ok
1067,1128,"Творожок детский, кг",6e-05,105.297866,,,,,False,105.297866,0.00031787195999999997,0.00031787195999999997,0.0,ets_additive_trend,ok
1068,1129,"Молоко для детей, л",1e-05,102.845763,,,,,False,102.845763,2.8457630000000053e-05,2.8457630000000053e-05,0.0,ets_additive_trend,ok
1069,2008,"Сухие приправы, специи, кг",0.00139,98.855873,,,,,False,98.855873,-0.0015903365299999965,-0.0015903365299999965,0.0,ets_additive_trend,ok
