date,micro_weighted_index,hybrid_index,micro_weight_sum,weekly_replaced_items
2026-05-01,100.26020842289458,100.1423203611819,0.9935100000000001,90
2026-06-01,99.98627549036243,99.98627549036243,0.9935100000000001,0
2026-07-01,100.136224405703,100.136224405703,0.9935100000000001,0
2026-08-01,99.93356463485017,99.93356463485017,0.9935100000000001,0
2026-09-01,100.82320714322955,100.82320714322955,0.9935100000000001,0
2026-10-01,100.84535076665559,100.84535076665559,0.9935100000000001,0
2026-11-01,100.88879896686494,100.88879896686494,0.9935100000000001,0
2026-12-01,100.93971836125453,100.93971836125453,0.9935100000000001,0
2027-01-01,101.21699654406095,101.21699654406095,0.9935100000000001,0
2027-02-01,100.87129852461474,100.87129852461474,0.9935100000000001,0
2027-03-01,100.8946609235438,100.8946609235438,0.9935100000000001,0
2027-04-01,100.73078749438858,100.73078749438858,0.9935100000000001,0
