key,h = 3,h = 9,h = 12,h = 24
svm,0.34242091803614955,0.16011051932385922,0.1275937051561688,0.22165196326525585
rf,0.26607313094341806,0.43183762298017814,0.33506702282094536,0.20356311485680292
xgb,0.2791510272701931,0.44616044092038515,0.3559288610635966,0.21798319323671161
mlp,0.29601417754460185,0.403317598624254,0.32461385369460927,0.2101063921704655
knn,0.2146323698937237,0.42266753557076137,0.34209025741283827,0.2122029176356453
(ml) ensemble,0.3402118512983541,0.13540208835997047,0.1020605492136569,0.17734726042351878
