date,model,value
2010-01-01T00:00:00Z,ipc,1.0999999999999943
2010-02-01T00:00:00Z,ipc,1.3599999999999994
2010-03-01T00:00:00Z,ipc,0.9200000000000017
2010-04-01T00:00:00Z,ipc,0.25
2010-05-01T00:00:00Z,ipc,0.7999999999999972
2010-06-01T00:00:00Z,ipc,0.37999999999999545
2010-07-01T00:00:00Z,ipc,0.4399999999999977
2010-08-01T00:00:00Z,ipc,0.45000000000000284
2010-09-01T00:00:00Z,ipc,1.1800000000000068
2010-10-01T00:00:00Z,ipc,0.4099999999999966
2010-11-01T00:00:00Z,ipc,0.7600000000000051
2010-12-01T00:00:00Z,ipc,1.0699999999999932
2011-01-01T00:00:00Z,ipc,2.260000000000005
2011-02-01T00:00:00Z,ipc,1.1800000000000068
2011-03-01T00:00:00Z,ipc,0.9399999999999977
2011-04-01T00:00:00Z,ipc,0.030000000000001137
2011-05-01T00:00:00Z,ipc,0.28000000000000114
2011-06-01T00:00:00Z,ipc,0.3100000000000023
2011-07-01T00:00:00Z,ipc,-0.29000000000000625
2011-08-01T00:00:00Z,ipc,-0.09999999999999432
2011-09-01T00:00:00Z,ipc,-0.10999999999999943
2011-10-01T00:00:00Z,ipc,0.37999999999999545
2011-11-01T00:00:00Z,ipc,-0.04999999999999716
2011-12-01T00:00:00Z,ipc,0.37000000000000455
2012-01-01T00:00:00Z,ipc,0.5999999999999943
2012-02-01T00:00:00Z,ipc,0.519999999999996
2012-03-01T00:00:00Z,ipc,0.6200000000000045
2012-04-01T00:00:00Z,ipc,0.14000000000000057
2012-05-01T00:00:00Z,ipc,0.45000000000000284
2012-06-01T00:00:00Z,ipc,0.9699999999999989
2012-07-01T00:00:00Z,ipc,1.3700000000000045
2012-08-01T00:00:00Z,ipc,-0.3100000000000023
2012-09-01T00:00:00Z,ipc,1.5300000000000011
2012-10-01T00:00:00Z,ipc,0.010000000000005116
2012-11-01T00:00:00Z,ipc,0.0799999999999983
2012-12-01T00:00:00Z,ipc,0.4399999999999977
2013-01-01T00:00:00Z,ipc,1.0600000000000023
2013-02-01T00:00:00Z,ipc,0.6099999999999994
2013-03-01T00:00:00Z,ipc,0.01999999999999602
2013-04-01T00:00:00Z,ipc,0.5699999999999932
2013-05-01T00:00:00Z,ipc,0.6500000000000057
2013-06-01T00:00:00Z,ipc,0.4899999999999949
2013-07-01T00:00:00Z,ipc,-0.030000000000001137
2013-08-01T00:00:00Z,ipc,0.3499999999999943
2013-09-01T00:00:00Z,ipc,0.37000000000000455
2013-10-01T00:00:00Z,ipc,0.6800000000000068
2013-11-01T00:00:00Z,ipc,0.29999999999999716
2013-12-01T00:00:00Z,ipc,0.20000000000000284
2014-01-01T00:00:00Z,ipc,0.480000000000004
2014-02-01T00:00:00Z,ipc,0.9500000000000028
2014-03-01T00:00:00Z,ipc,1.2000000000000028
2014-04-01T00:00:00Z,ipc,0.9899999999999949
2014-05-01T00:00:00Z,ipc,1.1299999999999955
2014-06-01T00:00:00Z,ipc,0.4099999999999966
2014-07-01T00:00:00Z,ipc,-0.37999999999999545
2014-08-01T00:00:00Z,ipc,0.20000000000000284
2014-09-01T00:00:00Z,ipc,1.0100000000000051
2014-10-01T00:00:00Z,ipc,1.0300000000000011
2014-11-01T00:00:00Z,ipc,1.6400000000000006
2014-12-01T00:00:00Z,ipc,2.75
2015-01-01T00:00:00Z,ipc,4.540000000000006
2015-02-01T00:00:00Z,ipc,2.6500000000000057
2015-03-01T00:00:00Z,ipc,0.7800000000000011
2015-04-01T00:00:00Z,ipc,0.39000000000000057
2015-05-01T00:00:00Z,ipc,0.09999999999999432
2015-06-01T00:00:00Z,ipc,-0.3100000000000023
2015-07-01T00:00:00Z,ipc,0.730000000000004
2015-08-01T00:00:00Z,ipc,0.1599999999999966
2015-09-01T00:00:00Z,ipc,0.8199999999999932
2015-10-01T00:00:00Z,ipc,0.9599999999999937
2015-11-01T00:00:00Z,ipc,0.5999999999999943
2015-12-01T00:00:00Z,ipc,1.1099999999999994
2016-01-01T00:00:00Z,ipc,0.8900000000000006
2016-02-01T00:00:00Z,ipc,1.1099999999999994
2016-03-01T00:00:00Z,ipc,0.5100000000000051
2016-04-01T00:00:00Z,ipc,0.39000000000000057
2016-05-01T00:00:00Z,ipc,0.14000000000000057
2016-06-01T00:00:00Z,ipc,0.01999999999999602
2016-07-01T00:00:00Z,ipc,0.3299999999999983
2016-08-01T00:00:00Z,ipc,-0.09000000000000341
2016-09-01T00:00:00Z,ipc,0.04999999999999716
2016-10-01T00:00:00Z,ipc,0.5900000000000034
2016-11-01T00:00:00Z,ipc,0.480000000000004
2016-12-01T00:00:00Z,ipc,0.5900000000000034
2017-01-01T00:00:00Z,ipc,0.8799999999999955
2017-02-01T00:00:00Z,ipc,0.3199999999999932
2017-03-01T00:00:00Z,ipc,0.04999999999999716
2017-04-01T00:00:00Z,ipc,0.2600000000000051
2017-05-01T00:00:00Z,ipc,0.3299999999999983
2017-06-01T00:00:00Z,ipc,0.480000000000004
2017-07-01T00:00:00Z,ipc,-0.1700000000000017
2017-08-01T00:00:00Z,ipc,-0.5600000000000023
2017-09-01T00:00:00Z,ipc,-0.10999999999999943
2017-10-01T00:00:00Z,ipc,0.4899999999999949
2017-11-01T00:00:00Z,ipc,0.20000000000000284
2017-12-01T00:00:00Z,ipc,0.21999999999999886
2018-01-01T00:00:00Z,ipc,0.3299999999999983
2018-02-01T00:00:00Z,ipc,0.29999999999999716
2018-03-01T00:00:00Z,ipc,0.5900000000000034
2018-04-01T00:00:00Z,ipc,0.39000000000000057
2018-05-01T00:00:00Z,ipc,0.20999999999999375
2018-06-01T00:00:00Z,ipc,0.519999999999996
2018-07-01T00:00:00Z,ipc,-0.06999999999999318
2018-08-01T00:00:00Z,ipc,0.21999999999999886
2018-09-01T00:00:00Z,ipc,0.4300000000000068
2018-10-01T00:00:00Z,ipc,0.480000000000004
2018-11-01T00:00:00Z,ipc,0.18999999999999773
2018-12-01T00:00:00Z,ipc,0.6700000000000017
2019-01-01T00:00:00Z,ipc,1.5100000000000051
2019-02-01T00:00:00Z,ipc,0.1700000000000017
2019-03-01T00:00:00Z,ipc,0.1599999999999966
2019-04-01T00:00:00Z,ipc,0.4300000000000068
2019-05-01T00:00:00Z,ipc,0.09000000000000341
2019-06-01T00:00:00Z,ipc,-0.030000000000001137
2019-07-01T00:00:00Z,ipc,-0.09999999999999432
2019-08-01T00:00:00Z,ipc,-0.29000000000000625
2019-09-01T00:00:00Z,ipc,0.09999999999999432
2019-10-01T00:00:00Z,ipc,0.25
2019-11-01T00:00:00Z,ipc,0.3100000000000023
2019-12-01T00:00:00Z,ipc,0.3499999999999943
2020-01-01T00:00:00Z,ipc,0.5799999999999983
2020-02-01T00:00:00Z,ipc,0.23000000000000398
2020-03-01T00:00:00Z,ipc,0.5799999999999983
2020-04-01T00:00:00Z,ipc,1.25
2020-05-01T00:00:00Z,ipc,-0.030000000000001137
2020-06-01T00:00:00Z,ipc,0.3100000000000023
2020-07-01T00:00:00Z,ipc,0.15000000000000568
2020-08-01T00:00:00Z,ipc,-0.4099999999999966
2020-09-01T00:00:00Z,ipc,0.20000000000000284
2020-10-01T00:00:00Z,ipc,0.7199999999999989
2020-11-01T00:00:00Z,ipc,0.4000000000000057
2020-12-01T00:00:00Z,ipc,0.8599999999999994
2021-01-01T00:00:00Z,ipc,0.980000000000004
2021-02-01T00:00:00Z,ipc,0.6299999999999955
2021-03-01T00:00:00Z,ipc,0.480000000000004
2021-04-01T00:00:00Z,ipc,0.6400000000000006
2021-05-01T00:00:00Z,ipc,0.4099999999999966
2021-06-01T00:00:00Z,ipc,0.8299999999999983
2021-07-01T00:00:00Z,ipc,0.4000000000000057
2021-08-01T00:00:00Z,ipc,0.14000000000000057
2021-09-01T00:00:00Z,ipc,0.7900000000000063
2021-10-01T00:00:00Z,ipc,0.6099999999999994
2021-11-01T00:00:00Z,ipc,0.9000000000000057
2021-12-01T00:00:00Z,ipc,0.7199999999999989
2022-01-01T00:00:00Z,ipc,1.230000000000004
2022-02-01T00:00:00Z,ipc,0.4000000000000057
2022-03-01T00:00:00Z,ipc,8.9
2022-04-01T00:00:00Z,ipc,1.61
2022-05-01T00:00:00Z,ipc,0.1
2022-06-01T00:00:00Z,ipc,-0.67
2022-07-01T00:00:00Z,ipc,-0.87
2010-01-01T00:00:00Z,weighted_forecast,NA
2010-02-01T00:00:00Z,weighted_forecast,NA
2010-03-01T00:00:00Z,weighted_forecast,NA
2010-04-01T00:00:00Z,weighted_forecast,NA
2010-05-01T00:00:00Z,weighted_forecast,NA
2010-06-01T00:00:00Z,weighted_forecast,NA
2010-07-01T00:00:00Z,weighted_forecast,NA
2010-08-01T00:00:00Z,weighted_forecast,NA
2010-09-01T00:00:00Z,weighted_forecast,NA
2010-10-01T00:00:00Z,weighted_forecast,NA
2010-11-01T00:00:00Z,weighted_forecast,NA
2010-12-01T00:00:00Z,weighted_forecast,NA
2011-01-01T00:00:00Z,weighted_forecast,NA
2011-02-01T00:00:00Z,weighted_forecast,NA
2011-03-01T00:00:00Z,weighted_forecast,NA
2011-04-01T00:00:00Z,weighted_forecast,NA
2011-05-01T00:00:00Z,weighted_forecast,NA
2011-06-01T00:00:00Z,weighted_forecast,NA
2011-07-01T00:00:00Z,weighted_forecast,NA
2011-08-01T00:00:00Z,weighted_forecast,NA
2011-09-01T00:00:00Z,weighted_forecast,NA
2011-10-01T00:00:00Z,weighted_forecast,NA
2011-11-01T00:00:00Z,weighted_forecast,NA
2011-12-01T00:00:00Z,weighted_forecast,NA
2012-01-01T00:00:00Z,weighted_forecast,NA
2012-02-01T00:00:00Z,weighted_forecast,NA
2012-03-01T00:00:00Z,weighted_forecast,NA
2012-04-01T00:00:00Z,weighted_forecast,NA
2012-05-01T00:00:00Z,weighted_forecast,NA
2012-06-01T00:00:00Z,weighted_forecast,NA
2012-07-01T00:00:00Z,weighted_forecast,NA
2012-08-01T00:00:00Z,weighted_forecast,NA
2012-09-01T00:00:00Z,weighted_forecast,NA
2012-10-01T00:00:00Z,weighted_forecast,NA
2012-11-01T00:00:00Z,weighted_forecast,NA
2012-12-01T00:00:00Z,weighted_forecast,NA
2013-01-01T00:00:00Z,weighted_forecast,NA
2013-02-01T00:00:00Z,weighted_forecast,NA
2013-03-01T00:00:00Z,weighted_forecast,NA
2013-04-01T00:00:00Z,weighted_forecast,NA
2013-05-01T00:00:00Z,weighted_forecast,NA
2013-06-01T00:00:00Z,weighted_forecast,NA
2013-07-01T00:00:00Z,weighted_forecast,NA
2013-08-01T00:00:00Z,weighted_forecast,NA
2013-09-01T00:00:00Z,weighted_forecast,NA
2013-10-01T00:00:00Z,weighted_forecast,NA
2013-11-01T00:00:00Z,weighted_forecast,NA
2013-12-01T00:00:00Z,weighted_forecast,NA
2014-01-01T00:00:00Z,weighted_forecast,NA
2014-02-01T00:00:00Z,weighted_forecast,NA
2014-03-01T00:00:00Z,weighted_forecast,NA
2014-04-01T00:00:00Z,weighted_forecast,NA
2014-05-01T00:00:00Z,weighted_forecast,NA
2014-06-01T00:00:00Z,weighted_forecast,NA
2014-07-01T00:00:00Z,weighted_forecast,NA
2014-08-01T00:00:00Z,weighted_forecast,NA
2014-09-01T00:00:00Z,weighted_forecast,NA
2014-10-01T00:00:00Z,weighted_forecast,NA
2014-11-01T00:00:00Z,weighted_forecast,NA
2014-12-01T00:00:00Z,weighted_forecast,NA
2015-01-01T00:00:00Z,weighted_forecast,NA
2015-02-01T00:00:00Z,weighted_forecast,NA
2015-03-01T00:00:00Z,weighted_forecast,NA
2015-04-01T00:00:00Z,weighted_forecast,NA
2015-05-01T00:00:00Z,weighted_forecast,NA
2015-06-01T00:00:00Z,weighted_forecast,NA
2015-07-01T00:00:00Z,weighted_forecast,NA
2015-08-01T00:00:00Z,weighted_forecast,NA
2015-09-01T00:00:00Z,weighted_forecast,NA
2015-10-01T00:00:00Z,weighted_forecast,NA
2015-11-01T00:00:00Z,weighted_forecast,NA
2015-12-01T00:00:00Z,weighted_forecast,NA
2016-01-01T00:00:00Z,weighted_forecast,NA
2016-02-01T00:00:00Z,weighted_forecast,NA
2016-03-01T00:00:00Z,weighted_forecast,NA
2016-04-01T00:00:00Z,weighted_forecast,NA
2016-05-01T00:00:00Z,weighted_forecast,NA
2016-06-01T00:00:00Z,weighted_forecast,NA
2016-07-01T00:00:00Z,weighted_forecast,NA
2016-08-01T00:00:00Z,weighted_forecast,NA
2016-09-01T00:00:00Z,weighted_forecast,NA
2016-10-01T00:00:00Z,weighted_forecast,NA
2016-11-01T00:00:00Z,weighted_forecast,NA
2016-12-01T00:00:00Z,weighted_forecast,NA
2017-01-01T00:00:00Z,weighted_forecast,NA
2017-02-01T00:00:00Z,weighted_forecast,NA
2017-03-01T00:00:00Z,weighted_forecast,NA
2017-04-01T00:00:00Z,weighted_forecast,NA
2017-05-01T00:00:00Z,weighted_forecast,NA
2017-06-01T00:00:00Z,weighted_forecast,NA
2017-07-01T00:00:00Z,weighted_forecast,NA
2017-08-01T00:00:00Z,weighted_forecast,NA
