key,horizon,estimate,id
svm,h = 3,5.838276652516352,1
svm,h = 9,0.7827625389166406,1
svm,h = 12,0.7789416220147628,1
svm,h = 24,0.6970394337968728,1
rf,h = 3,1.8707409825093932,2
rf,h = 9,0.5952769254623173,2
rf,h = 12,0.6010695373512025,2
rf,h = 24,0.6401545749085423,2
xgb,h = 3,1.962690727817234,3
xgb,h = 9,0.6150205572667057,3
xgb,h = 12,0.6384931410088711,3
xgb,h = 24,0.6855020788113587,3
mlp,h = 3,1.925225544689065,4
mlp,h = 9,0.3461099742018698,4
mlp,h = 12,0.3656772347560344,4
mlp,h = 24,0.42818676237073183,4
knn,h = 3,1.5090647037888616,5
knn,h = 9,0.5826361986038588,5
knn,h = 12,0.6136683670758272,5
knn,h = 24,0.6673245721797777,5
