horizon,model,N_planned,N_valid,N_common,success_rate,MAE_common,RMSE_common,bias_common,hit_within_0_5pp,MAE_available_diagnostic,max_abs_error_available,fact_vintage_id,evidence_level
1,Ridge,24,24,24,1.0,0.38443805094474,0.47890581088741196,-0.062455519895357504,0.7083333333333334,0.38443805094474,1.0294909707675828,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
1,Huber,24,24,24,1.0,0.37941493083198924,0.4725552906144441,-0.06549895061311162,0.7083333333333334,0.37941493083198924,1.0669420892676413,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
1,SeasonalNaive,24,24,24,1.0,0.5712499999999986,0.6677792799021723,0.05708333333333293,0.4583333333333333,0.5712499999999986,1.3499999999999943,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
1,Micro,24,24,24,1.0,0.4103580536075811,0.4889999555506151,0.005770035902528957,0.625,0.4103580536075811,0.8933305633715384,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
1,GroupsFixed,24,24,24,1.0,0.41631186105958573,0.49349564980570465,-0.07471134448329901,0.625,0.41631186105958573,0.8506260643726028,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
1,GroupsDated,24,24,24,1.0,0.40615909605152617,0.4892220486381562,-0.07576863078288001,0.625,0.40615909605152617,0.8866536508573574,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
2,Ridge,24,24,24,1.0,0.4355784391270798,0.5076244158757401,-0.11014735546598568,0.5833333333333334,0.4355784391270798,1.0990772372578874,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
2,Huber,24,24,24,1.0,0.4436573239799297,0.5251392168472192,-0.09018181987344083,0.5833333333333334,0.4436573239799297,1.062093039443809,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
2,SeasonalNaive,24,24,24,1.0,0.5712499999999986,0.6677792799021723,0.05708333333333293,0.4583333333333333,0.5712499999999986,1.3499999999999943,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
2,Micro,24,24,24,1.0,0.42826735704251256,0.5055085739688137,-0.0037362960314801033,0.5833333333333334,0.42826735704251256,0.9468324124753517,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
2,GroupsFixed,24,24,24,1.0,0.4426290522793264,0.5200997190712188,-0.08125236228180788,0.5416666666666666,0.4426290522793264,0.9372672915904041,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
2,GroupsDated,24,24,24,1.0,0.4417767909521689,0.5190178293601446,-0.09035847968503923,0.625,0.4417767909521689,0.9479876964319995,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
12,Ridge,24,24,24,1.0,0.422994746132104,0.5016147987117943,-0.07064424812721448,0.625,0.422994746132104,1.0517364214133664,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
12,Huber,24,24,24,1.0,0.42051101806254404,0.5093997073938984,-0.05886712127706476,0.5833333333333334,0.42051101806254404,1.0741844122339046,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
12,SeasonalNaive,24,24,24,1.0,0.5712499999999986,0.6677792799021723,0.05708333333333293,0.4583333333333333,0.5712499999999986,1.3499999999999943,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
12,Micro,24,24,24,1.0,0.4228055833493687,0.5030826058214396,-0.022120799533321217,0.5416666666666666,0.4228055833493687,0.9398340713862069,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
12,GroupsFixed,24,24,24,1.0,0.4440801480712118,0.5215450183505683,-0.08187919895827381,0.5833333333333334,0.4440801480712118,0.9753253962546561,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
12,GroupsDated,24,24,24,1.0,0.4425589466671324,0.5191631590680983,-0.0705755376108892,0.5833333333333334,0.4425589466671324,0.9490957797287509,fb58a27c1ab60175de109f352bde24b256f4deb4ca43954aa6647bc493796998,C
