run_id,status,model,observation_cutoff,target_month,group,prediction,weight,contribution
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,11,0.04631185292488635,0.011960000000000002,0.0005538897609816408
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,12,0.4599522504415176,0.034890000000000004,0.01604773401790455
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,13,0.4651522420870561,0.016550000000000002,0.007698269606540779
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,14,0.5201259888955304,0.11236000000000002,0.05844135611230181
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,15,0.6590168411915609,0.0010200000000000003,0.0006721971780153923
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,16,-0.016916059218502533,0.030420000000000003,-0.000514586521426847
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,17,0.24120077693193198,0.013950000000000002,0.003364750838200452
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,18,-0.3874744976765466,0.017140000000000002,-0.00664131289017601
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,19,1.09144610550285,0.017680000000000005,0.01929676714529039
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,20,0.012964383556663406,0.017580000000000002,0.0002279138629261427
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,21,0.3965558677494628,0.034460000000000005,0.013665315202646489
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,22,0.46283673431486866,0.011610000000000002,0.005373534485395627
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,23,0.5790071709712266,0.0016700000000000003,0.0009669419755219485
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,24,0.5452206907579583,0.033870000000000004,0.01846662479597205
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,25,-0.15666542729086885,0.013470000000000001,-0.0021102833056080034
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,26,0.5155957010629559,0.10819000000000001,0.05578229889800121
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,27,0.3477275115713723,0.027410000000000004,0.009531211092171317
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,28,0.44631240717136506,0.010720000000000002,0.004784469004877034
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,29,0.45437899966741147,0.06028000000000001,0.027389966099951566
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,30,0.3400928012623936,0.021950000000000004,0.007465036987709541
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,31,-0.3120280247587062,0.0023800000000000006,-0.000742626698925721
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,32,0.6048233163809656,0.0016500000000000002,0.0009979584720285935
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,33,-3.869720354518505,0.04914000000000001,-0.19015805822103937
20260909_m1_02,available,GroupsFixed,2023-08-01,2023-09-01,34,0.31789118703439556,0.026280000000000005,0.008354180395263916
