Date,Actual,fixed45,updated45,fixed_error,updated_error
2023-08-01,-0.06999999999999318,0.0007381074099997685,-0.07272206532853367,0.07073810740999295,-0.002722065328540496
2023-09-01,1.75,1.7219662753600016,1.7529475569450907,-0.028033724639998425,0.0029475569450907457
2023-10-01,0.45999999999999375,0.5083419900800005,0.4599342606986437,0.048341990080006725,-6.573930135006512e-05
2023-11-01,0.7399999999999949,0.6886311785400007,0.7361948531521167,-0.05136882145999422,-0.003805146847878138
2023-12-01,0.29000000000000625,0.2290316366900019,0.2917770233020447,-0.06096836331000435,0.0017770233020384385
2024-01-01,0.8700000000000045,0.9057882203299997,0.9057882203299997,0.03578822032999518,0.03578822032999518
2024-02-01,0.5300000000000011,0.4951687288499991,0.5072004204429921,-0.03483127115000206,-0.022799579557009064
2024-03-01,0.5300000000000011,0.5178740071499995,0.5350356646102489,-0.012125992850001599,0.0050356646102477365
2024-04-01,0.37999999999999545,0.34751802831999923,0.35682086485874287,-0.032481971679996224,-0.023179135141252583
2024-05-01,0.9399999999999977,0.8917179827300011,0.9377686956342266,-0.04828201726999659,-0.002231304365771125
2024-06-01,0.18000000000000682,0.11301526119000099,0.13231772265787917,-0.06698473881000583,-0.047682277342127655
2024-07-01,1.0699999999999932,1.1395413089799993,1.1102680276715677,0.0695413089800061,0.04026802767157456
2024-08-01,0.09000000000000341,0.1398764959999988,0.12486818615831208,0.049876495999995385,0.03486818615830867
2024-09-01,0.6200000000000045,0.6730325119,0.6495437904129229,0.05303251189999547,0.029543790412918325
2024-10-01,1.019999999999996,0.9820741841699994,0.9783987146690979,-0.037925815829996656,-0.04160128533089813
2024-11-01,1.5,1.5116186180699998,1.5217287806803719,0.011618618069999753,0.021728780680371873
2024-12-01,0.9099999999999966,0.9748525729199989,0.9558008876470374,0.06485257292000235,0.04580088764704082
2025-01-01,0.8400000000000034,0.8478998416000004,0.8478998416000006,0.007899841599997015,0.007899841599997237
2025-02-01,1.3400000000000034,1.2983975002200003,1.3004563630666284,-0.04160249978000308,-0.03954363693337504
2025-03-01,0.8100000000000023,0.8336486646700013,0.8590654639429894,0.023648664669999042,0.049065463942987164
2025-04-01,0.5300000000000011,0.4023229009,0.45043103866785106,-0.12767709910000113,-0.07956896133215008
2025-05-01,-0.06999999999999318,-0.11070650967999908,-0.09930566739067903,-0.0407065096800059,-0.029305667390685852
2025-06-01,-0.04000100000000373,-0.08625191805000067,-0.043945162674775225,-0.04625091804999694,-0.003944162674771497
2025-07-01,0.35999999999999943,0.36832548102999935,0.36243266783130257,0.008325481029999915,0.002432667831303137
2025-08-01,-0.5699999999999932,-0.6434933331799997,-0.5735643041358773,-0.0734933331800065,-0.0035643041358841554
2025-09-01,1.0,1.0771795827099995,0.9995898966123441,0.07717958270999947,-0.0004101033876559024
2025-10-01,0.5300000000000011,0.6146334533800002,0.5332975851733297,0.08463345337999906,0.0032975851733285655
2025-11-01,0.15000000000000568,0.17856546837000012,0.14710912454982697,0.028565468369994435,-0.002890875450178715
2025-12-01,0.29000000000000625,0.29753399941999936,0.28577327184050316,0.007533999419993109,-0.00422672815950309
2026-01-01,1.5699999999999932,1.5667551083399993,1.5667551083399995,-0.003244891659993865,-0.003244891659993643
2026-02-01,1.0999999999999943,1.06712365904,1.0957276204657762,-0.032876340959994366,-0.004272379534218107
2026-03-01,0.5400000000000063,0.5131899661399996,0.5358001515094799,-0.026810033860006688,-0.004199848490526348
2026-04-01,-0.27999900000000366,-0.2231737869,-0.28111717396060704,0.05682521310000366,-0.0011181739606033747
2026-05-01,0.09000000000000341,0.11433154021999826,0.09106400282082151,0.024331540219994854,0.0010640028208181024
2026-06-01,1.0600000000000023,1.0321487614999993,1.0588377689926851,-0.02785123850000293,-0.0011622310073171604
