Model,MAE,RMSE,KPI,KPI_violations,n_obs
Rolling_24m,0.31394991811453465,0.357008218088162,83.33333333333334,2,12
Huber (best),0.3178132239684525,0.38472891416471766,75.0,3,12
Ridge (baseline),0.3353291891661409,0.4084741483631984,75.0,3,12
Rolling_48m,0.3663824542447607,0.4148300652251225,75.0,3,12
Rolling_36m,0.3699975610636225,0.42772919290899003,66.66666666666666,4,12
