horizon,candidate,n,rmse,benchmark_rmse,rrmse,mae,benchmark_mae,rmae,outperform_ratio,outperform_10pct_ratio,passes_pilot_gate
1,d_Ki,122,0.7021417626364834,0.731667064611375,0.9596465340549749,0.4584567998705865,0.4691716177296069,0.9771622633294166,0.5163934426229508,0.13934426229508196,False
1,spread_Ruonia_Ki,123,0.715196709997582,0.7301306264262113,0.9795462402368645,0.45103874195962845,0.46949544482744715,0.9606882173806776,0.5528455284552846,0.3902439024390244,False
1,fl_potrb_zad,123,0.7267724448250974,0.7301306264262113,0.9954005742540191,0.46800049174812064,0.46949544482744715,0.9968158304925068,0.5284552845528455,0.13821138211382114,False
1,Prod,123,0.7268630292635213,0.7301306264262113,0.9955246403254114,0.478262351531231,0.46949544482744715,1.0186730388981855,0.43089430894308944,0.1951219512195122,False
1,Serv,123,0.7291279475408483,0.7301306264262113,0.998626713016723,0.4785329304834449,0.46949544482744715,1.0192493574869919,0.43089430894308944,0.21138211382113822,False
1,fl_dep,123,0.7293274062907311,0.7301306264262113,0.998899895297624,0.49177531174027134,0.46949544482744715,1.0474549160344093,0.44715447154471544,0.0975609756097561,False
1,usd_nom_i,123,0.7347028003347533,0.7301306264262113,1.0062621313817797,0.45917356459879266,0.46949544482744715,0.9780149512793503,0.5203252032520326,0.43089430894308944,False
1,Nonprod,123,0.7358493430382521,0.7301306264262113,1.0078324568304062,0.4698998403868637,0.46949544482744715,1.0008613407518048,0.4878048780487805,0.17073170731707318,False
1,all_real,123,0.744320322914654,0.7301306264262113,1.0194344627863337,0.45921143924818847,0.46949544482744715,0.9780956222417913,0.5365853658536586,0.42276422764227645,False
1,Ki,123,0.7592875448790635,0.7301306264262113,1.03993383840857,0.5088085304091776,0.46949544482744715,1.0837347540106148,0.5447154471544715,0.34146341463414637,False
1,d_spread_Ruonia_Ki,122,0.7708195662215775,0.731667064611375,1.0535113626181853,0.4847649145234193,0.4691716177296069,1.0332358058427975,0.5081967213114754,0.319672131147541,False
1,Ki_i,123,0.7892868894072831,0.7301306264262113,1.0810214786778982,0.4731564193586143,0.46949544482744715,1.007797678489751,0.5853658536585366,0.3333333333333333,False
1,Ruonia_i,123,0.8425858934256015,0.7301306264262113,1.154020750437258,0.469924961020517,0.46949544482744715,1.0009148463479294,0.5772357723577236,0.42276422764227645,False
1,d_Ruonia,122,0.8828523422810568,0.731667064611375,1.2066312466175908,0.4708362331683144,0.4691716177296069,1.003547988360342,0.5409836065573771,0.4098360655737705,False
1,Ruonia,123,0.8961658903825296,0.7301306264262113,1.2274048751646198,0.47691346955619884,0.46949544482744715,1.015799992972196,0.5447154471544715,0.43089430894308944,False
2,Ki,122,0.7148797398469469,0.7410012246607679,0.9647483918453987,0.48512825514381774,0.47897179225473213,1.0128534978231274,0.5655737704918032,0.36065573770491804,False
2,d_Ki,121,0.7379465879337193,0.7434009850978442,0.9926629137256159,0.48660199678516547,0.48009063376190636,1.0135627787033403,0.3884297520661157,0.1322314049586777,False
2,Prod,122,0.7401065615663391,0.7410012246607679,0.998792629398368,0.48248215056184857,0.47897179225473213,1.0073289458040768,0.4672131147540984,0.21311475409836064,False
2,Serv,122,0.7405691249164802,0.7410012246607679,0.9994168704046534,0.48130117832587677,0.47897179225473213,1.0048633053319886,0.4918032786885246,0.23770491803278687,False
2,fl_potrb_zad,122,0.7449795733259365,0.7410012246607679,1.005368882712697,0.4846330671790544,0.47897179225473213,1.0118196416070186,0.4262295081967213,0.040983606557377046,False
2,fl_dep,122,0.7457827829194507,0.7410012246607679,1.006452834488731,0.48199501330132566,0.47897179225473213,1.0063118978935313,0.5245901639344263,0.1721311475409836,False
2,spread_Ruonia_Ki,122,0.7465198811491154,0.7410012246607679,1.0074475672977112,0.47694075692808524,0.47897179225473213,0.9957595930292974,0.5819672131147541,0.4016393442622951,False
2,usd_nom_i,122,0.7476832865520239,0.7410012246607679,1.0090176124800807,0.46366591232007115,0.47897179225473213,0.9680442978434921,0.5737704918032787,0.4016393442622951,False
2,Nonprod,122,0.7483991967349408,0.7410012246607679,1.0099837514810583,0.47944726888642186,0.47897179225473213,1.0009927027841274,0.4918032786885246,0.13934426229508196,False
2,all_real,122,0.7583533142645822,0.7410012246607679,1.0234170862696728,0.46977980478777126,0.47897179225473213,0.9808089169015776,0.5737704918032787,0.38524590163934425,False
2,Ruonia_i,122,0.776727217462092,0.7410012246607679,1.048213135973803,0.4816354872150061,0.47897179225473213,1.0055612773097446,0.6475409836065574,0.2540983606557377,False
2,Ki_i,122,0.7853710980043129,0.7410012246607679,1.0598782726220968,0.4786879898316788,0.47897179225473213,0.9994074757059965,0.6229508196721312,0.2786885245901639,False
2,d_spread_Ruonia_Ki,121,0.7929177175833125,0.7434009850978442,1.066608376203525,0.5162944380003117,0.48009063376190636,1.0754103531550254,0.4628099173553719,0.2066115702479339,False
2,d_Ruonia,121,0.8155710992444128,0.7434009850978442,1.097081004186549,0.4845722170052428,0.48009063376190636,1.0093348691438104,0.5867768595041323,0.32231404958677684,False
2,Ruonia,122,0.824013250223146,0.7410012246607679,1.1120268399021624,0.5008860502766482,0.47897179225473213,1.0457527110704286,0.5245901639344263,0.2540983606557377,False
12,Prod,112,0.7358530636324468,0.7487326933695237,0.9827980935637862,0.4672315333925354,0.4802071956587411,0.9729790340846396,0.5178571428571429,0.2857142857142857,False
12,spread_Ruonia_Ki,112,0.7391187323463991,0.7487326933695237,0.9871596884866094,0.4619174309188824,0.4802071956587411,0.9619127641043174,0.5267857142857143,0.4732142857142857,False
12,Serv,112,0.7404110783701567,0.7487326933695237,0.9888857330886445,0.47255507729441615,0.4802071956587411,0.9840649652202152,0.5625,0.3125,False
12,Ruonia,112,0.7418536052484281,0.7487326933695237,0.9908123577586313,0.4753053967644628,0.4802071956587411,0.9897923251908917,0.5714285714285714,0.3392857142857143,False
12,all_real,112,0.7474237367096035,0.7487326933695237,0.9982517703961482,0.47978010341426397,0.4802071956587411,0.9991106084033347,0.5267857142857143,0.14285714285714285,False
12,usd_nom_i,112,0.7476099613521213,0.7487326933695237,0.9985004901918336,0.479789824963672,0.4802071956587411,0.99913085289258,0.5178571428571429,0.17857142857142858,False
12,fl_dep,112,0.7489231138631426,0.7487326933695237,1.0002543237330292,0.47619362600635,0.4802071956587411,0.9916420043500487,0.5714285714285714,0.1875,False
12,Nonprod,112,0.750834514171306,0.7487326933695237,1.0028071711311595,0.4817397646243675,0.4802071956587411,1.0031914743874757,0.4642857142857143,0.16071428571428573,False
12,Ki_i,112,0.752472753200651,0.7487326933695237,1.004995187019677,0.48239575166877874,0.4802071956587411,1.0045575243974332,0.4732142857142857,0.044642857142857144,False
12,fl_potrb_zad,112,0.7541687357051311,0.7487326933695237,1.0072603245240215,0.48695410272466155,0.4802071956587411,1.0140499916013652,0.4375,0.044642857142857144,False
12,Ruonia_i,112,0.7566902971841729,0.7487326933695237,1.0106280971635384,0.4815760888258184,0.4802071956587411,1.0028506302684606,0.5357142857142857,0.1875,False
12,d_Ruonia,111,0.760223284522869,0.7513741364582417,1.011777285955489,0.4844945555947618,0.4814025900718354,1.006422826936733,0.5225225225225225,0.1981981981981982,False
12,d_spread_Ruonia_Ki,111,0.7752417811187385,0.7513741364582417,1.0317653263565898,0.49041794426418917,0.4814025900718354,1.01872726565723,0.6036036036036037,0.3153153153153153,False
12,Ki,112,0.7959072906651643,0.7487326933695237,1.063005926832633,0.5145561283644574,0.4802071956587411,1.0715294002593962,0.45535714285714285,0.4107142857142857,False
12,d_Ki,111,0.8996344003743245,0.7513741364582417,1.1973188278943676,0.5625774144061769,0.4814025900718354,1.1686214947913525,0.4954954954954955,0.1981981981981982,False
