Item_code;Товар;Компонент;Субкомпонент;Weight
231;Земля для растений, л;Непродовольственные товары;Другие непродовольственные товары;0.00027
232;Зеркало навесное для ванной комнаты, шт.;Непродовольственные товары;Мебель;0.00125
233;Зефир, пастила, кг;Продовольственные товары;Кондитерские изделия;0.00143
234;Зонт, шт.;Непродовольственные товары;Галантерея;0.00109
236;Игрушки мягкие, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00012
237;Игрушки пластмассовые для детей ясельного возраста, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00039
238;Изготовление гроба, шт.;Услуги;Бытовые услуги;0.00038
239;Изготовление коронки, шт.;Услуги;Медицинские услуги;0.00131
240;Изготовление съёмного протеза, протез;Услуги;Медицинские услуги;0.00127
241;Изготовление фотографий для документов, 4 шт.;Услуги;Бытовые услуги;0.00011
243;Икра лососевых рыб, отечественная, кг;Продовольственные товары;Рыбопродукты;0.00046
244;Индапамид, 2,5 мг, 10 таблеток;Непродовольственные товары;Медицинские товары;0.00035
245;Йогурт, 125 г;Продовольственные товары;Молоко и молочная продукция;0.00113
246;Йод, 10 мл;Непродовольственные товары;Медицинские товары;0.00036
247;Какао, кг;Продовольственные товары;Чай, кофе, какао;0.00055
248;Кальмары мороженые, кг;Продовольственные товары;Рыбопродукты;0.00023
249;Капуста белокочанная свежая, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00236
250;Карамель, кг;Продовольственные товары;Кондитерские изделия;0.00369
251;Карандаш чернографитный, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00034
252;Картофель, кг;Продовольственные товары;Плодоовощная продукция, включая картофель;0.00612
253;Кастрюля из эмалированной или нержавеющей стали, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00178
254;Кексы, рулеты, кг;Продовольственные товары;Кондитерские изделия;0.00333
256;Кетчуп, кг;Продовольственные товары;Другие продовольственные товары;0.00182
257;Кинотеатры, билет;Услуги;Услуги организаций культуры;0.00023
258;Кирпич красный, 1000 шт.;Непродовольственные товары;Строительные материалы;0.00015
259;Кисломолочные продукты, кг;Продовольственные товары;Молоко и молочная продукция;0.00311
260;Клинический осмотр животного, посещение;Услуги;Другие услуги;0.00037
261;Книга художественная, шт.;Непродовольственные товары;Печатные издания;0.00028
263;Ковер, ковровое покрытие (палас) синтетический, м2;Непродовольственные товары;Другие непродовольственные товары;0.00279
265;Колбаса вареная, кг;Продовольственные товары;Мясопродукты;0.00464
266;Колбаса полукопченая и варено-копченая, кг;Продовольственные товары;Мясопродукты;0.00298
267;Колбаса сырокопченая, кг;Продовольственные товары;Мясопродукты;0.00053
271;Колготки детские, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00035
272;Колготки женские эластичные, шт.;Непродовольственные товары;Другие непродовольственные товары;0.00127
273;Кольцо обручальное золотое, грамм;Непродовольственные товары;Другие непродовольственные товары;0.00353
274;Коляска для новорожденного, шт.;Непродовольственные товары;Галантерея;0.00064
275;Комбинезон (костюм) утепленный для детей дошкольного возраста, шт.;Непродовольственные товары;Одежда и белье;0.00047
276;Комбинезон утепленный для детей до одного года, шт.;Непродовольственные товары;Одежда и белье;0.00038
280;Комплект постельного белья полутораспальный из хлопчатобумажной ткани, комплект;Непродовольственные товары;Одежда и белье;0.0027
281;Комплект столовых приборов, комплект на 1 человека;Непродовольственные товары;Другие непродовольственные товары;0.00028
282;Компьютер персональный переносной (ноутбук), шт.;Непродовольственные товары;Персональные компьютеры;0.00185
