date,Item_code,Name,Weight,Prediction,Contribution,Method,Parent
2026-08-01,172,"Водоотведение, м3",0.00325,0.3275509622271761,0.0010645406272383224,native,14
2026-08-01,173,"Водоснабжение горячее, м3",0.00592,0.8220867963565696,0.004866753834430892,native,14
2026-08-01,174,"Водоснабжение холодное, м3",0.0053,0.23820149234364246,0.0012624679094213052,native,14
2026-08-01,181,"Выполнение обойных работ, 10 м2",0.00103,0.5018049341768741,0.0005168590822021803,native,12
2026-08-01,182,"Выполнение работ по облицовке кафельной плиткой, м2",0.00119,0.5661346033394865,0.000673700177973989,native,12
2026-08-01,184,"Газ сетевой, м3",0.01097,0.34243372662338534,0.0037564979810585375,native,14
2026-08-01,185,"Газ сетевой, месяц с человека",0.0095,0.3451375956876947,0.0032788071590330995,native,14
2026-08-01,189,"Газовое моторное топливо, л",0.00226,3.6227355002478023,0.008187382230560033,native,42
2026-08-01,195,"Говядина (кроме бескостного мяса), кг",0.01634,0.8520705150513678,0.01392283221593935,native,26
2026-08-01,196,"Говядина бескостная, кг",0.01193,0.902298649313752,0.010764422886313062,native,26
2026-08-01,197,"Годовая стоимость полиса добровольного страхования жилья от стандартных рисков, полис",0.00027,0.6076775905578262,0.00016407294945061307,native,55
2026-08-01,198,"Годовая стоимость полиса добровольного страхования легкового автомобиля от стандартных рисков (КАСКО), полис",0.00223,0.6640286341434614,0.001480783854139919,native,55
2026-08-01,203,"Горох и фасоль, кг",0.00191,0.3328616546785088,0.0006357657604359519,native,18
2026-08-01,204,"Груши, кг",0.00292,-2.4041848475791063,-0.00702021975493099,native,33
2026-08-01,205,"Джемпер для детей школьного возраста, шт.",0.00045,0.4951458522206993,0.00022281563349931468,native,43
2026-08-01,206,"Джемпер женский, шт.",0.00129,0.43570322790150967,0.0005620571639929474,native,43
2026-08-01,207,"Джемпер мужской, шт.",0.00127,0.4118591614201982,0.0005230611350036517,native,43
2026-08-01,208,"Диван-кровать, шт.",0.00253,0.315246609269023,0.0007975739214506281,native,20
2026-08-01,209,"Дизельное топливо, л",0.00286,-0.5181388730955953,-0.0014818771770534025,native,42
2026-08-01,210,"Дом отдыха, пансионат, день",0.00177,-3.311114111111115,-0.005860671976666673,short_history,35
2026-08-01,211,"Дополнительные занятия в государственных и муниципальных общеобразовательных организациях очной формы обучения, академический час",0.00031,0.14520797676672076,4.5014472797683436e-05,native,44
2026-08-01,212,"Дополнительные занятия для детей дошкольного возраста, академический час",0.00189,0.36778167939424666,0.0006951073740551262,native,44
2026-08-01,213,"Доска обрезная, м3",0.00153,0.7973685782451982,0.0012199739247151533,native,38
2026-08-01,214,"Дрель электрическая, шт.",0.00056,-0.20342314522663074,-0.0001139169613269132,native,15
2026-08-01,216,"Дротаверин (Но-шпа), 40 мг, 100 таблеток",0.00039,0.0809923644969765,3.158702215382083e-05,native,21
2026-08-01,218,"Еврошифер, 10 м2",0.00011,1.1321037800520273,0.00012453141580572301,native,38
2026-08-01,221,"Жевательная резинка, упаковка",0.00016,0.606541969274864,9.704671508397826e-05,native,16
2026-08-01,223,"Жидкие чистящие и моющие средства, л",0.00353,-0.09486298027708162,-0.00033486632037809814,native,25
2026-08-01,228,"Занятия в плавательных бассейнах, месяц",0.00091,0.8211717243665297,0.0007472662691735421,native,55
2026-08-01,229,"Занятия на курсах иностранных языков, академический час",0.00156,0.3831325756590307,0.0005976868180280879,native,44
2026-08-01,230,"Занятия на курсах профессионального обучения, академический час",0.00123,0.17244577901293923,0.00021210830818591523,native,44
2026-08-01,231,"Земля для растений, л",0.00027,0.7116631849484958,0.00019214905993609387,native,54
2026-08-01,232,"Зеркало навесное для ванной комнаты, шт.",0.00125,0.4518099872987945,0.0005647624841234932,native,20
2026-08-01,233,"Зефир, пастила, кг",0.00143,0.5956310986485666,0.0008517524710674502,native,16
2026-08-01,234,"Зонт, шт.",0.00109,0.9081248617300645,0.0009898560992857703,native,13
2026-08-01,236,"Игрушки мягкие, шт.",0.00012,0.4292745285010639,5.151294342012767e-05,native,54
2026-08-01,237,"Игрушки пластмассовые для детей ясельного возраста, шт.",0.00039,1.0190685940079691,0.00039743675166310793,native,54
2026-08-01,238,"Изготовление гроба, шт.",0.00038,0.13044062657502575,4.956743809850979e-05,native,12
2026-08-01,239,"Изготовление коронки, шт.",0.00131,0.4135853061545886,0.0005417967510625111,native,22
2026-08-01,240,"Изготовление съёмного протеза, протез",0.00127,0.423556550445051,0.0005379168190652148,native,22
2026-08-01,241,"Изготовление фотографий для документов, 4 шт.",0.00011,0.5775753092943923,6.353328402238316e-05,native,12
2026-08-01,243,"Икра лососевых рыб, отечественная, кг",0.00046,0.5581983735738505,0.0002567712518439712,native,34
2026-08-01,244,"Индапамид, 2,5 мг, 10 таблеток",0.00035,0.22166627777777448,7.758319722222106e-05,calendar_gap_in_required_features,21
2026-08-01,245,"Йогурт, 125 г",0.00113,0.7112869068199466,0.0008037542047065395,native,24
2026-08-01,246,"Йод, 10 мл",0.00036,1.2600944986764029,0.00045363401952350506,native,21
2026-08-01,247,"Какао, кг",0.00055,-0.11538287643395037,-6.34605820386727e-05,native,50
2026-08-01,248,"Кальмары мороженые, кг",0.00023,0.9400187500994284,0.00021620431252286854,native,34
2026-08-01,249,"Капуста белокочанная свежая, кг",0.00236,0.6682168253422869,0.0015769917078077972,native,33
2026-08-01,250,"Карамель, кг",0.00369,0.744800881714607,0.0027483152535269,native,16
2026-08-01,251,"Карандаш чернографитный, шт.",0.00034,0.1892760183014836,6.435384622250443e-05,native,54
2026-08-01,252,"Картофель, кг",0.00612,-3.27498874929488,-0.020042931145684662,native,33
2026-08-01,253,"Кастрюля из эмалированной или нержавеющей стали, шт.",0.00178,0.043185555854075075,7.687028942025363e-05,native,54
2026-08-01,254,"Кексы, рулеты, кг",0.00333,0.23496590675379841,0.0007824364694901488,native,16
2026-08-01,256,"Кетчуп, кг",0.00182,0.47181928758209524,0.0008587111033994133,native,53
2026-08-01,257,"Кинотеатры, билет",0.00023,-0.20227158984700147,-4.652246566481034e-05,native,46
2026-08-01,258,"Кирпич красный, 1000 шт.",0.00015,0.5998100025497655,8.997150038246482e-05,native,38
2026-08-01,259,"Кисломолочные продукты, кг",0.00311,0.26383344839519934,0.00082052202450907,native,24
2026-08-01,260,"Клинический осмотр животного, посещение",0.00037,0.13924066375721048,5.151904559016788e-05,native,55
2026-08-01,261,"Книга художественная, шт.",0.00028,0.2537172492651979,7.10408297942554e-05,native,32
2026-08-01,263,"Ковер, ковровое покрытие (палас) синтетический, м2",0.00279,0.6429903688699474,0.0017939431291471534,native,54
2026-08-01,265,"Колбаса вареная, кг",0.00464,0.953363323597341,0.004423605821491663,native,26
2026-08-01,266,"Колбаса полукопченая и варено-копченая, кг",0.00298,1.1581303131735172,0.0034512283332570814,native,26
2026-08-01,267,"Колбаса сырокопченая, кг",0.00053,0.17726351684145564,9.394966392597148e-05,native,26
2026-08-01,271,"Колготки детские, шт.",0.00035,0.23329959048683185,8.165485667039115e-05,native,54
2026-08-01,272,"Колготки женские эластичные, шт.",0.00127,0.3579936478285548,0.00045465193274226465,native,54
2026-08-01,273,"Кольцо обручальное золотое, грамм",0.00353,0.8717424134439598,0.003077250719457178,native,54
2026-08-01,274,"Коляска для новорожденного, шт.",0.00064,0.11689619609725578,7.481356550224371e-05,native,13
2026-08-01,275,"Комбинезон (костюм) утепленный для детей дошкольного возраста, шт.",0.00047,0.2809554764007116,0.00013204907390833444,native,29
2026-08-01,276,"Комбинезон утепленный для детей до одного года, шт.",0.00038,1.2876904099766806,0.0004893223557911387,native,29
2026-08-01,280,"Комплект постельного белья полутораспальный из хлопчатобумажной ткани, комплект",0.0027,0.5805543679688245,0.0015674967935158264,native,29
