Item_code,Item_name,Item_rosstat
657,"Туфли женские закрытые с верхом из натуральной кожи, пара",4715
658,"Туфли женские летние, босоножки  с верхом из искусственной кожи, пара",4725
659,"Туфли женские модельные с верхом из натуральной кожи, пара",4726
660,"Тушь для ресниц, шт.",5318
661,"Тюль, полотно гардинное, м",5411
662,"Уголь, т",8201
663,"Удаление зуба под местным обезболиванием, удаление",9763
664,"Удостоверение завещания в нотариальной конторе, услуга",9801
665,"Ужин в ресторане, на 1 человека",3607
666,"Ультразвуковое исследование брюшной полости, исследование",9712
667,"Услуги банков",9850
668,"Услуги бань и душевых",87
669,"Услуги в сфере внутреннего туризма",9560
671,"Услуги высшего образования",9940
672,"Услуги гостиниц и прочих мест проживания",9490
673,"Услуги дошкольного воспитания",9510
674,"Услуги образования",9500
675,"Услуги организатора проведения торжеств, услуга",9191
676,"Услуги организаций ЖКХ, оказываемые населению",9410
677,"Услуги парикмахерских",88
678,"Услуги по воспитанию детей, предоставляемые наемным персоналом, час",9911
679,"Услуги по организации и выполнению работ по эксплуатации домов ЖК, ЖСК, ТСЖ, м2 общей площади",9413
680,"Услуги по подключению к сети Интернет",9370
681,"Услуги по снабжению электроэнергией",9475
682,"Услуги правового характера",9800
683,"Услуги профессионального обучения",9930
684,"Услуги среднего образования",9920
685,"Услуги страхования",9880
686,"Услуги телевещания",9390
687,"Услуги физической культуры и спорта",9900
688,"Услуги фотоателье",86
689,"Услуги электросвязи",9380
690,"Установка пластиковых окон, м2",9142
691,"Устная консультация юриста по семейным вопросам, консультация",9802
692,"Учебник, учебное пособие, дидактический материал для общеобразовательной школы, шт.",6708
693,"Фарфоро-фаянсовая посуда",6200
694,"Фарш мясной, кг",105
695,"Физиотерапевтическое лечение, процедура",9713
696,"Филе рыбное мороженое",430
697,"Филе рыбное, кг",404
698,"Филе сельди соленое, кг",502
699,"Флеш-накопитель USB, шт.",7022
700,"Флуоцинолона ацетонид, 0,025% мазь, 15 г",7968
701,"Фотоаппарат, шт.",7305
702,"Фрукты и цитрусовые",2700
703,"Футболка детская, шт.",4503
704,"Халат женский, шт.",4147
705,"Химическая чистка, услуги прачечных",84
706,"Химчистка мужского костюма, шт.",9125
707,"Хлеб и булочные изделия из пшеничной муки",2210
708,"Хлеб и булочные изделия из пшеничной муки 1 и 2 сортов, кг",2203
709,"Хлеб и булочные изделия из пшеничной муки высшего сорта, кг",2202
710,"Хлеб из ржаной муки и из смеси муки ржаной и пшеничной, кг",2201
711,"Хлопья из злаков (сухие завтраки), кг",2206
712,"Холодильник двухкамерный, емкостью 250-360 л, шт.",6429
713,"Холодильники бытовые",6420
714,"Цемент тарированный, 50 кг",7407
715,"Чай",1920
716,"Чай черный байховый пакетированный, 25 пакетиков",1905
717,"Чай черный байховый, кг",1903
718,"Чайник, шт.",6011
719,"Часы",6300
720,"Часы будильник, шт.",6302
721,"Часы наручные, шт.",6305
722,"Чашка чайная с блюдцем, комплект",6202
723,"Чеснок, кг",2611
724,"Чулочно-носочные изделия",4600
725,"Шампанское",3100
726,"Шампунь, 250 мл",5303
727,"Шиномонтаж колес легкового автомобиля, услуга",9137
728,"Шины для легкового автомобиля, шт.",7705
729,"Шкаф-вешалка для прихожей, шт.",5818
730,"Шкаф для платья и белья, шт.",5802
731,"Шкаф навесной кухонный (полка), двухстворчатый, шт.",5819
732,"Школьно-письменные принадлежности и канцелярские товары",6600
733,"Шоколад и изделия кондитерские сахаристые",1710
734,"Шоколад, кг",1714
735,"Щетка зубная, шт.",5406
736,"Экскурсионная поездка в Германию, поездка",9546
737,"Экскурсионная поездка во Францию, поездка",9544
738,"Экскурсионная поездка на автобусе по городам Европы, поездка",9545
739,"Экскурсионные услуги",9550
740,"Экскурсия автобусная, час",9534
741,"Электропылесос напольный, шт.",6413
742,"Электроутюг, шт.",6435
743,"Электрочайник, шт.",6425
744,"Электроэнергия в квартирах без электроплит сверх минимального объема потребления, в расчете за 100 кВт.ч",9472
745,"Электроэнергия в квартирах без электроплит за минимальный объем потребления, в расчете за 100 кВт.ч",9471
746,"Электроэнергия в квартирах с электроплитами за минимальный объем потребления, в расчете за 100 кВт.ч",9473
747,"Электроэнергия в квартирах с электроплитами сверх минимального объема потребления, в расчете за 100 кВт.ч",9474
748,"Эналаприл, 5 мг, 10 таблеток",7929
749,"Эссенциале форте Н, 300 мг, 10 капсул",7988
750,"Юбка для девочек школьного возраста из полушерстяных тканей, шт.",4163
751,"Юбка женская из полушерстяных или смесовых тканей, шт.",4139
752,"Ювелирные изделия",7500
753,"Яблоки, кг",2701
754,"Яйца куриные, 10 шт.",1501
755,"Проезд в купейном вагоне скорого фирменного поезда дальнего следования, в расчете на 100 км пути",9293
756,"Проезд в плацкартном вагоне скорого фирменного поезда дальнего следования, в расчете на 100 км пути",9295
757,"Экскурсионная поездка в Финляндию, поездка",9543
758,"Проезд в метро, поездка",9214
759,"Водоснабжение холодное и водоотведение, м3",
760,"Плата за жилье в домах государственного и муниципального жилищных фондов, м2 общей площади",
761,"DVD-диск с записью, шт.",7021
762,"Газ сжиженный в баллонах, 50 л",9453
763,"Диазолин, 100 мг, 10 драже",7996
764,"Колготки женские эластичные плотностью 15-20 DEN, шт.",4606
765,"Колготки женские эластичные плотностью свыше 20 DEN, шт.",4607
766,"Колдрекс, порошок 5 г, 10 пакетов",7906
767,"Легковой автомобиль импортный новый, шт.",7706
768,"Легковой автомобиль иностранной марки, собранный  на автомобильном заводе на территории России, шт.",7707
769,"Подготовка юристом искового заявления в суд о расторжении брака, заявление",9803
770,"Пресервы рыбные, 350 г",603
771,"Проезд в городском коммерческом автобусе, поездка",9216
772,"Проезд в городском муниципальном автобусе, поездка",9211
773,"Рытье могилы ручным способом на новом месте захоронения, услуга",9131
774,"Рытье могилы ручным способом на родственном месте захоронения, услуга",9133
775,"Стрепсилс, таблетки для рассасывания, 10 таблеток",7984
776,"Бензин автомобильный марки А-76 (АИ-80), л",7801
777,"Рытье могилы механическим способом на новом месте захоронения, услуга",
778,"Молоко сухое цельное, кг",1115
779,"Отправка телеграммы обыкновенной внутренней, 15 слов",9341
780,"Платок носовой, шт.",5418
781,"Пошив женского платья, шт.",9104
782,"Проигрыватель мультимедиа, шт.",7018
783,"Соль йодированная пищевая, кг",2005
784,"Телеграфная связь",9340
785,"Шифер, 10 м2",7409
786,"Поездка на отдых в Турцию, поездка",9541
787,"Водоснабжение горячее, месяц с человека",9446
788,"Отопление, м2 общей площади",9445
789,"Пижама детская, шт.",
790,"Платье (сарафан) для девочек школьного возраста  из хлопчатобумажных или смесовых тканей летнее, шт.",
791,"Холодильник (""Минск"", ""Бирюса"") двух - трехкамерный, шт.",
792,"Холодильник компрессионный, напольный, однокамерный, класс **, емкость холодильной камеры до 250 л, отечественного производства и производства стран СНГ, шт.",
793,"Брюки для детей дошкольного возраста (рост 92-122 см) из полушерстяных или смесовых тканей, шт.",
794,"Брюки из джинсовой ткани для детей дошкольного возраста (рост 92-122 см), шт.",
795,"Варежки (перчатки) детские, пара",4415
796,"Водоснабжение холодное и водоотведение, месяц с человека",9442
797,"Головной убор женский из овчины, меха кролика,  искусственного меха,  или комбинированный с кожей, замшей, утепленный, шт.",
798,"Джемпер (свитер) для детей дошкольного возраста (рост 92-122 см), шт.",
799,"Костюм трикотажный для детей дошкольного возраста, комплект",
800,"Майка детская, шт.",
801,"Меховой головной убор детский, шт.",
802,"Пальто (полупальто)  зимнее женское с верхом из смесовых тканей, утепленное искусственным мехом (пухо-пером, двойным или тройным синтепоном), шт.",
803,"Пальто (полупальто) для детей школьного возраста демисезонное, с верхом из плащевых, смесовых или синтетических тканей,  шт.",
804,"Перчатки трикотажные мужские, пара",
805,"Платье для девочек дошкольного возраста (рост 92-122 см) из полушерстяных или смесовых тканей, шт.",
806,"Сапоги, ботинки зимние  (валенки) для детей дошкольного возраста (размер 26-29), пара",
807,"Сапоги, ботинки зимние для детей школьного возраста  на утепленной подкладке (кроме натурального меха), пара",
808,"Шарф из шерстяной, полушерстяной, синтетической или смесовой пряжи для детей, шт.",
809,"Шарф шерстяной, полушерстяной или из смесовой пряжи для взрослых, шт.",4418
810,"Водка крепостью 40% об. спирта и выше повышенного качества, л",2809
811,"Водка крепостью 40% об. спирта и выше обыкновенного качества, л",
812,"Водоотведение, месяц с человека",9456
813,"Водоснабжение холодное, месяц с человека",9455
814,"Головной убор мужской из овчины, меха кролика или комбинированный с кожей, замшей, утепленный, шт.",4215
815,"Колбаса вареная I сорта, кг",206
816,"Колбаса вареная высшего сорта, кг",207
817,"Консервы овощные закусочные, обеденные, кг",1301
818,"Костюм-двойка женский из трикотажного полотна, шт.",4127
819,"Куртка для детей дошкольного возраста демисезонная с верхом из плащевых тканей, шт.",4182
820,"Куртка для детей дошкольного возраста зимняя из смесовых или синтетических тканей, утепленная искусственным мехом (пухо-пером, тройным синтепоном), шт.",4185
821,"Куртка для детей школьного возраста демисезонная, с верхом из плащевых тканей, шт.",4162
822,"Куртка для детей школьного возраста зимняя, с верхом из плащевых тканей, шт.",4164
823,"Куртка женская из натуральной кожи, шт.",4142
824,"Куртка мужская демисезонная с верхом из плащевых тканей, шт.",4122
825,"Куртка мужская зимняя с верхом из плащевых тканей, шт.",4123
826,"Машина стиральная малогабаритная, шт.",6412
827,"Набор кухонной мебели, комплект",5816
828,"Наволочка из хлопчатобумажной ткани, шт.",4196
829,"Обед в столовой в организации, на 1 человека",3605
830,"Платье женское из смесовых тканей или легкого трикотажного полотна, шт.",4137
831,"Пододеяльник из хлопчатобумажной ткани, шт.",4198
832,"Полотенце банное, шт.",4054
833,"Простыня из хлопчатобумажной ткани, шт.",4197
834,"Сигареты без фильтра отечественные, пачка",5603
835,"Ситец набивной отечественный, м",3708
836,"Стоимость стартового комплекта за подключение к оператору сотовой связи, комплект",9364
837,"Трусы мужские из хлопчатобумажной ткани, шт.",4124
838,"Аспирин UPSA по 500 мг,  10 таблеток",7905
839,"Фалиминт, 25 мг, 10 драже",7983
840,"Куртка для детей школьного возраста с верхом из плащевых тканей без утеплителя (ветровка), шт.",
841,"Платье (платье-костюм) женское из полушерстяных, смесовых тканей, шт.",4146
842,"Сапоги (сапожки, ботинки) женские осенние с верхом из искусственной кожи, на подошве из синтетического материала, пара",
843,"Сапоги женские зимние, на утепленной подкладке (кроме натурального меха), подошве из синтетического материала, пара",
844,"Сапоги мужские на утепленной подкладке (кроме натурального меха), подошве из синтетического материала, пара",
845,"Телевизор цветного изображения, размер экрана по диагонали до 40 см, шт.",
846,"Электроутюг  мощностью до 1800 Вт, отечественный,  производства стран СНГ или Юго-Восточной Азии, шт.",6414
847,"Атенолол, 50 мг, 10 таблеток",7939
848,"Крем для лица отечественный, 100 г",5314
849,"Тимолол, капли глазные 0,25%, 5 мл",7982
850,"Адельфан-Эзидрекс, 10 таблеток",7920
851,"Активированный уголь, 250 мг, 10 таблеток",7976
852,"Бисакодил, 5 мг, 10 таблеток",7973
853,"Диклофенак, раствор для инъекций, 75 мг, ампула 3 мл",7956
854,"Отинум, капли 20%, 10 г",7915
855,"CD-диск с записью, шт.",7016
856,"Молочный напиток",1130
857,"Молочный напиток пастеризованный 2,5-3,2% жирности, л",1113
858,"Молочный напиток стерилизованный 2,5-3,2% жирности, л",1114
859,"Водка и ликероводочные изделия",2800
860,"Лекарственные средства (по данным мониторинга)",
861,"Мясо",120
862,"Комбинация женская трикотажная, шт.",
863,"Плащ женский, шт.",4134
864,"Плащ мужской из смесовых тканей, шт.",4114
865,"Видеомагнитофон, шт.",7008
866,"Молоко цельное разливное, л",1107
867,"Ампициллин, 250 мг, 10 таблеток",7918
868,"Духи отечественные, 10 мл",5307
869,"Комбинированные контрацептивы, 21 таблетка",7964
870,"Коммутируемый доступ в Интернет, час",9371
871,"Костюм-двойка женский из шерстяных или полушерстяных тканей, шт.",4143
872,"Крем для лица импортный, 100 мл",5315
873,"Машина стиральная автоматическая отечественная, шт.",6417
874,"Молоко цельное пастеризованное, стерилизованное 2,5-3,2% жирности, л",1108
875,"Музыкальный центр, шт.",7017
876,"Набор мебели для спальни, комплект",5815
877,"Настойка боярышника, 25 мл",7961
878,"Пальто детское меховое или дубленка, шт.",4210
879,"Папиросы, пачка",5601
880,"Пиломатериалы необрезные хвойных пород, м3",7417
881,"Порошкообразные чистящие средства, кг",7603
882,"Ремонт часов наручных механических, услуга",9108
883,"Телефонный аппарат отечественный, шт.",7102
884,"Флуконазол, 150 мг, капсула",7963
885,"Химическая завивка волос, услуга",9117
886,"Холодильник двухкамерный, емкостью 250-350 л, отечественный, шт.",6408
887,"Выполнение малярных работ, 10 м2",9127
888,"Духи импортные, 10 мл",5308
889,"Коньяк импортный, л",3003
890,"Машина стиральная автоматическая импортная, шт.",6411
891,"Ремонт малых электробытовых приборов, один вид работы",9139
892,"Холодильник двухкамерный, емкостью 250-350 л, импортный, шт.",6409
893,"Мини-трактор отечественный, шт.",
894,"Мотоцикл с коляской отечественный, шт.",
895,"Телевизор цветного изображения отечественный, размер экрана по диагонали до 51-54 см, шт.",
896,"Холодильник ""ЗИЛ"" трехкамерный (аналоги ""Стинол"", ""Норд""), шт.",
897,"Все товары (без товаров необязательного пользования)",54
898,"Все товары и услуги (без товаров и услуг необязательного пользования)",53
899,"Все товары и услуги необязательного пользования",58
900,"Все товары необязательного пользования",50
901,"Непродовольственные товары (без товаров необязательного пользования)",56
902,"Непродовольственные товары необязательного пользования",52
903,"Продовольственные товары (без товаров необязательного пользования)",55
904,"Продовольственные товары необязательного пользования",51
905,"Услуги (без услуг необязательного пользования)",57
906,"Услуги необязательного пользования",59
907,"Абонентская плата за пользование услугами сотовой связи, месяц",9361
908,"Ликеры десертные крепостью до 28% об.спирта, л",2808
909,"Одеколон, 100 мл",5301
910,"Пошив брюк, шт.",9103
911,"Ткань костюмная полушерстяная, м",3806
912,"Ткань костюмная шерстяная, м",3807
913,"Часы наручные кварцевые, шт.",6304
914,"Часы наручные механические, шт.",6303
915,"Видеокассета без записи, шт.",7011
916,"Вино игристое импортное, л",3103
917,"Магнитола стерео, шт.",7006
918,"Морозильник, емкостью 200-240 л, отечественный, шт.",6410
919,"Ремонт импортных телевизоров цветного изображения, один вид работы",9123
920,"Ремонт отечественных телевизоров цветного изображения, один вид работы",9106
921,"Ткани льняные",4000
922,"Ткани льняные, полульняные простынные, м",4001
923,"Аскорбиновая кислота, 50 мг, 100 драже",7914
924,"Поливитамины импортные, 10 шт.",7928
925,"Эритромицин отечественный по 0,25 г, 10 таблеток",7925
926,"Автомобили, моторное топливо, ремонт",73
927,"Все товары (за исключением автомобилей, автомобильных деталей, мотоциклов, узлов и принадлежностей, моторного топлива)",74
928,"Водка крепостью 40% об.спирта и выше, повышенного качества, типа ""Посольская"" , ""Пшеничная"" и т.п., л",2804
929,"Водка крепостью 40% об.спирта и выше, повышенного качества, типа SMIRNOFF, FINLAND, ABSOLUT, л",2806
930,"Кассета для магнитофона (аудиокассета) импортная, без записи, С90, шт.",7012
931,"Кроссовые туфли детские с верхом из натуральной кожи (размер 16-22), пара",4745
932,"Мороженое сливочное отечественное, кг",3401
933,"Набор мягкой мебели: диван и два кресла, обивка из ворсовых тканей (плюш, велюр, бархат), диван и кресла с мягкими подлокотниками, комплект",5813
934,"Настойки горькие крепостью свыше 28% об.спирта, л",2807
935,"Пальто женское из нутрии, шт.",4206
936,"Паста зубная импортная, 100 мл",5317
937,"Паста зубная отечественная, 100 г",5316
938,"Перевод суммы со вклада в пределах системы Сбербанка России при условии хранения суммы менее двух предшествующих месяцев (в расчете на 3000 рублей),  одна операция",9851
939,"Сапоги женские осенние, высокие с верхом из натуральной кожи, на подошве из синтетического материала, пара",4722
940,"Сапожки женские короткие, ботинки с верхом из натуральной кожи, на подошве из синтетического материала, пара",4723
941,"Стол письменный, шт.",5801
942,"Электроутюг с автоматическим терморегулятором, пароувлажнителем, импортный, шт.",6415
943,"Балансировка колес легкового автомобиля, 2 колеса",9124
944,"Видеоплеер (пишущий) импортный, шт.",7009
945,"Набор мягкой мебели: диван и два кресла, обивка из декоративных гобеленовых тканей, комплект",5814
946,"Пальто женское из каракуля, шт.",4207
947,"Торф, т",8202
948,"Мороженое сливочное импортное, 1000 мл",3402
958,"Чай зеленый, кг",1906
959,"Брюки женские из джинсовой ткани (джинсы), шт.",4166
960,"Носки женские, гольфы, пара",4608
961,"Пена для бритья, 200 мл",5321
962,"Крем для рук",5312
963,"Бритвенные станки одноразовые, шт.",5408
964,"Лампа светодиодная, шт.",6434
965,"Моноблок, шт.",7035
966,"Годовая стоимость полиса обязательного страхования гражданской ответственности владельцев транспортных средств (ОСАГО), полис",9883
967,"Обращение с твердыми коммунальными отходами, м2 общей площади",9451
968,"Рюкзак для взрослых, шт.",5416
969,"Обращение с твердыми коммунальными отходами",9452
970,"Сливки питьевые, л",1116
971,"Зелень свежая, кг",2602
972,"Грибы свежие, кг",2624
973,"Ягоды замороженные, кг",2713
974,"Туфли летние, босоножки женские из натуральной кожи, пара",4755
975,"Дезинфицирующее средство для поверхностей, л",5103
976,"Гель для душа, 250 мл",5320
977,"Мыло туалетное жидкое, 250 мл",5322
978,"Дезодорант, 50 мл",5323
979,"Кресло мягкое, шт.",5824
980,"Матрас для взрослых, шт.",5825
981,"Салфетки влажные, упаковка 20 шт.",6505
982,"Бумажные столовые салфетки, упаковка 10 шт.",6506
983,"Бумажные носовые платки, упаковка 10 шт.",6507
984,"Прокладки женские гигиенические, 10 шт.",6508
985,"Наушники беспроводные, шт.",7105
986,"Азитромицин, 500 мг, 10 капсул (таблеток)",7932
987,"Цефтриаксон, 1 г",7933
988,"Осельтамивир (Номидес), 75 мг, 10 капсул",7934
989,"Апиксабан (Эликвис), 5 мг, 10 таблеток",7935
990,"Колекальциферол (Витамин Д3), 10 мл",7936
991,"Умифеновир (Арбидол), 100 мг, 10 капсул (таблеток)",7937
992,"Амлодипин, 10 мг, 10 таблеток",7938
993,"Омепразол, 20 мг, 10 таблеток",7941
994,"Хлоргексидин, 100 мл",7942
995,"Амоксициллин с клавулановой кислотой, 500 мг+125мг, 10 таблеток",7943
996,"Ибупрофен, 200 мг, 10 таблеток",7997
997,"Шприцы одноразовые, шт.",8014
998,"Санитарно-гигиеническая маска (медицинская), шт.",8015
999,"Антисептик для рук, 100 мл",8016
1000,"Термометр медицинский безртутный (галинстановый), шт.",8017
1001,"Установка натяжного потолка, м2",9145
1002,"Услуги аренды автомобилей, час",9223
1003,"Подписка на онлайн-видеосервисы, месяц",9374
1004,"Проживание в гостинице 1* или в мотеле, сутки с человека",9462
1005,"Проживание в гостинице 2*, сутки с человека",9463
1006,"Проживание в гостинице 3*, сутки с человека",9464
1007,"Проживание в гостинице 4*-5*, сутки с человека",9465
1008,"Проживание в хостеле, сутки с человека",9466
1009,"Экскурсионные туры по России, поездка",9535
1011,"Поездка на отдых в ОАЭ, поездка",9551
1012,"Услуги сиделок, час",9793
1013,"Диагностика на магнитно-резонансном или компьютерном томографе, услуга",9794
1014,"Гастроскопия (ФГДС, ЭГДС), услуга",9795
1015,"Комиссия банка за перевод средств с карты на карту клиенту другого банка на территории России, услуга",9856
1017,"Медикаменты, кроме ЖНВЛП",
1018,"ЖНВЛП",7910
1019,"Асептолин, 90%, 100 мл",7960
1020,"Аскорбиновая кислота, 50 мг, 100 драже",7947
1021,"Афобазол, 10 мг, 30 таблеток",8021
1022,"Ацетилцистеин (АЦЦ), 600 мг, 10 таблеток",7940
1023,"Аципол, 30 капсул",8025
1024,"Валерианы экстракт, 20 мг, 10 таблеток",8023
1025,"Газета в розницу, шт.",6710
1026,"Гриппферон, 10000 МЕ/мл, 10 мл",7948
1027,"Ингавирин, 90 мг, 10 капсул",7999
1028,"Канефрон Н, 60 таблеток",7998
1029,"Кеторол Экспресс, 10 мг, 10 таблеток",7970
1030,"Клубная карта в фитнес-клуб, месяц",9903
1031,"Кремация, услуга",9146
1032,"Кроссовые туфли для взрослых, пара",4773
1033,"Ксарелто, 20 мг, 10 таблеток",7944
1034,"Магне В6, 10 таблеток",8022
1035,"Метилурацил, 10 % мазь, 25 г",8027
1036,"Мидокалм, 150 мг, 30 таблеток",8028
1037,"Мирамистин, 0,01%, 150 мл",8018
1038,"Натрия хлорид, 0,9%, 100 мл",7946
1039,"Нафазолин, 0,1%, 15 мл",7980
1040,"Парацетамол, 500 мг, 10 таблеток",7951
1041,"Перекись водорода, 3%, 100 мл",7950
1042,"Пиво, л",3203
1043,"Поездка на отдых в Египет, поездка",9552
1044,"Поливитамины, 10 шт.",8029
1045,"Ренгалин, 20 таблеток",8031
1046,"Сигареты с фильтром, пачка",5605
1047,"Синупрет, 50 таблеток",8032
1048,"Сумка женская, шт.",5420
1049,"Творог, кг",1124
1050,"Туфли женские закрытые, пара",4732
1051,"Туфли женские летние, босоножки, пара",4733
1052,"Фосфоглив, 10 капсул",7952
1053,"Фуросемид, 40 мг, 10 таблеток",7945
1054,"Хлеб и булочные изделия из пшеничной муки различных сортов, кг",2207
1055,"Цитрамон, 10 таблеток",7953
1056,"Энтеросгель, 225 г",8024
1057,"Эргоферон, 20 таблеток",8020
1058,"Эуфиллин, 150 мг, 10 таблеток",7949
1059,"Поездки в отдельные страны Ближнего Востока, поездка",9557
1060,"Поездки в страны Закавказья, поездка",9555
1061,"Поездки в отдельные страны Южной Азии, поездка",9558
1062,"Поездки в отдельные страны Средиземноморья, поездка",9554
1063,"Поездки в отдельные страны Средней Азии, поездка",9556
1064,"Поездка в Беларусь, поездка",9553
1065,"Поездки в отдельные страны Юго-Восточной Азии, поездка",9559
1066,"Молоко питьевое цельное пастеризованное более 3,2% жирности, л",1117
1067,"Творожок детский, кг",1128
1068,"Молоко для детей, л",1129
1069,"Сухие приправы, специи, кг",2008
1070,"Трикотажный головной убор для взрослых, шт.",4407
1071,"Крем детский, 100 г (100 мл)",5310
1072,"Чемодан, шт.",5404
1073,"Бумага офисная, упаковка 500 листов",6509
1074,"Смарт-часы, шт.",7106
1075,"Коньки, пара",7353
1076,"Гипсокартон, м2",7404
1077,"Кресло детское автомобильное, шт.",7709
1078,"Соска (пустышка) детская, шт.",8006
1079,"Бутылочка для кормления, шт.",8007
1080,"Ингалипт, аэрозоль для местного применения, 30 мл",8030
1081,"Проезд в сидячих вагонах в скоростных поездах дальнего следования, в расчете на 100 км пути",9296
1082,"Речной круиз на территории России, поездка",9532
1083,"Поездка на отдых на Черноморское побережье России и в Крым, поездка",9536
1084,"Аренда квартир",
1085,"Услуги гостиниц",
1086,"Горошек зеленый консервированный, кг",1306
1087,"Перец сладкий свежий, кг",2632
1088,"Робот-пылесос, шт.",6436
1089,"Аскофен-П, 10 таблеток",
1090,"Беталок ЗОК, 10 таблеток",
1091,"Валосердин, 25 мл",8039
1092,"Гепариновая мазь, 25 г",
1093,"Граммидин, 10 таблеток",
1094,"Диклофенак, 15 мл",8040
1095,"Кардиомагнил, 100 таблеток",8033
1096,"Лизобакт, 10 таблеток",
1097,"Меновазин, 40 мл",8047
1098,"Мукалтин, 10 таблеток",
1099,"Пенталгин, 24 таблетки",8042
1100,"Салициловая кислота, 40 мл",8038
1101,"Спазмалгон, 10 таблеток",
1102,"Трекрезан, 10 таблеток",
1103,"Цетрин, 10 таблеток",
1104,"Молочные продукты",
1105,"Воздушный и железнодорожный транспорт",
1106,"Транспорт без воздушного и железнодорожного",
1107,"Печень птицы, кг",108
1108,"Кефир, кг",1132
1109,"Сырки творожные, глазированные, кг",1133
1110,"Вода питьевая, л",3306
1111,"Жидкие средства для стирки, л",5104
1112,"Помада, шт.",5324
1113,"Блоки строительные, 1000 шт.",7433
1114,"Компримированный природный газ, м3",7807
1115,"Хлоропирамин, 10 таблеток",8057
1116,"Цетиризин, 10 таблеток",8058
1117,"Интерферон альфа-2В, 10 мл",8059
1118,"Метопролол, 10 таблеток",8055
1119,"Спиронолактон, 10 таблеток",8056
1120,"Лозартан, 10 таблеток",8050
1121,"Аторвастатин, 10 таблеток",8051
1122,"Мелоксикам, 10 таблеток",8054
1123,"Кеторолак, 10 таблеток",8060
1124,"Розувастатин, 10 таблеток",8052
1125,"Алтея лекарственного травы экстракт, 10 таблеток",8061
1126,"Римантадин, 10 таблеток",8053
1127,"Погребение, услуга",9152
1128,"Курьерская доставка, услуга",9192
1129,"Междугородная телефонная связь, минута",9334
1130,"Почтовые и курьерские услуги",
1131,"Вода минеральная, л",3307
1132,"АТХ A02 Препараты для лечения заболеваний, связанных с нарушением кислотности",
1133,"АТХ A03 Препараты для лечения функциональных нарушений ЖКТ",
1134,"АТХ A07 Противодиарейные, кишечные противовоспалительные и противомикробные препараты",
1135,"АТХ A09 Препараты, способствующие пищеварению (включая ферментные препараты)",
1136,"АТХ A11 Витамины",
1137,"АТХ B01 Антитромботические средства",
1138,"АТХ B05 Кровезаменители и перфузионные растворы",
1139,"АТХ C01 Препараты для лечения заболеваний сердца",
1140,"АТХ C03 Диуретики",
1141,"АТХ C05 Ангиопротекторы",
1142,"АТХ С07 Бета-адреноблокаторы",
1143,"АТХ C09 Средства, действующие на ренин-ангиотензиновую систему",
1144,"АТХ D01 Противогрибковые препараты, применяемые в дерматологии",
1145,"АТХ D06 Антибиотики и химиотерапевтические средства для дерматологического применения",
1146,"АТХ D08 Антисептики и дезинфицирующие препараты",
1147,"АТХ J01 Антибактериальные препараты системного действия",
1148,"АТХ L03 Иммуностимуляторы",
1149,"АТХ M01 Противовоспалительные и противоревматические препараты",
1150,"АТХ М02 Препараты для местного применения при суставной и мышечной боли",
1151,"АТХ N02 Анальгетики",
1152,"АТХ N05 Психотропные средства",
1153,"АТХ R01 Назальные препараты",
1154,"АТХ R05 Противокашлевые препараты и средства для лечения простудных заболеваний",
1155,"АТХ R06 Антигистаминные средства системного действия",
1156,"АТХ S01 Офтальмологические препараты",
1157,"Курьерские услуги",
1158,"АТХ C08 Блокаторы кальциевых каналов",
1159,"АТХ C10 Гиполипидемические препараты",
1160,"АТХ J05 Противовирусные препараты системного действия",
2001,"Молоко, масло и сыр",
2002,"Электроника и техника",
2003,"Одежда и обувь",
2004,"Основные непроды",
2005,"Основные проды",
2006,"Основные услуги",
2007,"Инфляция без Плдвщ, Тплв и ЖКУ",
2008,"Медиана конечных товаров",
2010,"Инфляция без учета 10% наиболее волатильных регионов",
2011,"Инфляция без учета 20% наиболее волатильных регионов",
2500,"(КСП-ВВГУ) Робастная группа",
2501,"(КСП-ВВГУ) Волатильная группа",
