Code,Day,Region_code,Item_code,MoM,YoY,Calc,Date
10010070244,01/01/10 00:00:00,7,244,100.92,112.65,0,2010-01-01
10010070245,01/01/10 00:00:00,7,245,100.0,104.63,0,2010-01-01
10010070246,01/01/10 00:00:00,7,246,100.0,127.91,0,2010-01-01
10010070249,01/01/10 00:00:00,7,249,132.72,169.03,0,2010-01-01
10010070250,01/01/10 00:00:00,7,250,101.65,115.55,0,2010-01-01
10010070251,01/01/10 00:00:00,7,251,100.0,106.3,0,2010-01-01
10010070252,01/01/10 00:00:00,7,252,108.66,81.730003,0,2010-01-01
10010070253,01/01/10 00:00:00,7,253,100.0,107.81,0,2010-01-01
10010070254,01/01/10 00:00:00,7,254,100.0,107.79,0,2010-01-01
10010070256,01/01/10 00:00:00,7,256,100.0,124.87,0,2010-01-01
10010070257,01/01/10 00:00:00,7,257,127.57,127.57,0,2010-01-01
10010070258,01/01/10 00:00:00,7,258,100.0,105.9,0,2010-01-01
10010070259,01/01/10 00:00:00,7,259,100.54,95.959999,0,2010-01-01
10010070260,01/01/10 00:00:00,7,260,100.0,100.0,0,2010-01-01
10010070261,01/01/10 00:00:00,7,261,100.0,122.92,0,2010-01-01
10010070263,01/01/10 00:00:00,7,263,100.0,118.24,0,2010-01-01
10010070266,01/01/10 00:00:00,7,266,100.0,104.13,0,2010-01-01
10010070267,01/01/10 00:00:00,7,267,100.0,113.31,0,2010-01-01
10010070271,01/01/10 00:00:00,7,271,100.0,119.52,0,2010-01-01
10010070273,01/01/10 00:00:00,7,273,100.0,97.779999,0,2010-01-01
10010070274,01/01/10 00:00:00,7,274,100.0,106.64,0,2010-01-01
10010070275,01/01/10 00:00:00,7,275,100.0,119.3,0,2010-01-01
10010070276,01/01/10 00:00:00,7,276,100.0,109.11,0,2010-01-01
10010070281,01/01/10 00:00:00,7,281,100.0,114.71,0,2010-01-01
10010070282,01/01/10 00:00:00,7,282,100.0,101.5,0,2010-01-01
10010070286,01/01/10 00:00:00,7,286,100.0,110.46,0,2010-01-01
10010070288,01/01/10 00:00:00,7,288,101.52,104.83,0,2010-01-01
10010070290,01/01/10 00:00:00,7,290,100.0,101.63,0,2010-01-01
10010070291,01/01/10 00:00:00,7,291,102.15,119.14,0,2010-01-01
10010070292,01/01/10 00:00:00,7,292,100.42,123.53,0,2010-01-01
10010070294,01/01/10 00:00:00,7,294,100.0,108.63,0,2010-01-01
10010070295,01/01/10 00:00:00,7,295,100.0,112.52,0,2010-01-01
10010070296,01/01/10 00:00:00,7,296,101.32,118.05,0,2010-01-01
10010070298,01/01/10 00:00:00,7,298,100.0,109.07,0,2010-01-01
10010070301,01/01/10 00:00:00,7,301,100.0,113.67,0,2010-01-01
10010070302,01/01/10 00:00:00,7,302,96.879997,110.45,0,2010-01-01
10010070303,01/01/10 00:00:00,7,303,100.0,103.43,0,2010-01-01
10010070304,01/01/10 00:00:00,7,304,100.0,108.45,0,2010-01-01
10010070305,01/01/10 00:00:00,7,305,100.0,140.8,0,2010-01-01
10010070306,01/01/10 00:00:00,7,306,100.0,121.38,0,2010-01-01
10010070307,01/01/10 00:00:00,7,307,100.0,104.85,0,2010-01-01
10010070309,01/01/10 00:00:00,7,309,100.0,122.45,0,2010-01-01
10010070310,01/01/10 00:00:00,7,310,100.0,108.1,0,2010-01-01
10010070311,01/01/10 00:00:00,7,311,100.3,118.82,0,2010-01-01
10010070313,01/01/10 00:00:00,7,313,100.0,106.48,0,2010-01-01
10010070315,01/01/10 00:00:00,7,315,100.0,108.85,0,2010-01-01
10010070319,01/01/10 00:00:00,7,319,100.0,133.23,0,2010-01-01
10010070320,01/01/10 00:00:00,7,320,97.849998,94.760002,0,2010-01-01
10010070322,01/01/10 00:00:00,7,322,100.92,103.2,0,2010-01-01
10010070323,01/01/10 00:00:00,7,323,99.279999,96.080002,0,2010-01-01
10010070324,01/01/10 00:00:00,7,324,100.0,100.0,0,2010-01-01
10010070325,01/01/10 00:00:00,7,325,112.43,128.24001,0,2010-01-01
10010070326,01/01/10 00:00:00,7,326,99.019997,109.42,0,2010-01-01
10010070329,01/01/10 00:00:00,7,329,100.0,116.86,0,2010-01-01
10010070330,01/01/10 00:00:00,7,330,103.33,122.07,0,2010-01-01
10010070331,01/01/10 00:00:00,7,331,100.0,105.23,0,2010-01-01
10010070333,01/01/10 00:00:00,7,333,99.690002,95.720001,0,2010-01-01
10010070335,01/01/10 00:00:00,7,335,100.0,106.73,0,2010-01-01
10010070338,01/01/10 00:00:00,7,338,100.0,107.44,0,2010-01-01
10010070340,01/01/10 00:00:00,7,340,100.0,99.0,0,2010-01-01
10010070341,01/01/10 00:00:00,7,341,109.55,121.72,0,2010-01-01
10010070342,01/01/10 00:00:00,7,342,100.55,106.86,0,2010-01-01
10010070343,01/01/10 00:00:00,7,343,102.62,96.269997,0,2010-01-01
10010070345,01/01/10 00:00:00,7,345,100.0,124.0,0,2010-01-01
10010070346,01/01/10 00:00:00,7,346,100.0,122.48,0,2010-01-01
10010070347,01/01/10 00:00:00,7,347,100.68,107.24,0,2010-01-01
10010070349,01/01/10 00:00:00,7,349,132.39999,196.03,0,2010-01-01
