variant,date,mom_pp,mom_index,yoy_index,weight_used,july_removed_pp,oct_added_pp
services_total,2026-06-01,0.8100356778400615,100.81003567784006,105.71483829010313,0.2376,,
services_total,2026-07-01,-0.14491833160620127,99.8550816683938,105.18297938440901,0.2376,0.793584,
services_total,2026-08-01,0.3398438602286113,100.33984386022861,106.14546644056364,0.2376,,
services_total,2026-09-01,0.7223254704200811,100.72232547042007,105.85364572312874,0.2376,,
services_total,2026-10-01,2.7582996362353676,102.75829963623536,108.19994673038069,0.2376,,2.371248
services_total,2026-11-01,0.3663891940946151,100.36638919409461,108.43372904964244,0.2376,,
services_total,2026-12-01,0.4109349647933447,100.41093496479334,108.5644841518962,0.2376,,
services_total,2027-01-01,0.28693927343047443,100.28693927343048,107.19306713982992,0.2376,,
services_total,2027-02-01,0.27969798028996085,100.27969798028997,106.32332738242422,0.2376,,
services_total,2027-03-01,0.29683844005777615,100.29683844005777,106.0661785248097,0.2376,,
services_total,2027-04-01,0.48933452399228083,100.48933452399228,106.88447348035591,0.2376,,
services_total,2027-05-01,0.300981770148822,100.30098177014882,107.10977746093653,0.2376,,
housing_utilities_broad_item14,2026-06-01,0.8100356778400615,100.81003567784006,105.71483829010313,0.09908271186440677,,
housing_utilities_broad_item14,2026-07-01,-0.0994088061824725,99.90059119381753,105.23091712973414,0.09908271186440677,0.7480744745762712,
housing_utilities_broad_item14,2026-08-01,0.3398438602286113,100.33984386022861,106.19384284487761,0.09908271186440677,,
housing_utilities_broad_item14,2026-09-01,0.7223254704200811,100.72232547042007,105.90188912847923,0.09908271186440677,,
housing_utilities_broad_item14,2026-10-01,1.3778787548794356,101.37787875487943,106.79507486302249,0.09908271186440677,,0.9908271186440677
housing_utilities_broad_item14,2026-11-01,0.3663891940946151,100.36638919409461,107.02582174452901,0.09908271186440677,,
housing_utilities_broad_item14,2026-12-01,0.4109349647933447,100.41093496479334,107.15487911799254,0.09908271186440677,,
housing_utilities_broad_item14,2027-01-01,0.28693927343047443,100.28693927343048,105.80126863205577,0.09908271186440677,,
housing_utilities_broad_item14,2027-02-01,0.27969798028996085,100.27969798028997,104.94282160587616,0.09908271186440677,,
housing_utilities_broad_item14,2027-03-01,0.29683844005777615,100.29683844005777,104.68901157796265,0.09908271186440677,,
housing_utilities_broad_item14,2027-04-01,0.48933452399228083,100.48933452399228,105.49668176337734,0.09908271186440677,,
housing_utilities_broad_item14,2027-05-01,0.300981770148822,100.30098177014882,105.71906038924669,0.09908271186440677,,
communal_narrow_item279,2026-06-01,0.8100356778400615,100.81003567784006,105.71483829010313,0.07049610169491526,,
communal_narrow_item279,2026-07-01,-0.09048595787738778,99.90951404212261,105.24031606821221,0.07049610169491526,0.7391516262711865,
communal_narrow_item279,2026-08-01,0.3398438602286113,100.33984386022861,106.20332778925395,0.07049610169491526,,
communal_narrow_item279,2026-09-01,0.7223254704200811,100.72232547042007,105.91134799634597,0.07049610169491526,,
communal_narrow_item279,2026-10-01,1.0920126531845205,101.09201265318453,106.50344505881266,0.07049610169491526,,0.7049610169491526
communal_narrow_item279,2026-11-01,0.3663891940946151,100.36638919409461,106.7335618301015,0.07049610169491526,,
communal_narrow_item279,2026-12-01,0.4109349647933447,100.41093496479334,106.86226678116529,0.07049610169491526,,
communal_narrow_item279,2027-01-01,0.28693927343047443,100.28693927343048,105.51235265633412,0.07049610169491526,,
communal_narrow_item279,2027-02-01,0.27969798028996085,100.27969798028997,104.65624982756711,0.07049610169491526,,
communal_narrow_item279,2027-03-01,0.29683844005777615,100.29683844005777,104.4031328893755,0.07049610169491526,,
communal_narrow_item279,2027-04-01,0.48933452399228083,100.48933452399228,105.20859753583316,0.07049610169491526,,
communal_narrow_item279,2027-05-01,0.300981770148822,100.30098177014882,105.4303689030325,0.07049610169491526,,
