Model,MAE,RMSE,MAPE,KPI_Violations,Coverage_50pct,Max_Error,Std_Error,Mean_Error
Micro,0.2877648663583574,0.37187016496296027,126.01314536275075,2,83.33333333333334,0.9283566489824795,0.36849193566194577,-0.11754419805197684
Ridge,0.30101753370793577,0.3639763071181123,162.86704154516306,3,75.0,0.605090758046245,0.37587185239411447,-0.05451978392905351
Huber,0.30188386080041124,0.36523681621743537,151.14130496437969,3,75.0,0.6429889877637152,0.37815217595005163,-0.04811915169177894
Subcomp,0.30357826741663746,0.40406293224308326,155.30098883778464,5,58.333333333333336,0.7427927313068778,0.419861730295635,-0.04090603085044601
EBM,0.304700861111107,0.36581954697045405,154.77948992062454,3,75.0,0.5776923076922884,0.3722480456490115,-0.08247858760683731
Prophet,0.31576361894002486,0.3600479546977101,114.93196347452736,2,83.33333333333334,0.5330278393066132,0.37112658624904554,-0.0581162505633314
Ridge_Shock,0.3162901368918689,0.3890091335198829,174.447460590963,3,75.0,0.6996743792093412,0.40226702226056077,-0.054719696606522206
Ridge_Ext,0.3178639475654113,0.3925119585947795,156.93303244728634,4,66.66666666666666,0.7459366764409054,0.4041686124884391,-0.06577278512030915
ElasticNet,0.32000907212995244,0.38789759781262234,162.6809297884142,3,75.0,0.7347468709493796,0.39906239568008917,-0.06696753228268075
Ensemble,0.3327228646301352,0.4019912960762567,188.519163110092,4,66.66666666666666,0.6582425452973115,0.4178243569266501,-0.03959682205258468
Bayes_Ridge,0.34737365943479287,0.42424163128645487,187.8920416998059,4,66.66666666666666,0.7624649490153246,0.4407488379532011,-0.04370032500931723
NGBoost,0.35953612810609076,0.4483698087048298,183.00944151187167,4,66.66666666666666,0.9080641502329314,0.4653823952988577,-0.05003108358889108
NGBoost_Shock,0.36836574085748336,0.4665564005751029,185.2326069084054,3,75.0,0.9680492460862951,0.4811030418244932,-0.07418276620986457
Subcomp_Multi,0.3704501390038561,0.4516391804684637,208.24633939501845,4,66.66666666666666,0.7963587229543378,0.46064936793208205,-0.09727930152924458
CatBoost,0.39246643347556304,0.4791853867555148,216.0333674676992,4,66.66666666666666,0.9468302527392325,0.4996446178268248,-0.02788582854536159
ETS,0.39912499386217765,0.48419870399928355,265.32741093585844,3,75.0,0.9884736378479512,0.4281537114731018,-0.2576996010094113
SARIMA,0.5059871581291463,0.6033782288306271,130.28196488162246,6,50.0,1.2044289408437578,0.5487990272625836,0.2966197550110072
LightGBM,0.5478986550097235,0.6492678464246178,337.1132616681237,6,50.0,1.0117123808698238,0.6780117878315253,-0.012533315559007718
