Date,Ridge,Ridge_Ext,Ridge_Shock,Bayes_Ridge,ElasticNet,Huber,NGBoost,NGBoost_Shock,LightGBM,EBM,CatBoost,Prophet,ETS,Subcomp,Subcomp_Multi,Micro,Ridge_Macro,BVAR,SARIMA
2025-12-01,0.4323641775081626,0.32221189588121035,0.4095061203206427,0.4517443361988427,0.336152541085454,0.3401241020879553,0.5738630467852772,0.5990601447729773,0.7896459080471914,0.5920596963154452,0.6426399977887911,0.7399766442459312,0.6486810257156587,0.8076845478037598,0.6931251891138781,0.8183566489824878,0.30269929886425473,0.47286271967286736,0.10166492354177378
2026-01-01,0.9779494260991157,0.9798210052888692,1.0030792427500899,0.9704464503762296,0.9742384432981339,0.9542635370300587,0.9842920600527947,1.0051942189480911,0.7537664457980782,0.5977432172424813,0.5713505292532659,0.775185358289222,0.8734048506786205,0.8372781613362008,0.8819044391264594,1.1678337320651373,0.42034899013923166,0.6009029360479479,0.1369534756623812
2026-02-01,0.8581003122584576,0.8494889410223863,0.7809784705393099,0.7274074676319344,0.7676322975892447,0.5533481481262896,0.9425700552075398,0.9805594309542585,0.8144649265573207,0.6584100080188904,0.6854961479491664,0.7707785442275353,0.7265033168951767,0.8244871026227685,0.7216679298162259,0.9486602506703018,0.3452876634651716,0.5840234422638435,0.2590048438880541
2026-03-01,0.7433248164515476,0.7331492105484756,0.6765417542767125,0.6490389892260424,0.7045524388534545,0.647855391778478,0.6195803298029148,0.6839146258811866,0.7517710312950925,0.5726195693006417,0.6158994385125851,1.5955197351957429,0.8534172168108212,0.8711099814553336,0.7025215662594758,0.7850374652153447,0.3191772642882995,0.6538478603433824,0.16032480110387926
2026-04-01,0.7702329191809127,0.6886830945956604,0.6223175295699548,0.6079095685995384,0.6470424907067382,0.5683215935781902,0.7716079511278195,0.8075841291255443,0.9825981305894942,0.5622657375721616,0.6325594555068221,1.0911434788490575,0.7478116054748507,0.6585199518649318,0.6383015529776459,0.8056494151977065,0.3267424165143922,0.6733540401877258,0.10668629030832812
2026-05-01,0.4695650954083703,0.4629374120408727,0.46365677164500596,0.45920518294965973,0.4553313899857585,0.4312886454126783,0.4640776269009024,0.4761238263566696,0.8682710691738151,0.434386515074749,0.5041189479847645,1.2494795353651813,0.31660615521671354,0.48395384763773563,0.6456502789700966,0.18610508088136074,0.13482012995693538,0.549223634569928,-0.006245553243246542
2026-06-01,0.17261239726667554,0.12987971928882303,0.13403511924855138,0.1846614110521898,0.14400550895746278,0.11161869867444807,0.2607308168585405,0.21820466895698587,0.6674976692721941,0.34824441035901543,0.48837304240286983,0.47007772526350705,-0.04909788934853215,0.2703818443842749,0.47800101398837563,-0.12142205365497971,0.06789948442137472,0.5963074899443908,-0.011735070416786718
2026-07-01,0.2644122193211871,0.36170231489734306,0.2710775499104301,0.2673802757574748,0.2830996150326257,0.26704581856195375,0.6030422299952249,0.5586324237056886,1.0530953924893964,0.4208520300926182,0.561145691332058,1.0209844226730966,0.03656387337010608,0.4348490493960071,0.3156433064201765,0.15823334739339573,0.09682387170582274,0.5800154137950064,0.0979984186575693
2026-08-01,-0.03742393596428428,0.056238952956221056,-0.05954948474595767,0.034142132620530674,-0.021716753118909082,-0.026265152645407852,0.13105500904239875,0.1491806869753134,0.709021301435854,0.3270500824369975,0.37591546025203115,0.3483076825108677,-0.2134104123887261,0.06691789500631273,0.42468278705605284,-0.22286754523007735,-0.09744984642310328,0.6078268617973847,-0.12459693569509067
2026-09-01,0.4806215416097359,0.4887961196520507,0.586242655765389,0.47944593722831996,0.4865671966551304,0.4774761182774512,0.4919388461787406,0.6109695693298818,0.6805851664064875,0.5034666731442172,0.7243111475680166,0.6937931587860607,0.42283286679330084,0.3196947106935397,0.014466854303322684,0.7554450509796442,0.2223566725334507,0.5561116984396751,0.23198274476462663
2026-10-01,0.5785581504815553,0.5754765910639605,0.5618479901292233,0.5786183975915264,0.5814673390353562,0.5658455037064982,0.606475949642828,0.5929111854572398,0.9410980757303804,0.5192740052759603,0.6904528011639854,0.8799669433016823,0.41785723426087024,0.5244432059986366,0.3510552045884756,0.7093090809374323,0.3143366379912891,0.6095280759434141,0.1376321655834664
2026-11-01,0.6062177874834589,0.5836218910238387,0.48128703649734916,0.5467323861097242,0.5614580252654804,0.38633655883708684,0.8004203071427156,0.7030918110651356,1.191794637837063,0.5525986336566859,0.6876673176075343,0.5721325899195301,0.45289125398760643,0.5244432059986366,0.6838990658173911,1.0734183741351613,0.42215022251905054,0.5785113011148995,0.0679463150605286
