Date,Model,MAE_h1,MAE_h2,MAE_h12,KPI_Rate,SIRENA_Score,Window_Size,Rank
2026-02-01,Micro,0.3837500000000009,0.4299999999999969,0.6033333333333246,0.75,0.5519270833333305,8,1
2026-02-01,EBM,0.3349175705128147,0.34551281456043387,0.34551281456043387,0.08333333333333333,0.6520791190285299,12,2
2026-02-01,Ridge,0.34334696408581183,0.43152865530196866,0.38113202211826547,0.08333333333333333,0.7232704258595367,12,3
2026-02-01,NGBoost,0.3742398454887083,0.38124573097515463,0.41224155820454084,0.08333333333333333,0.7358887445491333,12,4
2026-02-01,Prophet,0.3829324910425292,0.457280897063238,0.3544806158642185,0.08333333333333333,0.7657977224750695,12,5
2026-02-01,ETS,0.4261192259411281,0.43813975834268093,0.33281160116612035,0.08333333333333333,0.7878723996876354,12,6
2026-02-01,CatBoost,0.43244325842976633,0.41523997867685597,0.4773064788479478,0.08333333333333333,0.8361552606260982,12,7
2026-02-01,LightGBM,0.43258359003759733,0.4382458213078178,0.5026806209035269,0.08333333333333333,0.8592448590510448,12,8
2026-02-01,SARIMA,0.47893801144849807,0.5202109790478534,0.4833728654999058,0.08333333333333333,0.9433965056989569,12,9
2026-02-01,Huber,1.0,1.0,1.0,0.0,2.0,0,10
2026-02-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0,11
2026-02-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0,12
2026-02-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0,13
2026-02-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0,14
2026-02-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0,15
2026-02-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0,16
