Model,MAE,RMSE,MAPE,KPI_Violations,Coverage_50pct,Max_Error,Std_Error,Mean_Error
Ridge_Ext_Roll24,0.3984514898274855,0.5269362653787675,83.47248755189347,5,58.333333333333336,1.1711389766261107,0.5320151190366015,0.13493855933258794
Ridge_ProdProxy_Roll24,0.4056475310806533,0.5049863719191263,93.53468093682046,6,50.0,0.9575402123761592,0.5210164302259346,0.07857878406911567
Rolling_Ridge,0.4163326947503876,0.5279220683474856,92.12568184470985,5,58.333333333333336,1.0396304946145563,0.5369161916630357,0.12019136041126662
Ridge_Shock_Roll24,0.4179703163646226,0.5337522569003631,85.80819276348083,5,58.333333333333336,1.0966799311504616,0.5310250141234337,0.16248959943179267
Huber_Roll24,0.42038027567650954,0.5184681901795162,93.09553802972968,4,66.66666666666666,1.0585340850635845,0.5180553452020156,0.150973624385216
Ridge_Shock,0.4254093725554746,0.5343504615166711,91.7570566751745,5,58.333333333333336,1.027522236350194,0.5337780077485621,0.1560599274746425
Ridge_AsymERPT,0.4260827155599299,0.5185438579631816,99.54743094297343,6,50.0,0.9719179394561053,0.5299719033143045,0.10688014714608703
Ridge_ProdProxy,0.43247941195620143,0.5377169669425306,95.92829616379997,6,50.0,0.9341958135204322,0.5453680394935635,0.12844751033752763
Huber,0.45762835620694275,0.5549400716522144,101.79678143871016,6,50.0,1.061397844766077,0.5637012492502941,0.12914840140790673
ElasticNet,0.4722682734283931,0.5848801965738201,93.84845271071795,6,50.0,1.0544031649730385,0.5637048290615115,0.2253929263070044
Ridge_Ext,0.472429694572759,0.5907315258884624,95.05322352906941,6,50.0,1.1962093533540639,0.5608879922901269,0.24613954194291074
NGBoost_Shock,0.4762709984288094,0.548169516775608,119.80385481266582,6,50.0,0.9410937332682465,0.568837631862049,0.062275639845085586
Ridge,0.4781631688956101,0.5539860416539172,122.52318508232136,6,50.0,0.9661178888558482,0.5766510525872008,0.04565779526298049
Ensemble,0.4830857974092703,0.5607030627104117,119.2317572166345,6,50.0,0.9119130812455158,0.5820685848138952,0.06178786470272829
NGBoost,0.48377547290846934,0.5464404655924904,129.76063908100383,6,50.0,0.8969646520651224,0.5706698317350201,0.008473310382285604
CatBoost,0.48666367924608284,0.5526632662298466,132.08433034134075,6,50.0,0.8990221029720686,0.5768763430566273,0.019559232934528364
Ridge_Ext_ProdProxy,0.4896607983763405,0.5697379660825419,135.2130617084072,5,58.333333333333336,1.118611446693933,0.5948381534508296,-0.015967370744065807
Huber_ProdProxy,0.49680967227304623,0.5758463905602946,144.70548865414082,6,50.0,1.1591945327569846,0.5972456759344902,-0.06798432086942678
EBM,0.4990018315018278,0.5681359301014591,142.45519835755786,6,50.0,1.0571428571428498,0.5917985226831325,-0.04169413919413856
BVAR,0.5077704492209996,0.5928579407444905,147.43152931825486,6,50.0,1.0509737498556833,0.6166053701495879,-0.054423070609776934
Bayes_Ridge,0.5090065872467177,0.6217412235262122,101.78715052248162,6,50.0,1.1200375567389358,0.5699896093770502,0.2979060374243628
Subcomp_Multi,0.5130948843985195,0.628877688086251,102.31799493321374,6,50.0,1.0422993915717456,0.6361200676703961,0.15671354266346782
Prophet,0.5156201755355853,0.6231278493010954,109.1825333326282,4,66.66666666666666,1.3439172355255709,0.6084944091020255,0.22108442842472523
LightGBM,0.5216193272020048,0.6141652337719736,119.82545869776762,5,58.333333333333336,1.0356859148820945,0.6315770512064683,0.10747167253628594
Micro_SM,0.5268768535369747,0.6023328968918944,138.71418386607715,5,58.333333333333336,1.1240624138242055,0.6289874729919377,-0.01218390724671418
ETS,0.5273119498052294,0.6033943772711379,135.648878564311,5,58.333333333333336,1.1050236469825752,0.630215752368451,0.0032462080754731373
FactorPolicy,0.5294126169503813,0.6026460517385138,136.48148713421878,5,58.333333333333336,1.133538741815979,0.6288865786255735,0.025340263717151923
Subcomp,0.5335645647701336,0.5834611937176791,148.12508400072716,7,41.66666666666667,0.930916032921985,0.6084052053473858,-0.03341374724791043
MIDAS,0.5477256053451095,0.6523830122852372,204.43732995624094,6,50.0,1.3739322621262033,0.604035398841519,-0.3019101332944345
SARIMA,0.571090975520428,0.6905298881637592,88.77945529076143,6,50.0,1.376157035077359,0.6141516575318842,0.3620512710501873
Micro,0.5937499999999964,0.6852280642238721,103.83634521853307,5,37.5,1.0,0.6933034276975245,0.22125000000000128
Ridge_Macro,0.6435174729929791,0.7839875147221339,97.89794073922101,6,50.0,1.355548845710274,0.6013365255440637,0.5321321336844503
