Date,Actual,SubcompMulti,Error
2024-12-01,0.9099999999999966,1.0420595674487458,-0.13205956744874925
2025-01-01,0.8400000000000034,0.7284751820105413,0.11152481798946212
2025-02-01,1.3400000000000034,0.8429572749904537,0.4970427250095497
2025-03-01,0.8100000000000023,0.671107787163109,0.13889221283689324
2025-04-01,0.5300000000000011,0.5386425306304403,-0.008642530630439182
2025-05-01,-0.06999999999999318,0.18663440796588304,-0.2566344079658762
2025-06-01,-0.04000000000000625,-0.09749057908589975,0.0574905790858935
2025-07-01,0.35999999999999943,-0.09094547282151666,0.4509454728215161
2025-08-01,-0.5699999999999932,-0.4483811807882745,-0.12161881921171869
2025-09-01,1.0,0.5854676113204818,0.41453238867951825
2025-10-01,0.5300000000000011,0.6557428909868435,-0.12574289098684233
2025-11-01,0.15000000000000568,0.6663488192598805,-0.5163488192598749
