Date,MoM_Ensemble,MoM_Ridge,MoM_BVAR,MoM_ETS,CI_Lower,CI_Upper,Weight_Ridge,Weight_BVAR,Weight_ETS
2025-12-30,0.6487376743964409,0.8021903319254884,0.3418323593383457,0.7684615384615381,-0.5904189068659272,1.887894255658809,0.6666666666666667,0.33333333333333337,0.0
2026-01-30,0.9890073566701492,1.021547962596629,0.48700398777881304,1.0035714285714283,-0.48247642344732156,2.4604911367876197,0.06060606060606059,0.030303030303030293,0.9090909090909092
2026-02-28,0.8263186139346176,0.941692694720835,0.5955704523621825,0.8764285714285732,-0.712483473702039,2.365120701571274,0.6666666666666667,0.33333333333333337,0.0
2026-03-30,0.7200589675903675,0.8195719887048419,0.5474199601864498,0.7121428571428581,-0.8064563354826002,2.246574270663335,0.3157894736842105,0.15789473684210525,0.5263157894736842
2026-04-30,0.7814291879241841,0.8679106780452416,0.6145895373696812,0.7771428571428558,-0.8034287317268427,2.3662871075752108,0.45161290322580644,0.22580645161290322,0.3225806451612903
2026-05-30,0.4798192230003245,0.5982051684114867,0.6447668793305885,0.4664285714285715,-1.1246458679046758,2.0842843139053246,0.06060606060606059,0.030303030303030293,0.9090909090909092
2026-06-30,0.26664165984645155,0.3061234202488332,0.6121979575774752,0.1392857142857155,-1.4393018480664288,1.972585167759332,0.3157894736842105,0.15789473684210525,0.5263157894736842
2026-07-30,0.5066502227651575,0.43197796827370427,0.6559947317480638,0.33071428571428435,-1.057555143799637,2.070855589329952,0.6666666666666667,0.33333333333333337,0.0
2026-08-30,0.09512996402841857,0.11005659895788955,0.5109480028356319,-0.038571428571428,-1.521562344173899,1.7118222722307364,0.3157894736842105,0.15789473684210525,0.5263157894736842
2026-09-30,0.5001906373325664,0.5310528753739737,0.5941852812266993,0.4950000000000015,-1.1968970541289214,2.197278328794054,0.06060606060606059,0.030303030303030293,0.9090909090909092
2026-10-30,0.5978840137534331,0.6150981427485035,0.6928333112234848,0.5935714285714268,-1.0702619738379915,2.2660300013448578,0.06060606060606059,0.030303030303030293,0.9090909090909092
2026-11-30,0.6575696928882495,0.667439601182195,0.6378298763003585,0.6357142857142861,-0.9196246875977849,2.2347640733742837,0.6666666666666667,0.33333333333333337,0.0
