FeatureSet,MAE,vs_Baseline,KPI_Hits,Total,N_Features
AR_only,0.548269241320509,0.0,28,46,9
Federal_macro,0.5276137729852174,-3.7673950640642992,29,46,12
Regional_macro,0.5489307836262859,0.12066011658497118,27,46,11
Components,0.5081506757694637,-7.317311008441685,31,46,11
Best_correlated,0.46243860792381664,-15.654832868239865,26,42,17
Kitchen_sink,1.5906729568665832,190.12624400293547,19,46,54
Minimal,0.5481645273829746,-0.019098999112591743,30,46,4
