Year,Avg_monthly_FDI_weighted_pct,Avg_monthly_FDI_simple_pct,Active_base_pct,Headline_MoM,Included_MoM
2016,30.85563435958549,33.783204798628965,69.1443656404145,100.49916691666665,100.55577007953262
2017,31.694860631884477,33.83966244725738,68.30513936811552,100.20499966666667,100.26420748272854
2018,38.884436192541024,43.82566585956417,61.11556380745898,100.28583291666666,100.33995381278879
2019,25.73881273256598,30.683656957928804,74.26118726743401,100.303333,100.3268515327771
2020,28.245984784446303,31.450980392156865,71.7540152155537,100.4391665,100.51584308240537
2021,20.380312198249964,25.235507246376812,79.61968780175003,100.65583333333332,100.71225791939757
2022,20.01487641586883,22.777931612280256,79.98512358413117,100.95583358333333,101.04754933863988
2023,24.059351093756703,24.692116431148325,75.9406489062433,100.57,100.61945759668542
2024,22.604373584248126,23.159105851413543,77.39562641575186,100.72000000000001,100.76281117482664
2025,22.05468290720821,21.984877126654062,77.94531709279178,100.4729999,100.49731108366113
