Date,KBR,Krasnodar,Spread
2024-01-01,0.8700000000000045,0.8799999999999955,-0.009999999999990905
2024-02-01,0.5300000000000011,0.5499999999999972,-0.01999999999999602
2024-03-01,0.5300000000000011,0.28000000000000114,0.25
2024-04-01,0.37999999999999545,0.2600000000000051,0.11999999999999034
2024-05-01,0.9399999999999977,0.9500000000000028,-0.010000000000005116
2024-06-01,0.18000000000000682,0.9399999999999977,-0.7599999999999909
2024-07-01,1.0699999999999932,1.6299999999999955,-0.5600000000000023
2024-08-01,0.09000000000000341,0.6899999999999977,-0.5999999999999943
2024-09-01,0.6200000000000045,0.01999999999999602,0.6000000000000085
2024-10-01,1.019999999999996,0.37000000000000455,0.6499999999999915
2024-11-01,1.5,1.1899999999999977,0.3100000000000023
2024-12-01,0.9099999999999966,1.3599999999999994,-0.45000000000000284
2025-01-01,0.8400000000000034,1.2800000000000011,-0.4399999999999977
2025-02-01,1.3400000000000034,0.7800000000000011,0.5600000000000023
2025-03-01,0.8100000000000023,0.8599999999999994,-0.04999999999999716
2025-04-01,0.5300000000000011,0.6400000000000006,-0.10999999999999943
2025-05-01,-0.06999999999999318,0.480000000000004,-0.5499999999999972
2025-06-01,-0.04000100000000373,0.21999999999999886,-0.2600010000000026
2025-07-01,0.35999999999999943,0.6400000000000006,-0.28000000000000114
2025-08-01,-0.5699999999999932,-0.5999979999999994,0.029998000000006186
2025-09-01,1.0,0.1599999999999966,0.8400000000000034
2025-10-01,0.5300000000000011,0.39000000000000057,0.14000000000000057
2025-11-01,0.15,0.34,-0.19000000000000003
