,MAE,RMSE,KPI,n_points,vs_baseline
Ridge Shock (no 2022),0.2996746903632052,0.41624200224940966,79.41176470588235,34.0,-5.06137682703843
Ridge Shock Dummies,0.3081984054200408,0.42563025692668577,79.41176470588235,34.0,-2.36101607640638
Ridge baseline,0.3156509757016913,0.4366454809543194,76.47058823529412,34.0,0.0
Ridge Base Index,0.3601393142969864,0.47697449604989356,67.64705882352942,34.0,14.094155260061417
Ridge Base Log,0.5674907608246647,0.6848977783145532,50.0,34.0,79.78425682453036
