Модель,Прогноз,CI_Lower,CI_Upper
AR(1),0.4124660250752981,-0.8582518484182065,1.6831838985688026
SARIMA,0.13165130341843814,-1.154067605553678,1.4173702123905543
Ridge,0.714256228663361,0.21425622866336103,1.214256228663361
BVAR,0.3881136574263918,-0.8936490107331149,1.6698763255858986
Ансамбль,0.605542038251038,-0.8936490107331149,1.6698763255858986
