Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,N_obs
reg_shipped_D1,0.11878201790077982,0.20211451979100792,-0.006137417483754261,0.947637239793373,0.11878201790077982,117
reg_unknown20_L11,0.11764094318768753,0.33570064315642734,0.08896904456887535,0.46724152407757025,0.11764094318768753,69
reg_wage_agri_L4,0.11759300632221413,0.2127493444561033,-0.03663632051996153,0.6987651652217124,0.11759300632221413,114
brent_pct_MA12,0.11751226695685262,0.22802551233791216,0.057599843620755584,0.5556541293988504,0.11751226695685262,107
reg_agri_prices_STD3,-0.11749884062108193,0.2090606635759875,-0.0861469736097077,0.3578372235772135,0.11749884062108193,116
reg_retail_MA6,0.11747554767774902,0.21527394216851464,0.2208915194646445,0.018716911686165943,0.11747554767774902,113
mom_L2,-0.1173156678303963,0.20977635224388283,0.022629662529799154,0.8094618826296167,0.1173156678303963,116
reg_ppi_L3,0.11713427647016537,0.21250770690466317,0.18561678568737985,0.04702579994454009,0.11713427647016537,115
reg_services_L11,0.11634404067175437,0.2615278129400621,0.025197848166525455,0.8084815230463973,0.11634404067175437,95
reg_agri_prices_L10,0.11590103963207303,0.23228490271164678,0.1827686258251826,0.058322537805111374,0.11590103963207303,108
reg_housing_secondary_L7,0.11483669492303644,0.23442146436162645,0.018342840647436867,0.8498475354842111,0.11483669492303644,109
reg_services_MA3,0.11385347490857049,0.24981636244400607,0.20882706123630118,0.03338671388319284,0.11385347490857049,104
reg_housing_primary_L7,0.11312993030475796,0.2414947905795964,0.12853338676998521,0.18286367965337255,0.11312993030475796,109
reg_receivables_STD6,-0.11307887244600358,0.23306173891360246,-0.24251309755960845,0.009652331565815403,0.11307887244600358,113
brent_pct_L12,0.11299548446255603,0.24880216946196504,0.04727244045946118,0.6303758073856489,0.11299548446255603,106
reg_housing_secondary_L8,0.11264902925715713,0.24573962038872127,-0.05464179368953447,0.5743433285581405,0.11264902925715713,108
reg_payables_STD3,0.11240690307256598,0.22961157938816085,0.10555858916535614,0.25942867319695,0.11240690307256598,116
mom_L4,-0.11208662126179188,0.23510369972422054,-0.15852828586833323,0.09205884638614703,0.11208662126179188,114
reg_income_real_MA12,0.11136733096142887,0.2580392642797788,0.07341780074292462,0.45668992780069495,0.11136733096142887,105
reg_housing_primary_L5,0.11116991299430493,0.2454005150710381,0.06215760878227517,0.5169299897909838,0.11116991299430493,111
brent_L5,0.11098843273831714,0.2765961779788481,0.14731190782876305,0.14775344595437656,0.11098843273831714,98
reg_profit_L2,-0.10991832912361883,0.2401552477625102,-0.08536667464087137,0.36222436284846327,0.10991832912361883,116
prod_MA6,0.10894747841245728,0.2506905712795677,0.05861239328466817,0.5374582135259536,0.10894747841245728,113
reg_construction_L11,0.10893554380171937,0.26402407097353386,-0.01132611577051096,0.9078222485132343,0.10893554380171937,107
ki_D1,-0.10881646722555939,0.24286150053169,0.03664854826114864,0.6948437067655092,0.10881646722555939,117
reg_wage_L1,0.10779844589536142,0.24732383351375875,0.12891802615256487,0.16596752851011892,0.10779844589536142,117
reg_ppi_L11,-0.10776464589039778,0.2692227590494751,-0.14756676514958011,0.12930942132414042,0.10776464589039778,107
reg_ind_prod_L11,-0.10757974131895873,0.2700500073369091,-0.217809632531215,0.024214565209894876,0.10757974131895873,107
mom_L6,-0.1069093163799678,0.26188454924996535,-0.2206812439600697,0.019378183944169926,0.1069093163799678,112
reg_invest_prices_D3,-0.10578034032769987,0.2605315895001776,-0.12181397023719209,0.19467448359147033,0.10578034032769987,115
reg_income_real_L1,0.10565487924050829,0.26110060848850536,0.23373040726394162,0.01193628983466521,0.10565487924050829,115
reg_ppi_D3,-0.10551988991209782,0.261713788366732,-0.09038890313994731,0.3367069375088819,0.10551988991209782,115
reg_unknown20_L12,-0.10541499852191184,0.3922492880115072,-0.06357871684238398,0.6064936123264585,0.10541499852191184,68
reg_ppi_L12,-0.10537769046755564,0.2823468419218554,-0.06006586357596309,0.5407785915584082,0.10537769046755564,106
