Date,Year,Month,basket_weight,freeze_weight,freeze_items,total_items,FDI_weighted_pct,FDI_simple_pct,Active_base_pct,Avg_abs_MoM_pct,Headline_MoM,Included_MoM,Implied_active_MoM
2016-01-01,2016,1,0.8643099999999997,0.2764599999999999,149,389,31.986208651988292,38.303341902313626,68.01379134801171,1.4734927592414764,100.79,100.96484996501255,101.16152913158119
2016-02-01,2016,2,0.8643099999999997,0.29142,118,389,33.717069107149065,30.334190231362467,66.28293089285094,1.386448706795015,100.62,100.65942256624359,100.93538410515109
2016-03-01,2016,3,0.8643099999999997,0.3026099999999998,139,389,35.01174347167104,35.732647814910024,64.98825652832896,1.0563675362543534,100.25,100.28095657199384,100.38468488517002
2016-04-01,2016,4,0.8643099999999997,0.2155199999999997,114,389,24.935497680230448,29.30591259640103,75.06450231976956,2.1435173372169714,101.09,101.11586408426375,101.45208449575364
2016-05-01,2016,5,0.8643099999999997,0.2763299999999999,137,389,31.971167752311093,35.2185089974293,68.02883224768891,1.945364411808263,100.21,99.93970807375825,100.30869264260689
2016-06-01,2016,6,0.8643099999999997,0.2472799999999998,129,389,28.610105170598498,33.16195372750643,71.3898948294015,1.5204910458747452,100.24,100.01995763573255,100.3361820332885
2016-07-01,2016,7,0.8643099999999997,0.1882399999999999,114,389,21.779222732584373,29.30591259640103,78.22077726741563,1.9633367419097318,100.61,100.65228843887031,100.77984395107015
2016-08-01,2016,8,0.8643099999999997,0.2759899999999999,136,389,31.9318300146938,34.96143958868895,68.0681699853062,1.2072418289849707,100.09,99.99116337285233,100.13222039026381
2016-09-01,2016,9,0.8643099999999997,0.28411,142,389,32.871307748377326,36.50385604113111,67.12869225162268,1.436697901505247,99.870003,100.09740259484444,99.80634659243364
2016-10-01,2016,10,0.8643099999999997,0.3408399999999999,162,389,39.43492496905046,41.645244215938305,60.56507503094954,1.4169203997524036,100.6,101.03704920004397,100.9906699524328
2016-11-01,2016,11,0.8643099999999997,0.28278999999999993,136,389,32.71858476703961,34.96143958868895,67.2814152329604,1.5065679037035327,100.29,100.67435460696971,100.43102541615079
2016-12-01,2016,12,0.8643099999999997,0.21867,101,389,25.29995024933185,25.96401028277635,74.70004975066814,1.9862049143941407,101.33,101.23622384380604,101.78045396815563
2017-01-01,2017,1,0.8636599999999995,0.28372,140,395,32.8508903966839,35.44303797468354,67.1491096033161,1.2336237174119442,100.47,100.5146728344719,100.69993482084354
2017-02-01,2017,2,0.8636599999999995,0.29663,147,395,34.345691591598566,37.21518987341772,65.65430840840143,1.1009306099159393,100.33,100.1362868136072,100.50263266493836
2017-03-01,2017,3,0.8636599999999995,0.24709,121,395,28.60963805201122,30.632911392405067,71.39036194798878,1.018014596067897,100.2,100.28907337836648,100.28014986132962
2017-04-01,2017,4,0.8636599999999995,0.22805,113,395,26.40506680869788,28.607594936708864,73.59493319130212,1.5607750857281801,100.77,100.81865535703865,101.04626767986657
2017-05-01,2017,5,0.8636599999999995,0.26489999999999997,114,395,30.67179214042564,28.860759493670884,69.32820785957436,2.10813751055971,100.46,100.39551033257301,100.66351058854966
2017-06-01,2017,6,0.8636599999999995,0.27373,134,395,31.694185211773164,33.92405063291139,68.30581478822684,1.8167508926082014,100.58,100.33348924818795,100.84912243825538
2017-07-01,2017,7,0.8636599999999995,0.24511,146,395,28.3803811685154,36.9620253164557,71.6196188314846,1.6586598261237058,99.519997,99.70342548522567,99.32978839062324
2017-08-01,2017,8,0.8636599999999995,0.30911,139,395,35.79070467545101,35.189873417721515,64.20929532454899,1.763198216080401,99.489998,99.3272292669569,99.2057193628708
2017-09-01,2017,9,0.8636599999999995,0.26018,132,395,30.125280781789147,33.41772151898734,69.87471921821086,1.5085581722784418,99.860001,100.2405928825348,99.7996428442699
2017-10-01,2017,10,0.8636599999999995,0.30412,150,395,35.21293101451962,37.9746835443038,64.78706898548037,1.659243732603107,100.16,100.51754667102796,100.24696286235121
2017-11-01,2017,11,0.8636599999999995,0.29444,125,395,34.092119584095606,31.645569620253166,65.9078804159044,1.8198920880323257,100.18,100.2749440743464,100.2731084642142
2017-12-01,2017,12,0.8636599999999995,0.2777499999999999,143,395,32.15964615705255,36.20253164556962,67.84035384294745,1.5931478384433682,100.44,100.61906344840563,100.64858152275947
2018-01-01,2018,1,0.8671399999999994,0.4495799999999997,260,413,51.8462993288281,62.95399515738499,48.1537006711719,1.033967746534585,99.970001,99.93650484151348,99.93770156897212
2018-02-01,2018,2,0.8671399999999994,0.39216,215,413,45.224531217565826,52.05811138014528,54.775468782434174,0.811804983163041,100.34,100.34847801612196,100.62071581961347
2018-03-01,2018,3,0.8671399999999994,0.41534,229,413,47.89768664806148,55.44794188861986,52.10231335193852,0.8215610219341737,100.08,100.05967407274488,100.15354404603806
2018-04-01,2018,4,0.8671399999999994,0.3288499999999999,175,413,37.923518693636574,42.3728813559322,62.076481306363426,0.9888247944853198,100.5,100.30341798061444,100.80545802448495
2018-05-01,2018,5,0.8671399999999994,0.31597000000000003,169,413,36.438176073067815,40.92009685230024,63.561823926932185,1.3992049040639345,100.09,100.11020649432618,100.14159442640202
2018-06-01,2018,6,0.8671399999999994,0.3587499999999999,184,413,41.3716354913855,44.55205811138014,58.6283645086145,1.5829030311368408,100.64,100.2829045055931,101.09162178642381
2018-07-01,2018,7,0.8671399999999994,0.22339,141,413,25.76169937956964,34.14043583535109,74.23830062043035,1.6255807621491343,100.12,100.00810837685957,100.16164163106797
2018-08-01,2018,8,0.8671399999999994,0.32142,158,413,37.066678967640776,38.256658595641646,62.933321032359224,1.3654794451069034,99.949997,100.14358212788015,99.92054606497837
2018-09-01,2018,9,0.8671399999999994,0.3325799999999999,156,413,38.35366838111494,37.77239709443099,61.64633161888506,1.3497683318149318,99.699997,100.19642513175496,99.51334817154294
2018-10-01,2018,10,0.8671399999999994,0.3401899999999999,183,413,39.23126600087646,44.30992736077482,60.76873399912354,1.0832737139677555,100.09,100.2617300916461,100.1481024765158
2018-11-01,2018,11,0.8671399999999994,0.29921000000000003,151,413,34.50538552021591,36.56174334140436,65.49461447978409,1.7059012170007146,100.87,101.20622531389395,101.32835349426867
2018-12-01,2018,12,0.8671399999999994,0.26875,151,413,30.99268860852921,36.56174334140436,69.0073113914708,1.65474733436354,101.08,101.22218880051663,101.56505155500594
2019-01-01,2019,1,0.8644499999999992,0.1697399999999997,135,412,19.635606454971352,32.76699029126214,80.36439354502865,1.6628329122216454,101.14,101.18241979366071,101.41853867081228
2019-02-01,2019,2,0.8644499999999992,0.19449999999999978,114,412,22.499855399386888,27.669902912621357,77.50014460061311,1.2249300374457757,100.71,100.46343574426514,100.91612732293454
2019-03-01,2019,3,0.8644499999999992,0.2732899999999998,140,412,31.61432124472209,33.980582524271846,68.38567875527791,1.298247617918909,100.55,100.60131719207588,100.80426195953717
