Feature,Horizon,Pearson_r,P_value,Abs_r,N,Significant
reg_invest_prices_L12,h=12,0.6008010550732129,1.2219116369438498e-10,0.6008010550732129,95,True
ibved_q,h=12,0.5695440779473244,3.269736341250096e-07,0.5695440779473244,69,True
ibved_q_L0,h=12,0.5695440779473244,3.269736341250096e-07,0.5695440779473244,69,True
reg_invest_prices_L11,h=12,0.565141035007039,1.991991400029719e-09,0.565141035007039,96,True
reg_services_STD3,h=12,0.5580412158473234,6.194220806363884e-09,0.5580412158473234,93,True
reg_services_MA6,h=12,0.5525324242765308,1.6407121907531423e-08,0.5525324242765308,90,True
ki_D6,h=12,0.5511099589541639,2.345102259383588e-09,0.5511099589541639,101,True
reg_services_MA3,h=12,0.5464440123314435,1.4612677995549884e-08,0.5464440123314435,93,True
reg_housing_secondary_MA6,h=12,0.526661781098931,1.8189574420050457e-08,0.526661781098931,100,True
reg_invest_prices_L10,h=12,0.5182313766455181,5.424276986860198e-08,0.5182313766455181,97,True
ki_D12,h=12,0.5149082547429394,9.369196157819661e-08,0.5149082547429394,95,True
reg_services_D12,h=12,0.5083699277012388,9.272189814612761e-07,0.5083699277012388,83,True
reg_invest_prices_D12,h=12,-0.49918120176527875,2.6169598088401567e-07,0.49918120176527875,95,True
ibved_q_MA3,h=12,0.48357816691017375,3.391704177420433e-05,0.48357816691017375,67,True
ibved_m_STD3,h=12,0.46977806331461097,0.005808643809780109,0.46977806331461097,33,True
reg_invest_prices_L9,h=12,0.4666945109098716,1.2738077748295604e-06,0.4666945109098716,98,True
ibved_m_MA6,h=12,0.45604333588180157,0.01131410293960153,0.45604333588180157,30,True
ibved_q_L1,h=12,0.4552339361375305,9.599452766844987e-05,0.4552339361375305,68,True
reg_wage_L10,h=12,0.4523716440357625,3.290473596863431e-06,0.4523716440357625,97,True
reg_services,h=12,0.44630788648967246,5.810566548107443e-06,0.44630788648967246,95,True
reg_services_L0,h=12,0.44630788648967246,5.810566548107443e-06,0.44630788648967246,95,True
reg_housing_secondary_MA3,h=12,0.442050534948254,2.9435149604087734e-06,0.442050534948254,103,True
