,MAE,RMSE,KPI,n_points
NGBoost Shock,0.3025510744434912,0.41098431569327304,79.41176470588235,34.0
Ridge,0.3156509757016913,0.4366454809543194,76.47058823529412,34.0
LSTM,0.33884036829239633,0.45626228118853474,73.52941176470588,34.0
