Date,Sub,Agg,Diff
2024-01-01,6.91,7.348925757937453,-0.4389257579374526
2024-02-01,2.62,-0.7494127476724755,3.3694127476724756
2024-03-01,-0.14,1.962010026259251,-2.102010026259251
2024-04-01,-2.27,0.13211745046550494,-2.402117450465505
2024-05-01,5.89,15.70174027214132,-9.811740272141321
2024-06-01,0.77,3.364592981618524,-2.594592981618524
2024-07-01,-1.58,-1.2842659345905945,-0.2957340654094056
2024-08-01,-5.1,-6.340728097397948,1.2407280973979482
2024-09-01,-2.07,-1.571437097159226,-0.49856290284077387
2024-10-01,3.77,2.6721460969205046,1.0978539030794954
2024-11-01,9.95,6.592912389591787,3.357087610408212
2024-12-01,6.67,3.645001193602292,3.024998806397708
2025-01-01,0.54,0.4318047266650752,0.10819527333492485
2025-02-01,5.3,5.087474337550728,0.21252566244927173
2025-03-01,2.3,5.668352828837431,-3.3683528288374314
2025-04-01,2.8,5.808842205777035,-3.008842205777035
2025-05-01,-2.29,3.6034041537359753,-5.893404153735975
2025-06-01,-5.12,-3.2533969921222248,-1.8666030078777753
2025-07-01,-12.44,-10.797954165671998,-1.6420458343280018
2025-08-01,-13.29,-15.164588207209356,1.8745882072093565
2025-09-01,2.19,0.5428718071138698,1.64712819288613
2025-10-01,5.05,3.216822630699451,1.8331773693005489
2025-11-01,1.99,0.12357603246598257,1.8664239675340175
