Date,Horizon,Model,Actual,Prediction,Error,AbsError,KPI_Hit
2020-01-01,1,Ridge,0.5,1.0864854199727887,-0.5864854199727887,0.5864854199727887,False
2020-01-01,1,Ridge_Ext,0.5,,,,
2020-01-01,1,Bayes_Ridge,0.5,,,,
2020-01-01,1,ElasticNet,0.5,,,,
2020-01-01,1,Huber,0.5,,,,
2020-01-01,1,Ridge_Shock,0.5,,,,
2020-01-01,1,EBM,0.5,1.123333444444441,-0.6233334444444409,0.6233334444444409,False
2020-01-01,1,LightGBM,0.5,0.4607913736009408,0.0392086263990592,0.0392086263990592,True
2020-01-01,1,Prophet,0.5,0.684201130268213,-0.18420113026821305,0.18420113026821305,True
2020-01-01,1,ETS,0.5,0.7014854860258513,-0.20148548602585126,0.20148548602585126,True
2020-01-01,1,SARIMA,0.5,0.384117047680604,0.115882952319396,0.115882952319396,True
2020-01-01,1,NGBoost,0.5,1.0529849124370685,-0.5529849124370685,0.5529849124370685,False
2020-01-01,1,CatBoost,0.5,0.438707082269417,0.061292917730582985,0.061292917730582985,True
2020-01-01,1,Subcomp,0.5,,,,
2020-01-01,1,Subcomp_Multi,0.5,,,,
2020-01-01,1,Micro,0.5,,,,
2020-01-01,2,Ridge,0.5,1.112092489174401,-0.6120924891744011,0.6120924891744011,False
2020-01-01,2,Ridge_Ext,0.5,,,,
2020-01-01,2,Bayes_Ridge,0.5,,,,
2020-01-01,2,ElasticNet,0.5,,,,
2020-01-01,2,Huber,0.5,,,,
2020-01-01,2,Ridge_Shock,0.5,,,,
2020-01-01,2,EBM,0.5,1.123333444444441,-0.6233334444444409,0.6233334444444409,False
2020-01-01,2,LightGBM,0.5,0.3944103917046249,0.10558960829537511,0.10558960829537511,True
2020-01-01,2,Prophet,0.5,0.7151583366485583,-0.21515833664855832,0.21515833664855832,True
2020-01-01,2,ETS,0.5,0.7975874957363069,-0.29758749573630694,0.29758749573630694,True
2020-01-01,2,SARIMA,0.5,0.36475118889782765,0.13524881110217235,0.13524881110217235,True
2020-01-01,2,NGBoost,0.5,1.0405384736536263,-0.5405384736536263,0.5405384736536263,False
2020-01-01,2,CatBoost,0.5,0.28973579395180593,0.21026420604819407,0.21026420604819407,True
2020-01-01,2,Subcomp,0.5,,,,
2020-01-01,2,Subcomp_Multi,0.5,,,,
2020-01-01,2,Micro,0.5,,,,
2020-01-01,12,Ridge,0.5,1.101934530184593,-0.6019345301845931,0.6019345301845931,False
2020-01-01,12,Ridge_Ext,0.5,,,,
2020-01-01,12,Bayes_Ridge,0.5,,,,
2020-01-01,12,ElasticNet,0.5,,,,
2020-01-01,12,Huber,0.5,,,,
2020-01-01,12,Ridge_Shock,0.5,,,,
2020-01-01,12,EBM,0.5,1.123333444444441,-0.6233334444444409,0.6233334444444409,False
2020-01-01,12,LightGBM,0.5,1.5191331220063233,-1.0191331220063233,1.0191331220063233,False
2020-01-01,12,Prophet,0.5,0.8536550861805964,-0.3536550861805964,0.3536550861805964,True
2020-01-01,12,ETS,0.5,1.0830341218984272,-0.5830341218984272,0.5830341218984272,False
2020-01-01,12,SARIMA,0.5,0.30424630895768984,0.19575369104231016,0.19575369104231016,True
2020-01-01,12,NGBoost,0.5,1.0790032926389017,-0.5790032926389017,0.5790032926389017,False
2020-01-01,12,CatBoost,0.5,0.4494120068839038,0.050587993116096186,0.050587993116096186,True
2020-01-01,12,Subcomp,0.5,,,,
2020-01-01,12,Subcomp_Multi,0.5,,,,
2020-01-01,12,Micro,0.5,,,,
2020-02-01,1,Ridge,0.4000000000000057,0.6060519163324614,-0.20605191633245568,0.20605191633245568,True
2020-02-01,1,Ridge_Ext,0.4000000000000057,,,,
2020-02-01,1,Bayes_Ridge,0.4000000000000057,,,,
2020-02-01,1,ElasticNet,0.4000000000000057,,,,
2020-02-01,1,Huber,0.4000000000000057,,,,
2020-02-01,1,Ridge_Shock,0.4000000000000057,,,,
2020-02-01,1,EBM,0.4000000000000057,0.9133333333333411,-0.5133333333333354,0.5133333333333354,False
2020-02-01,1,LightGBM,0.4000000000000057,0.528948748479408,-0.1289487484794023,0.1289487484794023,True
2020-02-01,1,Prophet,0.4000000000000057,0.4031326983692479,-0.003132698369242237,0.003132698369242237,True
2020-02-01,1,ETS,0.4000000000000057,0.4002498020705216,-0.0002498020705158921,0.0002498020705158921,True
2020-02-01,1,SARIMA,0.4000000000000057,0.32488794146228733,0.07511205853771835,0.07511205853771835,True
2020-02-01,1,NGBoost,0.4000000000000057,0.4117243207212766,-0.011724320721270942,0.011724320721270942,True
2020-02-01,1,CatBoost,0.4000000000000057,0.42118238910461514,-0.021182389104609456,0.021182389104609456,True
2020-02-01,1,Subcomp,0.4000000000000057,,,,
2020-02-01,1,Subcomp_Multi,0.4000000000000057,,,,
2020-02-01,1,Micro,0.4000000000000057,,,,
2020-02-01,2,Ridge,0.4000000000000057,0.6186104175779832,-0.2186104175779775,0.2186104175779775,True
2020-02-01,2,Ridge_Ext,0.4000000000000057,,,,
2020-02-01,2,Bayes_Ridge,0.4000000000000057,,,,
2020-02-01,2,ElasticNet,0.4000000000000057,,,,
2020-02-01,2,Huber,0.4000000000000057,,,,
2020-02-01,2,Ridge_Shock,0.4000000000000057,,,,
2020-02-01,2,EBM,0.4000000000000057,0.9133333333333411,-0.5133333333333354,0.5133333333333354,False
2020-02-01,2,LightGBM,0.4000000000000057,0.40676368862565937,-0.0067636886256536854,0.0067636886256536854,True
2020-02-01,2,Prophet,0.4000000000000057,0.4142039353985366,-0.014203935398530931,0.014203935398530931,True
2020-02-01,2,ETS,0.4000000000000057,0.48348427663492866,-0.08348427663492297,0.08348427663492297,True
2020-02-01,2,SARIMA,0.4000000000000057,0.24600964445680767,0.153990355543198,0.153990355543198,True
2020-02-01,2,NGBoost,0.4000000000000057,0.3542195975678766,0.04578040243212911,0.04578040243212911,True
2020-02-01,2,CatBoost,0.4000000000000057,0.34675903173517497,0.05324096826483071,0.05324096826483071,True
2020-02-01,2,Subcomp,0.4000000000000057,,,,
2020-02-01,2,Subcomp_Multi,0.4000000000000057,,,,
2020-02-01,2,Micro,0.4000000000000057,,,,
2020-02-01,12,Ridge,0.4000000000000057,0.5698636551396277,-0.16986365513962198,0.16986365513962198,True
2020-02-01,12,Ridge_Ext,0.4000000000000057,,,,
2020-02-01,12,Bayes_Ridge,0.4000000000000057,,,,
2020-02-01,12,ElasticNet,0.4000000000000057,,,,
2020-02-01,12,Huber,0.4000000000000057,,,,
2020-02-01,12,Ridge_Shock,0.4000000000000057,,,,
2020-02-01,12,EBM,0.4000000000000057,0.9133333333333411,-0.5133333333333354,0.5133333333333354,False
2020-02-01,12,LightGBM,0.4000000000000057,0.20529790542201454,0.19470209457799115,0.19470209457799115,True
