date,actual,pred,error
2020-01-01,0.5,0.753703277875104,0.25370327787510405
2020-02-01,0.4000000000000057,0.6233325354263144,0.2233325354263087
2020-03-01,0.6700000000000017,0.7809305627452119,0.11093056274521018
2020-04-01,1.2999999999999972,0.8835533073430071,-0.4164466926569901
2020-05-01,0.12000000000000455,0.26957505454899433,0.14957505454898978
2020-06-01,0.010000000000005116,-0.20105776166036549,-0.2110577616603706
2020-07-01,-0.15000200000000063,0.15817271449928683,0.30817471449928746
2020-08-01,0.10999999999999943,-0.07720315322744398,-0.1872031532274434
2020-09-01,0.12999999999999545,0.19673267115186377,0.06673267115186832
2020-10-01,0.5,0.5391314115658474,0.03913141156584743
2020-11-01,0.7800000000000011,0.813755641907477,0.03375564190747582
2020-12-01,0.9000000000000057,1.0682967472074267,0.16829674720742105
2021-01-01,0.5999999999999943,0.802897376953382,0.20289737695338772
2021-02-01,1.0300000000000011,0.8575621659167894,-0.17243783408321178
2021-03-01,1.3100000000000023,0.7773101603126378,-0.5326898396873645
2021-04-01,0.8599999999999994,0.8568894582289488,-0.0031105417710506345
2021-05-01,0.4099999999999966,0.27667317455532725,-0.13332682544466934
2021-06-01,0.5600000000000023,0.4187260204065666,-0.14127397959343568
2021-07-01,0.21999999999999886,0.13700588023660032,-0.08299411976339854
2021-08-01,0.1599999999999966,-0.019567818221062794,-0.17956781822105938
2021-09-01,0.730000000000004,0.7054194332923629,-0.024580566707641083
2021-10-01,0.9200000000000017,0.8359168634800795,-0.08408313651992216
2021-11-01,0.8599999999999994,0.6965806787799238,-0.16341932122007563
2021-12-01,0.20999999999999375,0.7427419559330559,0.5327419559330622
2022-01-01,1.2199999999999989,0.8262818142395787,-0.39371818576042017
2022-02-01,0.9399999999999977,1.0755628623907256,0.1355628623907279
2022-03-01,5.549999999999997,1.8570540562396758,-3.6929459437603214
2022-04-01,3.280000000000001,2.4107019251295583,-0.8692980748704429
2022-05-01,0.6800000000000068,0.5790146474628841,-0.10098535253712271
2022-06-01,-0.6800000000000068,0.029297649812207283,0.7092976498122141
2022-07-01,-0.7699970000000036,0.028460797603429455,0.798457797603433
2022-08-01,-0.5699999999999932,-0.08428428462207194,0.48571571537792124
2022-09-01,0.3299999999999983,0.5047439093408741,0.1747439093408758
2022-10-01,0.6599999999999966,0.809659597664691,0.1496595976646944
2022-11-01,0.2600000000000051,0.8879895463527845,0.6279895463527794
2022-12-01,0.5699999999999932,0.8041824628579093,0.2341824628579161
2023-01-01,1.1299999999999955,1.1912472504101288,0.06124725041013335
2023-02-01,0.75,0.966628184675514,0.21662818467551404
2023-03-01,0.39000000000000057,0.6221212205101665,0.23212122051016593
2023-04-01,0.7199999999999989,0.7913093410524112,0.07130934105241238
2023-05-01,-0.25,0.03018179050297931,0.2801817905029793
2023-06-01,0.4300000000000068,0.4030923047340451,-0.026907695265961706
2023-07-01,0.5,0.4898402884923172,-0.0101597115076828
2023-08-01,-0.06999999999999318,-0.07322049814004572,-0.003220498140052541
2023-09-01,1.75,0.5941835871242347,-1.1558164128757653
2023-10-01,0.45999999999999375,0.6232149875685735,0.16321498756857977
2023-11-01,0.7399999999999949,0.7554408296690696,0.015440829669074674
2023-12-01,0.29000000000000625,0.791264907611307,0.5012649076113007
2024-01-01,0.8700000000000045,0.5943499958859348,-0.2756500041140697
2024-02-01,0.5300000000000011,0.8737585279393869,0.34375852793938577
2024-03-01,0.5300000000000011,0.684722179671482,0.15472217967148083
2024-04-01,0.37999999999999545,0.4274024364374185,0.047402436437423034
2024-05-01,0.9399999999999977,0.6981106633387526,-0.24188933666124512
2024-06-01,0.18000000000000682,0.3843044527971671,0.20430445279716025
2024-07-01,1.0699999999999932,0.4998794003471261,-0.5701205996528671
2024-08-01,0.09000000000000341,0.27340552773893023,0.18340552773892682
2024-09-01,0.6200000000000045,0.12849210697976332,-0.4915078930202412
2024-10-01,1.019999999999996,0.622290043302911,-0.397709956697085
2024-11-01,1.5,1.0961454172113037,-0.40385458278869635
2024-12-01,0.9099999999999966,0.9864088174973347,0.07640881749733808
2025-01-01,0.8400000000000034,0.6834212385686556,-0.15657876143134786
2025-02-01,1.3400000000000034,0.8983626614750477,-0.4416373385249557
2025-03-01,0.8100000000000023,0.6762502641544188,-0.13374973584558347
2025-04-01,0.5300000000000011,0.6456251496019405,0.11562514960193937
2025-05-01,-0.06999999999999318,0.20050850946904575,0.2705085094690389
