date,actual,prediction,error,baseline_pred,baseline_error,year
2020-01-01,0.5,0.8644881874159296,0.3644881874159296,0.45758835276809967,-0.04241164723190033,2020
2020-02-01,0.4000000000000057,0.6146932653865349,0.21469326538652922,0.4985150200295106,0.09851502002950491,2020
2020-03-01,0.6700000000000017,0.6803781565217264,0.01037815652172469,0.41686404780346603,-0.2531359521965357,2020
2020-04-01,1.2999999999999972,1.027965204547158,-0.27203479545283926,0.49390277929119664,-0.8060972207088005,2020
2020-05-01,0.12000000000000455,0.3552407197807952,0.23524071978079064,0.6472865111530876,0.527286511153083,2020
2020-06-01,0.010000000000005116,0.025296297302091375,0.01529629730208626,0.18471213367894648,0.17471213367894137,2020
2020-07-01,-0.15000000000000568,0.19322307506116942,0.3432230750611751,-0.1138887843625943,0.03611121563741139,2020
2020-08-01,0.10999999999999943,-0.07765181598009008,-0.1876518159800895,-0.10814781118316011,-0.21814781118315954,2020
2020-09-01,0.12999999999999545,0.18284270780513623,0.052842707805140776,0.07751711913183912,-0.052482880868156334,2020
2020-10-01,0.5,0.4457891818190518,-0.054210818180948195,0.3891127315780825,-0.11088726842191748,2020
2020-11-01,0.7800000000000011,0.7466726920463316,-0.03332730795366956,0.49928479972515805,-0.2807152002748431,2020
2020-12-01,0.9000000000000057,1.1344621788036875,0.2344621788036818,0.7958869326509544,-0.10411306734905124,2020
2021-01-01,0.5999999999999943,0.7964384167913181,0.1964384167913238,0.6308476361847299,0.030847636184735627,2021
2021-02-01,1.0300000000000011,0.7744357298717404,-0.2555642701282608,0.6082050632793669,-0.4217949367206343,2021
2021-03-01,1.3100000000000023,0.708469107098054,-0.6015308929019483,0.6794197276334661,-0.6305802723665361,2021
2021-04-01,0.8599999999999994,0.7337430020501898,-0.1262569979498096,0.824266159344016,-0.035733840655983395,2021
2021-05-01,0.4099999999999966,0.33940036010180563,-0.07059963989819096,0.5630531095466321,0.15305310954663554,2021
2021-06-01,0.5600000000000023,0.3006106839573732,-0.25938931604262905,0.23405723217093802,-0.3259427678290643,2021
2021-07-01,0.21999999999999886,0.33481494987158555,0.11481494987158669,0.15104184908786525,-0.06895815091213361,2021
2021-08-01,0.1599999999999966,0.026194642301945237,-0.13380535769805135,0.17161497757477787,0.011614977574781277,2021
2021-09-01,0.730000000000004,0.6741018825440648,-0.0558981174559392,0.22464471229113833,-0.5053552877088656,2021
2021-10-01,0.9200000000000017,0.677022481681874,-0.24297751831812775,0.5245218111662768,-0.3954781888337249,2021
2021-11-01,0.8599999999999994,0.6193186658992147,-0.24068133410078474,0.795569053415846,-0.06443094658415338,2021
2021-12-01,0.20999999999999375,0.7126761544801496,0.5026761544801559,0.9496870571540355,0.7396870571540417,2021
2022-01-01,1.2199999999999989,0.8218208265251548,-0.3981791734748441,0.4963042775053684,-0.7236957224946305,2022
