date,actual,pred,error
2020-01-01,8.56,3.8034597139474076,-4.7565402860525925
2020-02-01,1.54,2.16374761652067,0.6237476165206699
2020-03-01,3.15,2.497162970014717,-0.652837029985283
2020-04-01,12.58,1.765216567266827,-10.814783432733172
2020-05-01,-1.99,8.224908975397016,10.214908975397016
2020-06-01,-5.65,-1.4772771081265614,4.172722891873439
2020-07-01,-8.01,-14.175169196178638,-6.165169196178638
2020-08-01,-5.14,-6.594133422396486,-1.4541334223964864
2020-09-01,-4.99,-2.9990717160003393,1.990928283999661
2020-10-01,0.4,-3.271559960594261,-3.671559960594261
2020-11-01,6.02,7.487972148461536,1.467972148461536
2020-12-01,11.15,7.2670155748349,-3.8829844251651
2021-01-01,5.95,7.009878706865771,1.0598787068657707
2021-02-01,6.35,2.6512830793287203,-3.6987169206712793
2021-03-01,3.03,2.3991724866009227,-0.6308275133990771
2021-04-01,2.93,2.421492440896767,-0.5085075591032333
2021-05-01,0.38,0.3484457615221933,-0.031554238477806695
2021-06-01,3.15,-4.549617717725809,-7.699617717725809
2021-07-01,-5.82,-11.671004548215679,-5.851004548215679
2021-08-01,-8.01,-7.161626849143031,0.8483731508569692
2021-09-01,6.14,-11.780176571774547,-17.920176571774547
2021-10-01,5.69,-2.4150070940055888,-8.10500709400559
2021-11-01,1.42,6.041599705806067,4.621599705806067
2021-12-01,2.35,4.856706672134582,2.5067066721345816
2022-01-01,7.65,5.117156877252772,-2.532843122747228
2022-02-01,3.37,3.4361948696466293,0.06619486964662924
2022-03-01,16.64,2.811714075054618,-13.828285924945384
2022-04-01,3.9,4.45168196431857,0.5516819643185698
2022-05-01,-4.64,-0.4064339060708092,4.23356609392919
2022-06-01,-11.05,-7.4789443224107774,3.5710556775892233
2022-07-01,-13.9,-4.008249949689438,9.891750050310563
2022-08-01,-11.3,-4.215887606743207,7.0841123932567935
2022-09-01,-2.46,-6.006044934907395,-3.5460449349073953
2022-10-01,2.76,0.7065962978396944,-2.0534037021603053
2022-11-01,4.06,4.368434071391559,0.30843407139155943
2022-12-01,5.28,4.145216677885626,-1.134783322114374
2023-01-01,11.54,2.651655272698987,-8.888344727301012
2023-02-01,11.11,3.903082014154589,-7.20691798584541
2023-03-01,0.27,5.667501080240566,5.397501080240566
2023-04-01,5.71,4.367354134439885,-1.3426458655601152
2023-05-01,-7.64,0.22210149227453765,7.862101492274538
2023-06-01,-0.44,-5.2524159762678355,-4.812415976267835
2023-07-01,-0.37,-7.684194855398155,-7.314194855398155
2023-08-01,-9.54,-6.084880022911341,3.455119977088658
2023-09-01,6.91,-2.34893362891012,-9.258933628910121
2023-10-01,-0.03,4.405731811983843,4.435731811983843
2023-11-01,4.95,1.9207315924826684,-3.029268407517332
2023-12-01,4.39,3.870455265354801,-0.5195447346451987
2024-01-01,6.91,2.1619339981522367,-4.748066001847763
2024-02-01,2.62,6.993151214822903,4.373151214822903
2024-03-01,-0.14,3.327723704918199,3.4677237049181993
2024-04-01,-2.27,1.7148598763454377,3.9848598763454377
2024-05-01,5.89,1.4747827134628309,-4.415217286537169
2024-06-01,0.77,-1.5746738385858605,-2.3446738385858605
2024-07-01,-1.58,-7.056990842370816,-5.476990842370816
2024-08-01,-5.1,-6.429605579285549,-1.3296055792855492
2024-09-01,-2.07,-0.682194088786221,1.3878059112137788
2024-10-01,3.77,5.968097979498524,2.1980979794985243
2024-11-01,9.95,7.313735601108714,-2.636264398891285
2024-12-01,6.67,5.5736589898089735,-1.0963410101910265
2025-01-01,0.54,0.8588762473823583,0.3188762473823583
2025-02-01,5.3,4.084872033121551,-1.2151279668784492
2025-03-01,2.3,6.7523282445474795,4.45232824454748
2025-04-01,2.8,4.1531734193937115,1.3531734193937117
2025-05-01,-2.29,0.3073257616367348,2.5973257616367347
