cutoff,horizon,target_date,Actual,Ridge,BVAR,SARIMA,Ensemble
2025-09-01,1,2025-10-01,0.5300000000000011,0.6108807010647865,0.6835160287491238,0.7388232799174024,0.6454655572553494
2025-08-01,1,2025-09-01,1.0,0.4475476494835817,0.12303540622023315,-0.19230795348506177,0.28620841620771287
2025-08-01,2,2025-10-01,0.5300000000000011,0.5918291878173676,0.41546071350893066,0.004852330175364268,0.4802209597606362
2025-07-01,1,2025-08-01,-0.5699999999999932,-0.06655293846201005,0.3066805167030491,0.0949628372760284,0.06156867566131154
2025-07-01,2,2025-09-01,1.0,0.42578605122891133,0.43503460143149153,0.2165217472978019,0.4076341858965745
2025-06-01,1,2025-07-01,0.35999999999999943,0.18747546086029843,0.12651669070804916,0.17860970230900886,0.16830125395949472
2025-06-01,2,2025-08-01,-0.5699999999999932,0.022949292787913578,0.2806144243354052,-0.017084120033704277,0.09624549096999928
2025-05-01,1,2025-06-01,-0.04000100000000373,-0.01645743195679472,0.23234480394065293,-0.11967035139758797,0.047861946868360254
2025-05-01,2,2025-07-01,0.35999999999999943,0.016023614341875714,0.36797994998276784,0.12896489856626145,0.13290464345658196
2025-04-01,1,2025-05-01,-0.06999999999999318,0.47724472321411326,0.4428190408363426,0.4673338773907876,0.46592593391844955
2025-04-01,2,2025-06-01,-0.04000100000000373,0.09412965279270225,0.44450095034667947,0.2151159126829823,0.21133966804792345
2025-03-01,1,2025-04-01,0.5300000000000011,0.7907968929654601,0.5210251486985074,0.5270903655772738,0.6834947169465557
2025-03-01,2,2025-05-01,-0.06999999999999318,0.4908848811721498,0.3686799769472008,0.4655541539952939,0.45169033718697954
2025-02-01,1,2025-03-01,0.8100000000000023,0.7562576005077091,0.5612786226758311,0.8908543995847958,0.7112235870658544
2025-02-01,2,2025-04-01,0.5300000000000011,0.7185128544508217,0.40867046814945907,0.5784931395743155,0.6115581670727623
2025-01-01,1,2025-02-01,1.3400000000000034,0.608716484876382,0.6669615762720178,0.5225874918208921,0.6175771129895238
2025-01-01,2,2025-03-01,0.8100000000000023,0.6220959932176697,0.48145868965319427,0.3756149860685168,0.5552567014334119
2024-12-01,1,2025-01-01,0.8400000000000034,1.0210772963622077,1.0701919639456094,0.7310922894924442,1.006813195950252
2024-12-01,2,2025-02-01,1.3400000000000034,0.7922429995210791,0.8815093415894435,0.4543928169470645,0.785237883884187
2024-11-01,1,2024-12-01,0.9099999999999966,0.9691604508778227,1.3378482457944938,0.9055324417125961,1.0734039884363016
2024-11-01,2,2025-01-01,0.8400000000000034,1.0044707129544292,0.9513767634626299,0.7282695890838766,0.9609224157198343
2024-10-01,1,2024-11-01,1.5,0.7684251452265443,1.044094666975054,0.7248025961682175,0.8467637468452646
2024-10-01,2,2024-12-01,0.9099999999999966,0.7999053949989587,0.9325664261573443,0.4197639585382847,0.8016895607004071
