Model,MAE,RMSE,MAPE,KPI_Violations,Coverage_50pct,Max_Error,Std_Error,Mean_Error
Ridge_Ext,0.2558640503578135,0.3172572170331326,146.0221590678714,2,83.33333333333334,0.5940109743270199,0.3279494705010083,-0.04542970200805622
ElasticNet,0.26029324304495915,0.3142622194000553,160.80850513621166,2,83.33333333333334,0.5920123090742777,0.32140037103280195,-0.06380225114023001
Ridge_Shock,0.26399541370221397,0.31345764321095804,159.50213244267596,1,91.66666666666666,0.5970690945413537,0.3235542691102737,-0.04787772045717276
Huber,0.2659552968452144,0.32020934541373614,162.33879248231187,2,83.33333333333334,0.5757970058143087,0.33009560231903984,-0.05148958253007289
Ridge,0.27623988365287033,0.33046314150927353,156.72429803763183,2,83.33333333333334,0.5844995233427,0.34227170592808737,-0.042643412236420396
Bayes_Ridge,0.27783116386348183,0.33571041395707274,164.14840673211594,3,75.0,0.5897754383020413,0.3471503173024979,-0.04723259259176397
NGBoost_Shock,0.28725832095933396,0.34778649709706727,153.701002390092,2,83.33333333333334,0.6049113924736957,0.3579034181242983,-0.0594572304272584
Micro,0.2877648663583574,0.37187016496296027,126.01314536275075,2,83.33333333333334,0.9283566489824795,0.36849193566194577,-0.11754419805197684
NGBoost,0.2891925298458761,0.3574197971102165,161.4107216495909,3,75.0,0.5952513461582782,0.3718621419786059,-0.03147877246337908
Prophet,0.2931766083898034,0.33701372705458976,154.89143958392708,1,91.66666666666666,0.6405445626766771,0.34733957387095066,-0.05465532250180605
EBM,0.304700861111107,0.36581954697045405,154.77948992062454,3,75.0,0.5776923076922884,0.3722480456490115,-0.08247858760683731
Subcomp_Multi,0.3268040895255915,0.42908127278277036,218.27911336634895,4,66.66666666666666,0.8634622089504518,0.4465019549278395,0.03688372556243399
LightGBM,0.3378965658508406,0.4066799820732182,125.51724702318656,3,75.0,0.7928088801749311,0.4242573853417513,0.019844551396763183
Subcomp,0.3418331680965589,0.4164891779879826,132.27161890382268,3,75.0,0.7952583374630819,0.4329882608904478,0.04009535490031387
ETS,0.34950778599047444,0.42915171407640895,207.5625042479683,4,66.66666666666666,0.8389427331065327,0.39372615124035365,-0.2051079432194746
CatBoost,0.3608767846112156,0.43667534533501773,157.42661337408376,4,66.66666666666666,0.8104654579242094,0.45499424909686753,0.030285933008079507
SARIMA,0.44417636853821413,0.5278385272858933,166.07492894559428,5,58.333333333333336,0.8873892621196235,0.5010336727615332,0.22022336709919207
Ensemble,0.5345046790525506,0.6850946852245358,469.9877736874951,5,58.333333333333336,1.4892607579203125,0.7150957080943577,-0.024624079661630383
BVAR,2.1104886348494425,2.691039196541192,1897.97041788914,10,16.666666666666664,5.1064789742193515,2.8106845907973765,-0.008548535200200677
