date,actual,subcomp_pred,error,baseline_pred,baseline_error,year
2022-01-01,1.2199999999999989,0.6081086203493054,-0.6118913796506935,0.4963042775053684,-0.7236957224946305,2022
2022-02-01,0.9399999999999977,1.178200860449015,0.23820086044901734,0.78677080797696,-0.15322919202303775,2022
2022-03-01,5.549999999999997,0.7380079390072903,-4.811992060992707,0.8891888769850831,-4.6608111230149145,2022
2022-04-01,3.280000000000001,2.3063896633577703,-0.9736103366422308,2.1423235244396457,-1.1376764755603554,2022
2022-05-01,0.6800000000000068,1.826162913504287,1.1461629135042801,1.9926036219263223,1.3126036219263155,2022
2022-06-01,-0.6800000000000068,0.558497510964855,1.2384975109648617,0.14350585046574177,0.8235058504657486,2022
2022-07-01,-0.769999999999996,0.22200460604200428,0.9920046060420002,-0.4863666779027561,0.2836333220972399,2022
2022-08-01,-0.5699999999999932,-0.11934533833303763,0.45065466166695556,-0.33625164586764666,0.23374835413234651,2022
2022-09-01,0.3299999999999983,0.43209353401812883,0.10209353401813054,0.7429720481234414,0.4129720481234431,2022
2022-10-01,0.6599999999999966,0.8181914554867862,0.1581914554867896,0.8466477959576391,0.18664779595764247,2022
2022-11-01,0.2600000000000051,0.8057773617324985,0.5457773617324934,0.8098669356192089,0.5498669356192037,2022
2022-12-01,0.5699999999999932,0.6996926469651011,0.12969264696510796,0.48023677221253247,-0.08976322778746071,2022
2023-01-01,1.1299999999999955,0.7682960371069741,-0.3617039628930213,0.5302559270011078,-0.5997440729988877,2023
2023-02-01,0.75,0.9371781755150685,0.18717817551506855,0.9058731432323166,0.1558731432323166,2023
2023-03-01,0.39000000000000057,0.7589935007633498,0.36899350076334925,0.8474893560743424,0.4574893560743418,2023
2023-04-01,0.7199999999999989,0.2621725826772377,-0.45782741732276117,0.37498784309742006,-0.3450121569025788,2023
2023-05-01,-0.25,0.4013725110717305,0.6513725110717306,0.4294221779169286,0.6794221779169286,2023
2023-06-01,0.4300000000000068,-0.020848973154649505,-0.45084897315465633,-0.0644361840948377,-0.4944361840948445,2023
2023-07-01,0.5,0.251124447973482,-0.248875552026518,0.1984865700723946,-0.30151342992760544,2023
2023-08-01,-0.06999999999999318,0.015072608569578178,0.08507260856957136,0.31437451004418293,0.3843745100441761,2023
2023-09-01,1.75,0.07969710322181563,-1.6703028967781843,0.013596791748126474,-1.7364032082518734,2023
2023-10-01,0.45999999999999375,0.7259539944781916,0.2659539944781979,0.9756131660749098,0.515613166074916,2023
2023-11-01,0.7399999999999949,0.6678658426084121,-0.0721341573915828,0.5733068400811154,-0.16669315991887945,2023
2023-12-01,0.29000000000000625,1.0098947265633846,0.7198947265633784,0.6925413308701392,0.402541330870133,2023
2024-01-01,0.8700000000000045,0.9396262538151215,0.069626253815117,0.6419283042850623,-0.22807169571494224,2024
2024-02-01,0.5300000000000011,1.1019038267509118,0.5719038267509107,0.7611904916269219,0.23119049162692074,2024
2024-03-01,0.5300000000000011,0.8720661747871062,0.3420661747871051,0.8659685864848341,0.33596858648483297,2024
2024-04-01,0.37999999999999545,0.6288428456173364,0.24884284561734094,0.4794253980032374,0.09942539800324196,2024
2024-05-01,0.9399999999999977,0.27326621207969104,-0.6667337879203067,0.35361050162495855,-0.5863894983750392,2024
2024-06-01,0.18000000000000682,0.44220001669706116,0.26220001669705434,0.3931754144019046,0.2131754144018978,2024
2024-07-01,1.0699999999999932,0.10615715759853539,-0.9638428424014578,0.14990626199877344,-0.9200937380012197,2024
2024-08-01,0.09000000000000341,0.09587939914776399,0.005879399147760575,0.33043841588564826,0.24043841588564485,2024
2024-09-01,0.6200000000000045,0.3420542348201496,-0.2779457651798549,0.20463067655559916,-0.41536932344440536,2024
2024-10-01,1.019999999999996,0.58843863427293,-0.43156136572706605,0.31699186246732924,-0.7030081375326668,2024
2024-11-01,1.5,0.961901424647789,-0.538098575352211,0.865491573733199,-0.634508426266801,2024
2024-12-01,0.9099999999999966,0.8881038650127159,-0.021896134987280713,1.0618522199762501,0.15185221997625353,2024
2025-01-01,0.8400000000000034,1.056476749740041,0.2164767497400375,0.9381001897330958,0.09810018973309242,2025
2025-02-01,1.3400000000000034,0.8007776770141646,-0.5392223229858388,0.67683008572832,-0.6631699142716834,2025
2025-03-01,0.8100000000000023,0.8152994719885093,0.0052994719885069985,0.9294634218194695,0.11946342181946723,2025
2025-04-01,0.5300000000000011,0.6378698521949161,0.10786985219491496,0.7056869642668029,0.17568696426680175,2025
2025-05-01,-0.06999999999999318,0.30001315431706066,0.37001315431705384,0.410292186745685,0.4802921867456782,2025
