Date,Model,MAE_h1,MAE_h2,MAE_h12,KPI_Rate,SIRENA_Score,Window_Size
2020-01-01,Ridge,0.5864854199727887,0.6120924891744011,0.6019345301845931,0.0,1.1945147255512665,1
2020-01-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,EBM,0.6233334444444409,0.6233334444444409,0.6233334444444409,0.0,1.2466668888888819,1
2020-01-01,LightGBM,0.0392086263990592,0.10558960829537511,1.0191331220063233,1.0,0.2551078200894068,1
2020-01-01,Prophet,0.18420113026821305,0.21515833664855832,0.3536550861805964,1.0,0.2273790833647933,1
2020-01-01,ETS,0.20148548602585126,0.29758749573630694,0.5830341218984272,1.0,0.30662581611350315,1
2020-01-01,SARIMA,0.115882952319396,0.13524881110217235,0.19575369104231016,1.0,0.13766685769881173,1
2020-01-01,NGBoost,0.5529849124370685,0.5405384736536263,0.5790032926389017,0.0,1.108909313684805,1
2020-01-01,CatBoost,0.061292917730582985,0.21026420604819407,0.050587993116096186,1.0,0.10384331930296894,1
2020-01-01,Subcomp,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,Subcomp_Multi,1.0,1.0,1.0,0.0,2.0,0
2020-01-01,Micro,1.0,1.0,1.0,0.0,2.0,0
2020-02-01,Ridge,0.3962686681526222,0.4153514533761893,0.38589909266210753,0.5,0.5998793829323841,2
2020-02-01,Ridge_Ext,1.0,1.0,1.0,0.0,2.0,0
2020-02-01,Bayes_Ridge,1.0,1.0,1.0,0.0,2.0,0
2020-02-01,ElasticNet,1.0,1.0,1.0,0.0,2.0,0
2020-02-01,Huber,1.0,1.0,1.0,0.0,2.0,0
2020-02-01,Ridge_Shock,1.0,1.0,1.0,0.0,2.0,0
2020-02-01,EBM,0.5683333888888882,0.5683333888888882,0.5683333888888882,0.0,1.1366667777777764,2
2020-02-01,LightGBM,0.08407868743923075,0.0561766484605144,0.6069176082921572,0.5,0.27041378987430176,2
2020-02-01,Prophet,0.09366691431872765,0.11468113602354463,0.2252212712526958,0.5,0.18942307832544955,2
2020-02-01,ETS,0.10086764404818357,0.19053588618561496,0.47939353338006496,0.5,0.3052099418336839,2
